date,terrorist
2016-10-12,7.203703703703704
2016-10-13,6.7407407407407405
2016-10-14,5.777777777777778
2016-10-15,5.777777777777778
2016-10-16,5.777777777777778
2016-10-17,5.277777777777778
2016-10-18,5.277777777777778
2016-10-19,4.814814814814815
2016-10-20,4.814814814814815
2016-10-21,4.814814814814815
2016-10-22,4.314814814814815
2016-10-23,4.814814814814815
2016-10-24,5.277777777777778
2016-10-25,7.203703703703704
2016-10-26,4.314814814814815
2016-10-27,4.314814814814815
2016-10-28,4.814814814814815
2016-10-29,3.851851851851852
2016-10-30,4.814814814814815
2016-10-31,12.018518518518519
2016-11-01,6.7407407407407405
2016-11-02,9.25925925925926
2016-11-03,5.555555555555555
2016-11-04,8.333333333333334
2016-11-05,8.333333333333334
2016-11-06,8.333333333333334
2016-11-07,8.333333333333334
2016-11-08,6.481481481481482
2016-11-09,6.481481481481482
2016-11-10,5.555555555555555
2016-11-11,4.62962962962963
2016-11-12,4.62962962962963
2016-11-13,4.62962962962963
2016-11-14,4.62962962962963
2016-11-15,5.555555555555555
2016-11-16,4.62962962962963
2016-11-17,4.62962962962963
2016-11-18,4.62962962962963
2016-11-19,4.62962962962963
2016-11-20,4.62962962962963
2016-11-21,4.62962962962963
2016-11-22,5.555555555555555
2016-11-23,4.62962962962963
2016-11-24,4.62962962962963
2016-11-25,4.62962962962963
2016-11-26,4.62962962962963
2016-11-27,4.62962962962963
2016-11-28,5.555555555555555
2016-11-29,9.25925925925926
2016-11-30,6.481481481481482
2016-12-01,5.555555555555555
2016-12-02,5.555555555555555
2016-12-03,4.62962962962963
2016-12-04,3.7037037037037037
2016-12-05,4.62962962962963
2016-12-06,5.555555555555555
2016-12-07,5.555555555555555
2016-12-08,4.62962962962963
2016-12-09,4.62962962962963
2016-12-10,3.7037037037037037
2016-12-11,4.62962962962963
2016-12-12,5.555555555555555
2016-12-13,5.555555555555555
2016-12-14,4.62962962962963
2016-12-15,4.62962962962963
2016-12-16,4.62962962962963
2016-12-17,3.7037037037037037
2016-12-18,3.7037037037037037
2016-12-19,15.74074074074074
2016-12-20,23.14814814814815
2016-12-21,15.74074074074074
2016-12-22,12.037037037037036
2016-12-23,20.37037037037037
2016-12-24,9.25925925925926
2016-12-25,6.481481481481482
2016-12-26,5.555555555555555
2016-12-27,4.62962962962963
2016-12-28,4.62962962962963
2016-12-29,4.62962962962963
2016-12-30,4.62962962962963
2016-12-31,6.481481481481482
2017-01-01,19.444444444444443
2017-01-02,7.407407407407407
2017-01-03,5.555555555555555
2017-01-04,5.555555555555555
2017-01-05,6.481481481481482
2017-01-06,8.333333333333334
2017-01-07,6.481481481481482
2017-01-08,6.481481481481482
2017-01-09,5.555555555555555
2017-01-10,4.62962962962963
2017-01-11,5.555555555555555
2017-01-12,4.62962962962963
2017-01-13,4.62962962962963
2017-01-14,4.62962962962963
2017-01-15,3.7037037037037037
2017-01-16,5.555555555555555
2017-01-17,5.555555555555555
2017-01-18,6.481481481481482
2017-01-19,5.555555555555555
2017-01-20,8.333333333333334
2017-01-21,5.555555555555555
2017-01-22,5.555555555555555
2017-01-23,5.555555555555555
2017-01-24,4.62962962962963
2017-01-25,5.555555555555555
2017-01-26,5.555555555555555
2017-01-27,6.481481481481482
2017-01-28,10.185185185185185
2017-01-29,20.37037037037037
2017-01-30,27.77777777777778
2017-01-31,20.37037037037037
2017-02-01,12.962962962962964
2017-02-02,9.25925925925926
2017-02-03,14.814814814814815
2017-02-04,10.185185185185185
2017-02-05,8.333333333333334
2017-02-06,7.407407407407407
2017-02-07,11.11111111111111
2017-02-08,9.25925925925926
2017-02-09,7.407407407407407
2017-02-10,9.25925925925926
2017-02-11,6.481481481481482
2017-02-12,6.481481481481482
2017-02-13,5.555555555555555
2017-02-14,5.555555555555555
2017-02-15,5.555555555555555
2017-02-16,5.555555555555555
2017-02-17,6.481481481481482
2017-02-18,5.555555555555555
2017-02-19,12.037037037037036
2017-02-20,9.25925925925926
2017-02-21,7.407407407407407
2017-02-22,5.555555555555555
2017-02-23,5.555555555555555
2017-02-24,5.555555555555555
2017-02-25,4.62962962962963
2017-02-26,5.555555555555555
2017-02-27,4.62962962962963
2017-02-28,5.555555555555555
2017-03-01,5.5340223944875095
2017-03-02,4.611685328739592
2017-03-03,4.611685328739592
2017-03-04,3.689348262991673
2017-03-05,4.148722365776629
2017-03-06,4.611685328739592
2017-03-07,11.527418891759975
2017-03-08,9.223370657479183
2017-03-09,6.456359460235428
2017-03-10,5.071059431524547
2017-03-11,4.148722365776629
2017-03-12,4.611685328739592
2017-03-13,4.152311225954636
2017-03-14,3.689348262991673
2017-03-15,3.689348262991673
2017-03-16,4.611685328739592
2017-03-17,4.611685328739592
2017-03-18,4.611685328739592
2017-03-19,4.611685328739592
2017-03-20,4.611685328739592
2017-03-21,5.5340223944875095
2017-03-22,92.23370657479182
2017-03-23,70.55699109962674
2017-03-24,23.058426643697956
2017-03-25,11.990381854722937
2017-03-26,10.608670686190063
2017-03-27,8.301033591731265
2017-03-28,7.8380706287683015
2017-03-29,6.456359460235428
2017-03-30,5.996985357450473
2017-03-31,5.5340223944875095
2017-04-01,4.611685328739592
2017-04-02,4.593741027849553
2017-04-03,10.106230261269017
2017-04-04,8.268733850129196
2017-04-05,6.431237438989375
2017-04-06,5.512489233419464
2017-04-07,21.131208728107946
2017-04-08,13.78122308354866
2017-04-09,11.024978466838927
2017-04-10,9.187482055699107
2017-04-11,8.268733850129196
2017-04-12,6.431237438989375
2017-04-13,6.431237438989375
2017-04-14,6.431237438989375
2017-04-15,4.593741027849553
2017-04-16,5.512489233419464
2017-04-17,4.593741027849553
2017-04-18,5.512489233419464
2017-04-19,5.512489233419464
2017-04-20,8.268733850129196
2017-04-21,10.106230261269017
2017-04-22,5.512489233419464
2017-04-23,5.512489233419464
2017-04-24,5.512489233419464
2017-04-25,5.512489233419464
2017-04-26,5.512489233419464
2017-04-27,5.512489233419464
2017-04-28,6.431237438989375
2017-04-29,4.593741027849553
2017-04-30,4.593741027849553
2017-05-01,5.512489233419464
2017-05-02,6.431237438989375
2017-05-03,5.512489233419464
2017-05-04,4.593741027849553
2017-05-05,4.593741027849553
2017-05-06,3.6749928222796426
2017-05-07,4.593741027849553
2017-05-08,4.593741027849553
2017-05-09,5.512489233419464
2017-05-10,4.593741027849553
2017-05-11,4.593741027849553
2017-05-12,4.593741027849553
2017-05-13,3.6749928222796426
2017-05-14,3.6749928222796426
2017-05-15,4.593741027849553
2017-05-16,4.593741027849553
2017-05-17,4.593741027849553
2017-05-18,7.349985644559285
2017-05-19,6.431237438989375
2017-05-20,4.593741027849553
2017-05-21,4.593741027849553
2017-05-22,8.268733850129196
2017-05-23,81.76859029572205
2017-05-24,32.156187194946874
2017-05-25,18.374964111398214
2017-05-26,16.537467700258393
2017-05-27,14.69997128911857
2017-05-28,13.78122308354866
2017-05-29,10.106230261269017
2017-05-30,8.268733850129196
2017-05-31,8.268733850129196
2017-06-01,12.86247487797875
2017-06-02,10.106230261269017
2017-06-03,26.64369796152741
