date,person of interest
2016-12-02,9.813989239046887
2016-12-03,10.072252113758648
2016-12-04,10.588777863182168
2016-12-05,11.621829362029208
2016-12-06,17.820138355111453
2016-12-07,13.68793235972329
2016-12-08,9.813989239046887
2016-12-09,9.039200614911607
2016-12-10,8.780937740199846
2016-12-11,12.138355111452729
2016-12-12,12.138355111452729
2016-12-13,25.82628747117602
2016-12-14,15.495772482705611
2016-12-15,11.105303612605688
2016-12-16,10.588777863182168
2016-12-17,11.880092236740968
2016-12-18,11.363566487317447
2016-12-19,9.813989239046887
2016-12-20,9.813989239046887
2016-12-21,8.522674865488087
2016-12-22,9.555726364335127
2016-12-23,8.264411990776326
2016-12-24,8.780937740199846
2016-12-25,8.522674865488087
2016-12-26,10.330514988470407
2016-12-27,9.813989239046887
2016-12-28,9.813989239046887
2016-12-29,9.813989239046887
2016-12-30,10.588777863182168
2016-12-31,9.555726364335127
2017-01-01,11.621829362029208
2017-01-02,10.588777863182168
2017-01-03,10.072252113758648
2017-01-04,9.039200614911607
2017-01-05,8.264411990776326
2017-01-06,9.813989239046887
2017-01-07,13.42966948501153
2017-01-08,12.39661798616449
2017-01-09,9.039200614911607
2017-01-10,7.747886241352806
2017-01-11,8.264411990776326
2017-01-12,7.489623366641045
2017-01-13,7.747886241352806
2017-01-14,10.847040737893927
2017-01-15,10.847040737893927
2017-01-16,8.006149116064565
2017-01-17,8.006149116064565
2017-01-18,8.264411990776326
2017-01-19,7.489623366641045
2017-01-20,7.747886241352806
2017-01-21,9.297463489623366
2017-01-22,10.072252113758648
2017-01-23,8.264411990776326
2017-01-24,6.714834742505765
2017-01-25,7.231360491929285
2017-01-26,7.231360491929285
2017-01-27,6.973097617217525
2017-01-28,12.39661798616449
2017-01-29,10.072252113758648
2017-01-30,8.264411990776326
2017-01-31,8.522674865488087
2017-02-01,8.522674865488087
2017-02-02,6.714834742505765
2017-02-03,7.231360491929285
2017-02-04,9.555726364335127
2017-02-05,9.555726364335127
2017-02-06,7.489623366641045
2017-02-07,7.747886241352806
2017-02-08,8.522674865488087
2017-02-09,7.231360491929285
2017-02-10,7.747886241352806
2017-02-11,10.072252113758648
2017-02-12,10.330514988470407
2017-02-13,7.231360491929285
2017-02-14,7.489623366641045
2017-02-15,7.489623366641045
2017-02-16,8.006149116064565
2017-02-17,7.489623366641045
2017-02-18,8.264411990776326
2017-02-19,9.555726364335127
2017-02-20,7.489623366641045
2017-02-21,8.264411990776326
2017-02-22,8.522674865488087
2017-02-23,6.973097617217525
2017-02-24,6.198308993082245
2017-02-25,7.747886241352806
2017-02-26,9.297463489623366
2017-02-27,7.489623366641045
2017-02-28,7.489623366641045
2017-03-01,7.802477036459944
2017-03-02,7.415082724392303
2017-03-03,7.099474473168915
2017-03-04,7.599222317674186
2017-03-05,9.744123037969398
2017-03-06,7.321844317458549
2017-03-07,6.767088317027277
2017-03-08,6.841211598457155
2017-03-09,6.673849910093523
2017-03-10,6.7862034425311535
2017-03-11,7.986616629741826
2017-03-12,9.521753193679764
2017-03-13,7.376852473384551
2017-03-14,7.450975754814429
2017-03-15,6.767088317027277
2017-03-16,6.61884175416752
2017-03-17,6.767088317027277
2017-03-18,8.005731755245701
2017-03-19,7.9507235993197
2017-03-20,7.025351191739037
2017-03-21,7.247721036028671
2017-03-22,7.025351191739037
2017-03-23,5.915839190876492
2017-03-24,6.009077597810245
2017-03-25,7.173597754598793
2017-03-26,7.599222317674186
2017-03-27,7.376852473384551
2017-03-28,6.896219754383157
2017-03-29,6.637956879671396
2017-03-30,5.657576316164731
2017-03-31,6.2123323165960045
2017-04-01,6.064085753736247
2017-04-02,7.708821268707326
2017-04-03,5.92986251439025
2017-04-04,6.671095328689032
2017-04-05,6.671095328689032
2017-04-06,6.37460220296952
2017-04-07,6.37460220296952
2017-04-08,6.671095328689032
2017-04-09,6.671095328689032
2017-04-10,5.92986251439025
2017-04-11,7.264081580128057
2017-04-12,6.671095328689032
2017-04-13,5.92986251439025
2017-04-14,7.264081580128057
2017-04-15,7.412328142987813
2017-04-16,7.412328142987813
2017-04-17,7.708821268707326
2017-04-18,7.115835017268301
2017-04-19,6.37460220296952
2017-04-20,5.633369388670738
2017-04-21,6.522848765829275
2017-04-22,6.967588454408545
2017-04-23,7.56057470584757
2017-04-24,5.92986251439025
2017-04-25,8.301807520146351
2017-04-26,6.671095328689032
2017-04-27,6.37460220296952
2017-04-28,5.633369388670738
2017-04-29,6.37460220296952
2017-04-30,7.412328142987813
2017-05-01,7.264081580128057
2017-05-02,6.37460220296952
2017-05-03,5.781615951530494
2017-05-04,5.336876262951225
2017-05-05,4.892136574371957
2017-05-06,6.226355640109763
2017-05-07,6.819341891548788
2017-05-08,6.37460220296952
2017-05-09,5.633369388670738
2017-05-10,5.92986251439025
2017-05-11,5.188629700091469
2017-05-12,5.485122825810982
2017-05-13,6.671095328689032
2017-05-14,5.633369388670738
2017-05-15,5.485122825810982
2017-05-16,5.040383137231713
2017-05-17,5.633369388670738
2017-05-18,5.633369388670738
2017-05-19,8.74654720872562
2017-05-20,14.824656285975626
2017-05-21,8.74654720872562
2017-05-22,6.819341891548788
2017-05-23,5.781615951530494
2017-05-24,4.7438900115122005
2017-05-25,5.040383137231713
2017-05-26,5.188629700091469
2017-05-27,6.078109077250007
2017-05-28,6.819341891548788
2017-05-29,6.078109077250007
2017-05-30,5.040383137231713
2017-05-31,4.892136574371957
2017-06-01,5.336876262951225
2017-06-02,5.781615951530494
2017-06-03,5.633369388670738
