date,hillary clinton bankruptcy
2017-05-06,0.0
2017-05-07,0.0
2017-05-08,0.0
2017-05-09,0.0
2017-05-10,0.0
2017-05-11,0.0
2017-05-12,0.0
2017-05-13,0.0
2017-05-14,0.0
2017-05-15,6.768294965375258
2017-05-16,0.0
2017-05-17,0.0
2017-05-18,0.0
2017-05-19,7.083099382369456
2017-05-20,0.0
2017-05-21,0.0
2017-05-22,0.0
2017-05-23,6.689593861126708
2017-05-24,0.0
2017-05-25,0.0
2017-05-26,0.0
2017-05-27,0.0
2017-05-28,0.0
2017-05-29,0.0
2017-05-30,0.0
2017-05-31,0.0
2017-06-01,0.0
2017-06-02,7.161800486618005
2017-06-03,0.0
