date,president obama impeachment
2017-02-20,0.0
2017-02-21,10.0
2017-02-22,21.0
2017-02-23,10.0
2017-02-24,11.0
2017-02-25,18.0
2017-02-26,24.0
2017-02-27,0.0
2017-02-28,11.0
2017-03-01,8.39655172413793
2017-03-02,0.0
2017-03-03,5.5
2017-03-04,9.89604462474645
2017-03-05,3.7961460446247464
2017-03-06,8.296653144016227
2017-03-07,13.296653144016227
2017-03-08,11.593306288032455
2017-03-09,3.396551724137931
2017-03-10,10.6947261663286
2017-03-11,13.891987829614605
2017-03-12,3.7961460446247464
2017-03-13,8.296653144016227
2017-03-14,5.0
2017-03-15,3.396551724137931
2017-03-16,8.39655172413793
2017-03-17,0.0
2017-03-18,3.7961460446247464
2017-03-19,0.0
2017-03-20,3.396551724137931
2017-03-21,19.989858012170387
2017-03-22,21.693204868154158
2017-03-23,0.0
2017-03-24,12.592799188640974
2017-03-25,0.0
2017-03-26,3.8960446247464504
2017-03-27,0.0
2017-03-28,9.994929006085194
2017-03-29,0.0
2017-03-30,0.0
2017-03-31,0.0
2017-04-01,3.995943204868154
2017-04-02,7.991886409736308
2017-04-03,6.793103448275862
2017-04-04,0.0
2017-04-05,0.0
2017-04-06,6.99290060851927
2017-04-07,0.0
2017-04-08,0.0
2017-04-09,0.0
2017-04-10,0.0
2017-04-11,0.0
2017-04-12,7.192697768762677
2017-04-13,0.0
2017-04-14,0.0
2017-04-15,0.0
2017-04-16,0.0
2017-04-17,0.0
2017-04-18,6.793103448275862
2017-04-19,0.0
2017-04-20,6.99290060851927
2017-04-21,0.0
2017-04-22,0.0
2017-04-23,0.0
2017-04-24,0.0
2017-04-25,0.0
2017-04-26,0.0
2017-04-27,0.0
2017-04-28,0.0
2017-04-29,0.0
2017-04-30,8.191683569979716
2017-05-01,7.3924949290060855
2017-05-02,6.793103448275862
2017-05-03,0.0
2017-05-04,0.0
2017-05-05,0.0
2017-05-06,0.0
2017-05-07,0.0
2017-05-08,6.793103448275862
2017-05-09,0.0
2017-05-10,0.0
2017-05-11,6.793103448275862
2017-05-12,7.192697768762677
2017-05-13,7.991886409736308
2017-05-14,7.991886409736308
2017-05-15,6.793103448275862
2017-05-16,6.793103448275862
2017-05-17,6.793103448275862
2017-05-18,6.99290060851927
2017-05-19,7.192697768762677
2017-05-20,8.191683569979716
2017-05-21,8.191683569979716
2017-05-22,6.793103448275862
2017-05-23,0.0
2017-05-24,13.786004056795132
2017-05-25,0.0
2017-05-26,0.0
2017-05-27,8.391480730223124
2017-05-28,0.0
2017-05-29,0.0
2017-05-30,13.98580121703854
2017-05-31,6.99290060851927
2017-06-01,0.0
2017-06-02,0.0
2017-06-03,8.191683569979716
