date,obama strength
2017-01-28,22.0
2017-01-29,22.0
2017-01-30,0.0
2017-01-31,38.0
2017-02-01,0.0
2017-02-02,19.0
2017-02-03,39.0
2017-02-04,22.0
2017-02-05,0.0
2017-02-06,0.0
2017-02-07,28.0
2017-02-08,19.0
2017-02-09,0.0
2017-02-10,20.0
2017-02-11,0.0
2017-02-12,0.0
2017-02-13,0.0
2017-02-14,0.0
2017-02-15,0.0
2017-02-16,0.0
2017-02-17,20.0
2017-02-18,0.0
2017-02-19,22.0
2017-02-20,19.0
2017-02-21,0.0
2017-02-22,19.0
2017-02-23,19.0
2017-02-24,20.0
2017-02-25,22.0
2017-02-26,22.0
2017-02-27,39.0
2017-02-28,29.0
2017-03-01,23.263221153846153
2017-03-02,9.5
2017-03-03,0.0
2017-03-04,26.848557692307693
2017-03-05,0.0
2017-03-06,0.0
2017-03-07,9.5
2017-03-08,0.0
2017-03-09,9.5
2017-03-10,14.180288461538462
2017-03-11,0.0
2017-03-12,0.0
2017-03-13,19.0
2017-03-14,37.02644230769231
2017-03-15,9.5
2017-03-16,9.5
2017-03-17,0.0
2017-03-18,0.0
2017-03-19,26.848557692307693
2017-03-20,23.263221153846153
2017-03-21,60.706730769230774
2017-03-22,0.0
2017-03-23,0.0
2017-03-24,0.0
2017-03-25,16.682692307692307
2017-03-26,0.0
2017-03-27,18.5
2017-03-28,9.5
2017-03-29,23.68028846153846
2017-03-30,0.0
2017-03-31,0.0
2017-04-01,0.0
2017-04-02,0.0
2017-04-03,0.0
2017-04-04,28.360576923076923
2017-04-05,0.0
2017-04-06,0.0
2017-04-07,0.0
2017-04-08,0.0
2017-04-09,0.0
2017-04-10,0.0
2017-04-11,0.0
2017-04-12,29.19471153846154
2017-04-13,30.028846153846153
2017-04-14,0.0
2017-04-15,0.0
2017-04-16,0.0
2017-04-17,0.0
2017-04-18,28.360576923076923
2017-04-19,0.0
2017-04-20,0.0
2017-04-21,0.0
2017-04-22,33.36538461538461
2017-04-23,0.0
2017-04-24,28.360576923076923
2017-04-25,55.88701923076923
2017-04-26,0.0
2017-04-27,28.360576923076923
2017-04-28,0.0
2017-04-29,0.0
2017-04-30,0.0
2017-05-01,0.0
2017-05-02,28.360576923076923
2017-05-03,0.0
2017-05-04,0.0
2017-05-05,0.0
2017-05-06,0.0
2017-05-07,0.0
2017-05-08,0.0
2017-05-09,0.0
2017-05-10,28.360576923076923
2017-05-11,28.360576923076923
2017-05-12,0.0
2017-05-13,0.0
2017-05-14,0.0
2017-05-15,0.0
2017-05-16,0.0
2017-05-17,0.0
2017-05-18,0.0
2017-05-19,29.19471153846154
2017-05-20,0.0
2017-05-21,0.0
2017-05-22,0.0
2017-05-23,0.0
2017-05-24,28.360576923076923
2017-05-25,59.22355769230769
2017-05-26,30.86298076923077
2017-05-27,0.0
2017-05-28,0.0
2017-05-29,0.0
2017-05-30,29.19471153846154
2017-05-31,28.360576923076923
2017-06-01,29.19471153846154
2017-06-02,0.0
2017-06-03,0.0
