date,hillary clinton
2016-12-17,1.0
2016-12-18,1.0
2016-12-19,1.0
2016-12-20,1.0
2016-12-21,1.0
2016-12-22,1.0
2016-12-23,1.0
2016-12-24,1.0
2016-12-25,1.0
2016-12-26,1.0
2016-12-27,1.0
2016-12-28,1.0
2016-12-29,1.0
2016-12-30,1.0
2016-12-31,1.0
2017-01-01,1.0
2017-01-02,1.0
2017-01-03,1.0
2017-01-04,1.0
2017-01-05,1.0
2017-01-06,1.0
2017-01-07,1.0
2017-01-08,1.0
2017-01-09,1.0
2017-01-10,1.0
2017-01-11,1.0
2017-01-12,1.0
2017-01-13,1.0
2017-01-14,1.0
2017-01-15,1.0
2017-01-16,1.0
2017-01-17,1.0
2017-01-18,1.0
2017-01-19,1.0
2017-01-20,4.0
2017-01-21,4.0
2017-01-22,2.0
2017-01-23,2.0
2017-01-24,1.0
2017-01-25,1.0
2017-01-26,1.0
2017-01-27,1.0
2017-01-28,1.0
2017-01-29,1.0
2017-01-30,1.0
2017-01-31,1.0
2017-02-01,1.0
2017-02-02,1.0
2017-02-03,1.0
2017-02-04,1.0
2017-02-05,1.0
2017-02-06,1.0
2017-02-07,1.0
2017-02-08,1.0
2017-02-09,1.0
2017-02-10,1.0
2017-02-11,1.0
2017-02-12,1.0
2017-02-13,1.0
2017-02-14,1.0
2017-02-15,1.0
2017-02-16,1.0
2017-02-17,1.0
2017-02-18,1.0
2017-02-19,1.0
2017-02-20,1.0
2017-02-21,1.0
2017-02-22,1.0
2017-02-23,1.0
2017-02-24,1.0
2017-02-25,1.0
2017-02-26,1.0
2017-02-27,1.0
2017-02-28,1.0
2017-03-01,0.8990086741016109
2017-03-02,0.8990086741016109
2017-03-03,0.9132589838909542
2017-03-04,0.8705080545229245
2017-03-05,0.8705080545229245
2017-03-06,0.8420074349442379
2017-03-07,0.8562577447335812
2017-03-08,0.9275092936802973
2017-03-09,0.9417596034696406
2017-03-10,0.9275092936802973
2017-03-11,0.8562577447335812
2017-03-12,0.8135068153655514
2017-03-13,0.2992565055762082
2017-03-14,0.2850061957868649
2017-03-15,0.32775712515489464
2017-03-16,0.3135068153655514
2017-03-17,0.3135068153655514
2017-03-18,0.8705080545229245
2017-03-19,0.8562577447335812
2017-03-20,0.8420074349442379
2017-03-21,0.8420074349442379
2017-03-22,0.8420074349442379
2017-03-23,0.32775712515489464
2017-03-24,0.8420074349442379
2017-03-25,0.8420074349442379
2017-03-26,0.2850061957868649
2017-03-27,0.27075588599752165
2017-03-28,0.2850061957868649
2017-03-29,1.013011152416357
2017-03-30,0.8562577447335812
2017-03-31,0.9560099132589839
2017-04-01,0.9132589838909542
2017-04-02,0.5130111524163569
2017-04-03,0.5415117719950433
2017-04-04,0.5985130111524164
2017-04-05,0.5415117719950433
2017-04-06,0.5985130111524164
2017-04-07,1.5960346964064436
2017-04-08,0.7410161090458488
2017-04-09,0.5700123915737298
2017-04-10,0.5415117719950433
2017-04-11,0.5130111524163569
2017-04-12,0.5700123915737298
2017-04-13,0.5130111524163569
2017-04-14,0.5130111524163569
2017-04-15,0.48451053283767037
2017-04-16,0.4560099132589839
2017-04-17,0.4560099132589839
2017-04-18,1.2540272614622057
2017-04-19,0.8265179677819083
2017-04-20,0.5985130111524164
2017-04-21,0.5985130111524164
2017-04-22,0.5130111524163569
2017-04-23,0.5700123915737298
2017-04-24,0.5700123915737298
2017-04-25,0.48451053283767037
2017-04-26,0.4560099132589839
2017-04-27,0.5130111524163569
2017-04-28,0.48451053283767037
2017-04-29,0.4560099132589839
2017-04-30,0.48451053283767037
2017-05-01,0.5415117719950433
2017-05-02,0.9690210656753407
2017-05-03,2.8500619578686495
2017-05-04,0.9120198265179678
2017-05-05,0.6270136307311028
2017-05-06,0.5130111524163569
2017-05-07,0.6270136307311028
2017-05-08,0.5415117719950433
2017-05-09,0.6555142503097893
2017-05-10,0.9405204460966543
2017-05-11,0.6555142503097893
2017-05-12,0.6555142503097893
2017-05-13,0.5130111524163569
2017-05-14,0.48451053283767037
2017-05-15,0.5700123915737298
2017-05-16,1.2825278810408922
2017-05-17,0.6840148698884758
2017-05-18,0.6270136307311028
2017-05-19,1.2540272614622057
2017-05-20,0.7125154894671624
2017-05-21,0.5700123915737298
2017-05-22,0.5985130111524164
2017-05-23,0.5415117719950433
2017-05-24,0.5415117719950433
2017-05-25,0.5415117719950433
2017-05-26,1.2540272614622057
2017-05-27,1.1685254027261462
2017-05-28,0.6840148698884758
2017-05-29,0.5415117719950433
2017-05-30,0.5700123915737298
2017-05-31,0.8265179677819083
2017-06-01,1.7670384138785624
2017-06-02,1.1115241635687731
2017-06-03,0.6840148698884758
