date,basket of deplorables
2017-01-16,0.9670329670329672
2017-01-17,0.6446886446886447
2017-01-18,1.2893772893772895
2017-01-19,0.9670329670329672
2017-01-20,2.0952380952380953
2017-01-21,0.8058608058608059
2017-01-22,2.0952380952380953
2017-01-23,0.9670329670329672
2017-01-24,0.8058608058608059
2017-01-25,0.6446886446886447
2017-01-26,0.6446886446886447
2017-01-27,0.16117216117216118
2017-01-28,0.4835164835164836
2017-01-29,0.6446886446886447
2017-01-30,0.8058608058608059
2017-01-31,0.6446886446886447
2017-02-01,0.4835164835164836
2017-02-02,1.2893772893772895
2017-02-03,0.8058608058608059
2017-02-04,0.32234432234432236
2017-02-05,0.9670329670329672
2017-02-06,0.16117216117216118
2017-02-07,0.8058608058608059
2017-02-08,0.4835164835164836
2017-02-09,0.8058608058608059
2017-02-10,0.16117216117216118
2017-02-11,0.8058608058608059
2017-02-12,0.32234432234432236
2017-02-13,0.4835164835164836
2017-02-14,0.32234432234432236
2017-02-15,0.6446886446886447
2017-02-16,1.1282051282051282
2017-02-17,0.6446886446886447
2017-02-18,0.32234432234432236
2017-02-19,0.4835164835164836
2017-02-20,0.32234432234432236
2017-02-21,0.0
2017-02-22,0.4835164835164836
2017-02-23,0.16117216117216118
2017-02-24,0.4835164835164836
2017-02-25,0.8058608058608059
2017-02-26,0.32234432234432236
2017-02-27,0.16117216117216118
2017-02-28,0.16117216117216118
2017-03-01,0.6577589077589078
2017-03-02,0.3041958041958042
2017-03-03,0.642940392940393
2017-03-04,0.6380286380286381
2017-03-05,0.938977688977689
2017-03-06,0.3255910755910756
2017-03-07,0.61996336996337
2017-03-08,0.545954045954046
2017-03-09,0.3535631035631036
2017-03-10,0.31077256077256077
2017-03-11,0.4176656676656677
2017-03-12,0.28613053613053613
2017-03-13,0.35680985680985683
2017-03-14,0.08058608058608059
2017-03-15,0.32234432234432236
2017-03-16,0.46536796536796543
2017-03-17,0.8205128205128206
2017-03-18,0.3518981018981019
2017-03-19,0.28613053613053613
2017-03-20,0.3041958041958042
2017-03-21,0.11180486180486181
2017-03-22,0.08058608058608059
2017-03-23,0.3255910755910756
2017-03-24,0.36013986013986016
2017-03-25,0.16117216117216118
2017-03-26,0.5048285048285048
2017-03-27,0.3041958041958042
2017-03-28,0.3535631035631036
2017-03-29,0.471944721944722
2017-03-30,0.1923909423909424
2017-03-31,0.4785214785214785
2017-04-01,0.3584748584748585
2017-04-02,1.3153513153513154
2017-04-03,0.0
2017-04-04,0.22360972360972362
2017-04-05,0.22360972360972362
2017-04-06,0.0
2017-04-07,0.0
2017-04-08,0.5261405261405262
2017-04-09,0.4077589077589078
2017-04-10,0.0
2017-04-11,0.22360972360972362
2017-04-12,0.4603729603729604
2017-04-13,0.23676323676323677
2017-04-14,0.2630702630702631
2017-04-15,0.0
2017-04-16,0.27622377622377625
2017-04-17,0.23676323676323677
2017-04-18,0.44721944721944723
2017-04-19,0.22360972360972362
2017-04-20,0.22360972360972362
2017-04-21,0.47352647352647353
2017-04-22,0.0
2017-04-23,0.776057276057276
2017-04-24,0.0
2017-04-25,0.44721944721944723
2017-04-26,0.0
2017-04-27,0.683982683982684
2017-04-28,0.23676323676323677
2017-04-29,0.5261405261405262
2017-04-30,0.27622377622377625
2017-05-01,0.4866799866799867
2017-05-02,0.44721944721944723
2017-05-03,0.44721944721944723
2017-05-04,0.0
2017-05-05,0.23676323676323677
2017-05-06,0.5261405261405262
2017-05-07,0.6576756576756577
2017-05-08,0.341991341991342
2017-05-09,0.44721944721944723
2017-05-10,0.22360972360972362
2017-05-11,0.22360972360972362
2017-05-12,0.5787545787545788
2017-05-13,0.3946053946053946
2017-05-14,0.2630702630702631
2017-05-15,0.341991341991342
2017-05-16,0.22360972360972362
2017-05-17,0.0
2017-05-18,0.22360972360972362
2017-05-19,0.23676323676323677
2017-05-20,0.5392940392940393
2017-05-21,0.5392940392940393
2017-05-22,0.44721944721944723
2017-05-23,0.22360972360972362
2017-05-24,0.22360972360972362
2017-05-25,0.47352647352647353
2017-05-26,0.24991674991674992
2017-05-27,0.27622377622377625
2017-05-28,0.0
2017-05-29,0.23676323676323677
2017-05-30,0.22360972360972362
2017-05-31,0.4603729603729604
2017-06-01,0.4603729603729604
2017-06-02,0.7234432234432234
2017-06-03,0.5392940392940393
