date,melania trump speech
2017-02-26,0.0
2017-02-27,0.008
2017-02-28,0.008
2017-03-01,0.17138762214983713
2017-03-02,0.06035179153094462
2017-03-03,0.02284039087947883
2017-03-04,0.015674267100977197
2017-03-05,0.008169381107491857
2017-03-06,0.002501628664495114
2017-03-07,0.007335504885993486
2017-03-08,0.002501628664495114
2017-03-09,0.0098371335504886
2017-03-10,0.014671009771986971
2017-03-11,0.025172638436482084
2017-03-12,0.004169381107491857
2017-03-13,0.006501628664495114
2017-03-14,0.002501628664495114
2017-03-15,0.006501628664495114
2017-03-16,0.007335504885993486
2017-03-17,0.004169381107491857
2017-03-18,0.004
2017-03-19,0.007335504885993486
2017-03-20,0.0008338762214983714
2017-03-21,0.0016677524429967428
2017-03-22,0.006501628664495114
2017-03-23,0.0008338762214983714
2017-03-24,0.0033355048859934856
2017-03-25,0.002501628664495114
2017-03-26,0.0016677524429967428
2017-03-27,0.004
2017-03-28,0.0033355048859934856
2017-03-29,0.04067752442996743
2017-03-30,0.053016286644951144
2017-03-31,0.006501628664495114
2017-04-01,0.004169381107491857
2017-04-02,0.005003257328990228
2017-04-03,0.0016677524429967428
2017-04-04,0.010006514657980456
2017-04-05,0.006671009771986971
2017-04-06,0.006671009771986971
2017-04-07,0.006671009771986971
2017-04-08,0.0033355048859934856
2017-04-09,0.0033355048859934856
2017-04-10,0.0033355048859934856
2017-04-11,0.0016677524429967428
2017-04-12,0.006671009771986971
2017-04-13,0.0016677524429967428
2017-04-14,0.005003257328990228
2017-04-15,0.005003257328990228
2017-04-16,0.0033355048859934856
2017-04-17,0.006671009771986971
2017-04-18,0.006671009771986971
2017-04-19,0.005003257328990228
2017-04-20,0.0016677524429967428
2017-04-21,0.005003257328990228
2017-04-22,0.005003257328990228
2017-04-23,0.0033355048859934856
2017-04-24,0.005003257328990228
2017-04-25,0.0016677524429967428
2017-04-26,0.010006514657980456
2017-04-27,0.005003257328990228
2017-04-28,0.005003257328990228
2017-04-29,0.0033355048859934856
2017-04-30,0.005003257328990228
2017-05-01,0.005003257328990228
2017-05-02,0.0016677524429967428
2017-05-03,0.006671009771986971
2017-05-04,0.0016677524429967428
2017-05-05,0.005003257328990228
2017-05-06,0.0033355048859934856
2017-05-07,0.0033355048859934856
2017-05-08,0.005003257328990228
2017-05-09,0.005003257328990228
2017-05-10,0.005003257328990228
2017-05-11,0.0016677524429967428
2017-05-12,0.005003257328990228
2017-05-13,0.008338762214983714
2017-05-14,0.008338762214983714
2017-05-15,0.0016677524429967428
2017-05-16,0.005003257328990228
2017-05-17,0.005003257328990228
2017-05-18,0.006671009771986971
2017-05-19,0.005003257328990228
2017-05-20,0.0116742671009772
2017-05-21,0.040026058631921824
2017-05-22,0.01834527687296417
2017-05-23,0.010006514657980456
2017-05-24,0.01667752442996743
2017-05-25,0.0116742671009772
2017-05-26,0.013342019543973942
2017-05-27,0.0233485342019544
2017-05-28,0.013342019543973942
2017-05-29,0.006671009771986971
2017-05-30,0.0116742671009772
2017-05-31,0.0033355048859934856
2017-06-01,0.006671009771986971
2017-06-02,0.005003257328990228
2017-06-03,0.0
