date,muslim ban
2016-08-08,5.0
2016-08-09,12.0
2016-08-10,15.0
2016-08-11,22.0
2016-08-12,15.0
2016-08-13,12.0
2016-08-14,3.0
2016-08-15,5.0
2016-08-16,19.0
2016-08-17,7.0
2016-08-18,10.0
2016-08-19,8.0
2016-08-20,6.0
2016-08-21,17.0
2016-08-22,10.0
2016-08-23,7.0
2016-08-24,19.0
2016-08-25,20.0
2016-08-26,23.0
2016-08-27,8.0
2016-08-28,11.0
2016-08-29,21.0
2016-08-30,17.0
2016-08-31,7.0
2016-09-01,7.0
2016-09-02,10.0
2016-09-03,6.0
2016-09-04,8.0
2016-09-05,10.0
2016-09-06,5.0
2016-09-07,5.0
2016-09-08,19.0
2016-09-09,10.0
2016-09-10,8.0
2016-09-11,11.0
2016-09-12,5.0
2016-09-13,12.0
2016-09-14,12.0
2016-09-15,2.0
2016-09-16,10.0
2016-09-17,5.0
2016-09-18,8.0
2016-09-19,11.0
2016-09-20,16.0
2016-09-21,30.0
2016-09-22,30.0
2016-09-23,17.0
2016-09-24,0.0
2016-09-25,8.0
2016-09-26,21.0
2016-09-27,18.0
2016-09-28,18.0
2016-09-29,18.0
2016-09-30,12.0
2016-10-01,8.0
2016-10-02,5.0
2016-10-03,5.5
2016-10-04,3.5
2016-10-05,8.0
2016-10-06,3.5
2016-10-07,9.5
2016-10-08,5.5
2016-10-09,10.5
2016-10-10,12.5
2016-10-11,5.5
2016-10-12,8.0
2016-10-13,2.5
2016-10-14,4.5
2016-10-15,5.5
2016-10-16,2.5
2016-10-17,5.5
2016-10-18,5.5
2016-10-19,5.5
2016-10-20,5.5
2016-10-21,4.5
2016-10-22,6.5
2016-10-23,1.5
2016-10-24,3.5
2016-10-25,5.5
2016-10-26,3.5
2016-10-27,12.5
2016-10-28,4.5
2016-10-29,2.5
2016-10-30,2.5
2016-10-31,2.5
2016-11-01,6.0
2016-11-02,0.0
2016-11-03,0.0
2016-11-04,0.0
2016-11-05,0.0
2016-11-06,0.0
2016-11-07,0.0
2016-11-08,0.0
2016-11-09,1.0
2016-11-10,1.0
2016-11-11,2.0
2016-11-12,1.0
2016-11-13,0.0
2016-11-14,0.0
2016-11-15,0.0
2016-11-16,0.0
2016-11-17,0.0
2016-11-18,0.0
2016-11-19,0.0
2016-11-20,0.0
2016-11-21,0.0
2016-11-22,0.0
2016-11-23,0.0
2016-11-24,0.0
2016-11-25,0.0
2016-11-26,0.0
2016-11-27,0.0
2016-11-28,0.0
2016-11-29,0.0
2016-11-30,0.0
2016-12-01,0.0
2016-12-02,0.0
2016-12-03,0.0
2016-12-04,0.0
2016-12-05,0.0
2016-12-06,0.0
2016-12-07,0.0
2016-12-08,0.0
2016-12-09,0.0
2016-12-10,0.0
2016-12-11,0.0
2016-12-12,0.0
2016-12-13,0.0
2016-12-14,0.0
2016-12-15,0.0
2016-12-16,0.0
2016-12-17,0.0
2016-12-18,0.0
2016-12-19,0.0
2016-12-20,0.0
2016-12-21,0.0
2016-12-22,0.0
2016-12-23,0.0
2016-12-24,0.0
2016-12-25,0.0
2016-12-26,0.0
2016-12-27,0.0
2016-12-28,0.0
2016-12-29,0.0
2016-12-30,0.0
2016-12-31,0.0
2017-01-01,0.0
2017-01-02,0.0
2017-01-03,0.0
2017-01-04,0.0
2017-01-05,0.0
2017-01-06,0.0
2017-01-07,0.0
2017-01-08,0.0
2017-01-09,0.0
2017-01-10,0.0
2017-01-11,0.0
2017-01-12,0.0
2017-01-13,0.0
2017-01-14,0.0
2017-01-15,0.0
2017-01-16,0.0
2017-01-17,0.0
2017-01-18,0.0
2017-01-19,0.0
2017-01-20,0.0
2017-01-21,0.0
2017-01-22,0.0
2017-01-23,0.0
2017-01-24,0.0
2017-01-25,3.0
2017-01-26,3.0
2017-01-27,2.0
2017-01-28,36.0
2017-01-29,100.0
2017-01-30,59.0
2017-01-31,34.0
2017-02-01,18.0
2017-02-02,11.0
2017-02-03,8.0
2017-02-04,10.0
2017-02-05,7.0
2017-02-06,6.0
2017-02-07,6.0
2017-02-08,7.0
2017-02-09,5.0
2017-02-10,8.0
2017-02-11,3.0
2017-02-12,2.0
2017-02-13,3.0
2017-02-14,2.0
2017-02-15,2.0
2017-02-16,2.0
2017-02-17,2.0
2017-02-18,1.0
2017-02-19,1.0
2017-02-20,1.0
2017-02-21,1.0
2017-02-22,1.0
2017-02-23,1.0
2017-02-24,1.0
2017-02-25,1.0
2017-02-26,1.0
2017-02-27,1.0
2017-02-28,1.0
2017-03-01,1.1755150554675118
2017-03-02,1.0895404120443741
2017-03-03,1.0526941362916005
2017-03-04,0.3684627575277337
2017-03-05,0.7456418383518225
2017-03-06,2.2282091917591123
2017-03-07,1.384310618066561
2017-03-08,1.0649762282091917
2017-03-09,0.9790015847860538
2017-03-10,0.9053090332805072
2017-03-11,0.8438985736925515
2017-03-12,0.9175911251980983
2017-03-13,0.8684627575277337
2017-03-14,0.9298732171156894
2017-03-15,1.077258320126783
2017-03-16,2.2036450079239303
2017-03-17,1.1386687797147386
2017-03-18,0.8807448494453249
2017-03-19,0.8930269413629159
2017-03-20,0.8930269413629159
2017-03-21,1.0281299524564185
2017-03-22,0.9790015847860538
2017-03-23,0.9175911251980983
2017-03-24,0.9298732171156894
2017-03-25,0.8193343898573693
2017-03-26,0.7947702060221871
2017-03-27,0.3193343898573692
2017-03-28,0.8193343898573693
2017-03-29,0.8438985736925515
2017-03-30,0.8438985736925515
2017-03-31,0.8316164817749604
2017-04-01,0.23335974643423138
2017-04-02,0.41759112519809827
2017-04-03,0.6141045958795562
2017-04-04,0.786053882725832
2017-04-05,0.8351822503961965
2017-04-06,0.6141045958795562
2017-04-07,0.8597464342313788
2017-04-08,0.3438985736925515
2017-04-09,0.4421553090332805
2017-04-10,0.4421553090332805
2017-04-11,0.393026941362916
2017-04-12,0.3684627575277337
2017-04-13,0.41759112519809827
2017-04-14,0.4421553090332805
2017-04-15,0.3438985736925515
2017-04-16,0.22107765451664024
2017-04-17,0.41759112519809827
2017-04-18,0.46671949286846276
2017-04-19,0.3684627575277337
2017-04-20,0.393026941362916
2017-04-21,0.4421553090332805
2017-04-22,0.393026941362916
2017-04-23,0.41759112519809827
2017-04-24,0.4421553090332805
2017-04-25,0.393026941362916
2017-04-26,0.393026941362916
2017-04-27,0.393026941362916
2017-04-28,0.41759112519809827
2017-04-29,0.294770206022187
2017-04-30,0.3684627575277337
2017-05-01,0.3193343898573692
2017-05-02,0.41759112519809827
2017-05-03,0.4421553090332805
2017-05-04,0.3684627575277337
2017-05-05,0.41759112519809827
2017-05-06,0.27020602218700474
2017-05-07,0.27020602218700474
2017-05-08,0.8106180665610142
2017-05-09,0.9088748019017432
2017-05-10,0.393026941362916
2017-05-11,0.3438985736925515
2017-05-12,0.41759112519809827
2017-05-13,0.294770206022187
2017-05-14,0.3438985736925515
2017-05-15,0.5649762282091917
2017-05-16,0.5158478605388273
2017-05-17,0.41759112519809827
2017-05-18,0.41759112519809827
2017-05-19,0.3684627575277337
2017-05-20,0.46671949286846276
2017-05-21,0.46671949286846276
2017-05-22,0.41759112519809827
2017-05-23,0.6632329635499208
2017-05-24,0.7369255150554674
2017-05-25,0.786053882725832
2017-05-26,0.8597464342313788
2017-05-27,0.393026941362916
2017-05-28,0.491283676703645
2017-05-29,0.3438985736925515
2017-05-30,0.3684627575277337
2017-05-31,0.3684627575277337
2017-06-01,0.393026941362916
2017-06-02,0.6141045958795562
2017-06-03,0.3438985736925515
