date,wikileaks emails
2016-08-19,3.0
2016-08-20,2.0
2016-08-21,2.0
2016-08-22,3.0
2016-08-23,4.0
2016-08-24,6.0
2016-08-25,9.0
2016-08-26,7.0
2016-08-27,4.0
2016-08-28,5.0
2016-08-29,3.0
2016-08-30,4.0
2016-08-31,3.0
2016-09-01,4.0
2016-09-02,3.0
2016-09-03,4.0
2016-09-04,2.0
2016-09-05,2.0
2016-09-06,3.0
2016-09-07,5.0
2016-09-08,6.0
2016-09-09,4.0
2016-09-10,3.0
2016-09-11,1.0
2016-09-12,5.0
2016-09-13,3.0
2016-09-14,8.0
2016-09-15,7.0
2016-09-16,6.0
2016-09-17,4.0
2016-09-18,3.0
2016-09-19,3.0
2016-09-20,5.0
2016-09-21,4.0
2016-09-22,5.0
2016-09-23,3.0
2016-09-24,5.0
2016-09-25,6.0
2016-09-26,5.0
2016-09-27,10.0
2016-09-28,8.0
2016-09-29,7.0
2016-09-30,10.0
2016-10-01,6.749144811858609
2016-10-02,8.655074116305588
2016-10-03,12.529646522234891
2016-10-04,18.872862029646523
2016-10-05,12.061003420752566
2016-10-06,8.217787913340935
2016-10-07,16.466932725199545
2016-10-08,72.5855188141391
2016-10-09,46.43215507411631
2016-10-10,68.36773090079818
2016-10-11,73.52280501710376
2016-10-12,95.86431014823262
2016-10-13,88.9897377423033
2016-10-14,86.7405929304447
2016-10-15,90.45838084378563
2016-10-16,75.99144811858609
2016-10-17,85.2405929304447
2016-10-18,65.33637400228051
2016-10-19,63.80501710376283
2016-10-20,72.55416191562144
2016-10-21,75.52280501710376
2016-10-22,34.245724059293046
2016-10-23,31.96522234891676
2016-10-24,33.808437856328396
2016-10-25,28.059293044469783
2016-10-26,30.93386545039909
2016-10-27,34.808437856328396
2016-10-28,68.14823261117445
2016-10-29,61.461801596351194
2016-10-30,55.118586088939566
2016-10-31,61.43044469783352
2016-11-01,59.05587229190422
2016-11-02,64.672748004561
2016-11-03,59.986316989737745
2016-11-04,52.488027366020525
2016-11-05,45.92702394526796
2016-11-06,57.17445838084379
2016-11-07,48.73888255416192
2016-11-08,30.930444697833526
2016-11-09,33.74230330672748
2016-11-10,23.432155074116306
2016-11-11,14.059293044469785
2016-11-12,9.372862029646523
2016-11-13,10.310148232611175
2016-11-14,6.561003420752566
2016-11-15,4.6864310148232615
2016-11-16,4.6864310148232615
2016-11-17,4.6864310148232615
2016-11-18,2.8118586088939566
2016-11-19,4.6864310148232615
2016-11-20,4.6864310148232615
2016-11-21,2.8118586088939566
2016-11-22,2.8118586088939566
2016-11-23,2.8118586088939566
2016-11-24,2.8118586088939566
2016-11-25,2.8118586088939566
2016-11-26,1.8745724059293045
2016-11-27,3.749144811858609
2016-11-28,3.749144811858609
2016-11-29,2.8118586088939566
2016-11-30,3.749144811858609
2016-12-01,0.9372862029646523
2016-12-02,0.9372862029646523
2016-12-03,1.8745724059293045
2016-12-04,0.0
2016-12-05,1.8745724059293045
2016-12-06,3.749144811858609
2016-12-07,3.749144811858609
2016-12-08,2.8118586088939566
2016-12-09,0.9372862029646523
2016-12-10,3.749144811858609
2016-12-11,2.8118586088939566
2016-12-12,3.749144811858609
2016-12-13,0.9372862029646523
2016-12-14,2.8118586088939566
2016-12-15,5.623717217787913
2016-12-16,6.561003420752566
2016-12-17,3.749144811858609
2016-12-18,2.8118586088939566
2016-12-19,0.9372862029646523
2016-12-20,1.8745724059293045
2016-12-21,0.9372862029646523
2016-12-22,0.9372862029646523
2016-12-23,0.9372862029646523
2016-12-24,0.9372862029646523
2016-12-25,1.8745724059293045
2016-12-26,0.0
2016-12-27,0.9372862029646523
2016-12-28,0.9372862029646523
2016-12-29,0.9372862029646523
2016-12-30,1.8745724059293045
2016-12-31,1.8745724059293045
2017-01-01,0.9372862029646523
2017-01-02,0.9372862029646523
2017-01-03,0.9372862029646523
2017-01-04,4.6864310148232615
2017-01-05,3.749144811858609
2017-01-06,5.623717217787913
2017-01-07,1.8745724059293045
2017-01-08,2.8118586088939566
2017-01-09,2.8118586088939566
2017-01-10,1.8745724059293045
2017-01-11,2.8118586088939566
2017-01-12,0.9372862029646523
2017-01-13,0.9372862029646523
2017-01-14,0.9372862029646523
2017-01-15,0.9372862029646523
2017-01-16,0.0
2017-01-17,0.9372862029646523
2017-01-18,1.8745724059293045
2017-01-19,0.9372862029646523
2017-01-20,1.8745724059293045
2017-01-21,0.0
2017-01-22,3.749144811858609
2017-01-23,1.8745724059293045
2017-01-24,0.9372862029646523
2017-01-25,0.9372862029646523
2017-01-26,2.8118586088939566
2017-01-27,0.9372862029646523
2017-01-28,0.9372862029646523
2017-01-29,0.0
2017-01-30,0.9372862029646523
2017-01-31,0.9372862029646523
2017-02-01,0.9372862029646523
2017-02-02,1.8745724059293045
2017-02-03,0.9372862029646523
2017-02-04,1.8745724059293045
2017-02-05,0.9372862029646523
2017-02-06,0.9372862029646523
2017-02-07,0.9372862029646523
2017-02-08,1.8745724059293045
2017-02-09,0.9372862029646523
2017-02-10,0.9372862029646523
2017-02-11,0.9372862029646523
2017-02-12,0.0
2017-02-13,1.8745724059293045
2017-02-14,1.8745724059293045
2017-02-15,1.8745724059293045
2017-02-16,1.8745724059293045
2017-02-17,2.8118586088939566
2017-02-18,1.8745724059293045
2017-02-19,0.9372862029646523
2017-02-20,1.8745724059293045
2017-02-21,0.9372862029646523
2017-02-22,1.8745724059293045
2017-02-23,0.9372862029646523
2017-02-24,0.9372862029646523
2017-02-25,0.9372862029646523
2017-02-26,0.9372862029646523
2017-02-27,0.9372862029646523
2017-02-28,1.8745724059293045
2017-03-01,1.0075826681870013
2017-03-02,0.8435575826681871
2017-03-03,1.1013112884834664
2017-03-04,0.7029646522234893
2017-03-05,0.9841505131128849
2017-03-06,1.07787913340935
2017-03-07,1.288768529076397
2017-03-08,2.460376282782212
2017-03-09,1.07787913340935
2017-03-10,1.7105473204104906
2017-03-11,0.913854047890536
2017-03-12,0.46864310148232613
2017-03-13,0.7732611174458381
2017-03-14,1.5465222348916763
2017-03-15,0.2343215507411631
2017-03-16,0.913854047890536
2017-03-17,0.7029646522234893
2017-03-18,0.8201254275940708
2017-03-19,0.16402508551881417
2017-03-20,1.3824971493728622
2017-03-21,0.913854047890536
2017-03-22,0.8201254275940708
2017-03-23,1.4059293044469785
2017-03-24,0.32805017103762835
2017-03-25,0.5389395667046751
2017-03-26,0.3514823261117446
2017-03-27,0.8435575826681871
2017-03-28,0.14059293044469787
2017-03-29,0.7732611174458381
2017-03-30,0.0
2017-03-31,0.7029646522234893
2017-04-01,0.18745724059293048
2017-04-02,0.7029646522234893
2017-04-03,0.609236031927024
2017-04-04,1.218472063854048
2017-04-05,0.4686431014823262
2017-04-06,0.4686431014823262
2017-04-07,0.4686431014823262
2017-04-08,0.37491448118586096
2017-04-09,0.9372862029646524
2017-04-10,0.609236031927024
2017-04-11,0.9372862029646524
2017-04-12,0.32805017103762835
2017-04-13,0.6561003420752567
2017-04-14,0.7029646522234893
2017-04-15,0.7498289623717219
2017-04-16,0.7498289623717219
2017-04-17,0.6561003420752567
2017-04-18,0.28118586088939573
2017-04-19,0.28118586088939573
2017-04-20,0.32805017103762835
2017-04-21,0.0
2017-04-22,0.37491448118586096
2017-04-23,1.0778791334093503
2017-04-24,0.609236031927024
2017-04-25,0.4686431014823262
2017-04-26,0.609236031927024
2017-04-27,0.7498289623717219
2017-04-28,0.32805017103762835
2017-04-29,0.37491448118586096
2017-04-30,0.37491448118586096
2017-05-01,0.32805017103762835
2017-05-02,0.28118586088939573
2017-05-03,1.0778791334093503
2017-05-04,0.9372862029646524
2017-05-05,1.5933865450399092
2017-05-06,4.686431014823262
2017-05-07,2.8587229190421897
2017-05-08,1.218472063854048
2017-05-09,0.4686431014823262
2017-05-10,0.7498289623717219
2017-05-11,0.9372862029646524
2017-05-12,0.9372862029646524
2017-05-13,0.37491448118586096
2017-05-14,0.37491448118586096
2017-05-15,0.7498289623717219
2017-05-16,2.7649942987457248
2017-05-17,2.6244013683010268
2017-05-18,0.609236031927024
2017-05-19,1.4527936145952112
2017-05-20,1.0778791334093503
2017-05-21,1.2653363740022807
2017-05-22,1.359064994298746
2017-05-23,1.218472063854048
2017-05-24,0.609236031927024
2017-05-25,1.5933865450399092
2017-05-26,0.8435575826681871
2017-05-27,0.0
2017-05-28,0.5623717217787915
2017-05-29,0.4686431014823262
2017-05-30,1.2653363740022807
2017-05-31,0.609236031927024
2017-06-01,0.9372862029646524
2017-06-02,1.1716077537058156
2017-06-03,0.5623717217787915
