date,obama car
2016-09-25,8.0
2016-09-26,6.0
2016-09-27,6.0
2016-09-28,8.0
2016-09-29,10.0
2016-09-30,10.0
2016-10-01,10.485294117647058
2016-10-02,4.952488687782806
2016-10-03,7.372171945701358
2016-10-04,8.09841628959276
2016-10-05,8.17873303167421
2016-10-06,2.0328054298642533
2016-10-07,9.211538461538462
2016-10-08,5.145927601809955
2016-10-09,7.372171945701358
2016-10-10,6.678733031674208
2016-10-11,5.952488687782806
2016-10-12,10.631221719457013
2016-10-13,10.437782805429865
2016-10-14,10.018099547511312
2016-10-15,11.824660633484164
2016-10-16,6.985294117647059
2016-10-17,7.872171945701358
2016-10-18,8.09841628959276
2016-10-19,11.018099547511312
2016-10-20,10.904977375565611
2016-10-21,8.904977375565611
2016-10-22,7.372171945701358
2016-10-23,5.5656108597285066
2016-10-24,5.339366515837105
2016-10-25,9.79185520361991
2016-10-26,9.937782805429865
2016-10-27,10.324660633484164
2016-10-28,11.711538461538462
2016-10-29,10.824660633484164
2016-10-30,12.518099547511312
2016-10-31,6.145927601809955
2016-11-01,9.29185520361991
2016-11-02,9.196832579185521
2016-11-03,4.904977375565611
2016-11-04,9.196832579185521
2016-11-05,6.744343891402716
2016-11-06,7.970588235294118
2016-11-07,10.423076923076923
2016-11-08,15.941176470588236
2016-11-09,39.23981900452489
2016-11-10,31.88235294117647
2016-11-11,25.751131221719458
2016-11-12,20.846153846153847
2016-11-13,25.751131221719458
2016-11-14,19.006787330316744
2016-11-15,25.751131221719458
2016-11-16,15.941176470588236
2016-11-17,22.07239819004525
2016-11-18,12.262443438914028
2016-11-19,8.58371040723982
2016-11-20,5.518099547511312
2016-11-21,7.357466063348417
2016-11-22,9.809954751131222
2016-11-23,9.809954751131222
2016-11-24,6.131221719457014
2016-11-25,9.809954751131222
2016-11-26,7.970588235294118
2016-11-27,7.970588235294118
2016-11-28,6.131221719457014
2016-11-29,3.6787330316742084
2016-11-30,3.065610859728507
2016-12-01,9.196832579185521
2016-12-02,8.58371040723982
2016-12-03,4.29185520361991
2016-12-04,7.357466063348417
2016-12-05,8.58371040723982
2016-12-06,7.357466063348417
2016-12-07,7.357466063348417
2016-12-08,7.357466063348417
2016-12-09,11.649321266968327
2016-12-10,7.970588235294118
2016-12-11,7.357466063348417
2016-12-12,4.904977375565611
2016-12-13,4.29185520361991
2016-12-14,4.904977375565611
2016-12-15,6.131221719457014
2016-12-16,7.970588235294118
2016-12-17,11.036199095022624
2016-12-18,7.357466063348417
2016-12-19,9.809954751131222
2016-12-20,11.649321266968327
2016-12-21,11.649321266968327
2016-12-22,13.488687782805432
2016-12-23,6.744343891402716
2016-12-24,3.6787330316742084
2016-12-25,9.809954751131222
2016-12-26,5.518099547511312
2016-12-27,11.036199095022624
2016-12-28,8.58371040723982
2016-12-29,9.196832579185521
2016-12-30,7.970588235294118
2016-12-31,6.131221719457014
2017-01-01,7.970588235294118
2017-01-02,6.131221719457014
2017-01-03,11.036199095022624
2017-01-04,8.58371040723982
2017-01-05,7.970588235294118
2017-01-06,9.809954751131222
2017-01-07,11.649321266968327
2017-01-08,9.196832579185521
2017-01-09,5.518099547511312
2017-01-10,15.941176470588236
2017-01-11,40.46606334841629
2017-01-12,15.941176470588236
2017-01-13,16.554298642533936
2017-01-14,14.101809954751133
2017-01-15,6.131221719457014
2017-01-16,10.423076923076923
2017-01-17,9.809954751131222
2017-01-18,19.619909502262445
2017-01-19,23.298642533936654
2017-01-20,61.31221719457014
2017-01-21,42.918552036199095
2017-01-22,29.429864253393667
2017-01-23,34.33484162895928
2017-01-24,31.88235294117647
2017-01-25,26.977375565610863
2017-01-26,19.619909502262445
2017-01-27,7.970588235294118
2017-01-28,9.809954751131222
2017-01-29,12.875565610859729
2017-01-30,14.714932126696834
2017-01-31,13.488687782805432
2017-02-01,11.036199095022624
2017-02-02,9.809954751131222
2017-02-03,6.744343891402716
2017-02-04,9.809954751131222
2017-02-05,7.357466063348417
2017-02-06,6.744343891402716
2017-02-07,7.357466063348417
2017-02-08,11.649321266968327
2017-02-09,3.065610859728507
2017-02-10,7.970588235294118
2017-02-11,7.970588235294118
2017-02-12,9.196832579185521
2017-02-13,6.131221719457014
2017-02-14,7.970588235294118
2017-02-15,7.357466063348417
2017-02-16,3.6787330316742084
2017-02-17,6.744343891402716
2017-02-18,7.970588235294118
2017-02-19,7.970588235294118
2017-02-20,4.29185520361991
2017-02-21,2.4524886877828056
2017-02-22,5.518099547511312
2017-02-23,6.744343891402716
2017-02-24,4.904977375565611
2017-02-25,3.065610859728507
2017-02-26,3.6787330316742084
2017-02-27,4.904977375565611
2017-02-28,7.970588235294118
2017-03-01,4.57696747641036
2017-03-02,5.449567973684617
2017-03-03,6.862573934798388
2017-03-04,8.701940450635492
2017-03-05,6.4262736861612595
2017-03-06,9.382024771053079
2017-03-07,9.065523991166433
2017-03-08,4.561273222862262
2017-03-09,8.815985359751672
2017-03-10,5.231417849366053
2017-03-11,3.5845675103856194
2017-03-12,6.176735054746498
2017-03-13,4.867834308835112
2017-03-14,3.9638453044646584
2017-03-15,3.3350288789708586
2017-03-16,4.867834308835112
2017-03-17,6.498990394267448
2017-03-18,5.465262227232715
2017-03-19,3.875434342810372
2017-03-20,4.280346084351304
2017-03-21,2.4467341281485027
2017-03-22,4.519945021852269
2017-03-23,5.143006887711767
2017-03-24,6.306474217410777
2017-03-25,6.6287295569317255
2017-03-26,5.0389016725093825
2017-03-27,6.369251231603169
2017-03-28,4.545578969314164
2017-03-29,5.257051796827946
2017-03-30,3.4234398406251447
2017-03-31,3.132573008200392
2017-04-01,1.6468503389804334
2017-04-02,3.6358354053094066
2017-04-03,1.8906344107608914
2017-04-04,7.271670810618813
2017-04-05,3.0541017404599016
2017-04-06,4.944736151220793
2017-04-07,4.508435902583664
2017-04-08,6.544503729556932
2017-04-09,4.363002486371288
2017-04-10,6.8353705619816845
2017-04-11,7.562537643043566
2017-04-12,2.4723680756103965
2017-04-13,3.199535156672278
2017-04-14,3.4904019890970304
2017-04-15,6.8353705619816845
2017-04-16,5.2356029836455455
2017-04-17,4.6538693187960405
2017-04-18,4.217569070158912
2017-04-19,1.7452009945485152
2017-04-20,4.363002486371288
2017-04-21,4.508435902583664
2017-04-22,5.817336648495051
2017-04-23,5.671903232282674
2017-04-24,4.363002486371288
2017-04-25,3.0541017404599016
2017-04-26,5.962770064707427
2017-04-27,6.108203480919803
2017-04-28,4.508435902583664
2017-04-29,6.544503729556932
2017-04-30,5.2356029836455455
2017-05-01,3.344968572884654
2017-05-02,3.6358354053094066
2017-05-03,14.543341621237627
2017-05-04,9.744038886229209
2017-05-05,5.671903232282674
2017-05-06,5.090169567433169
2017-05-07,4.944736151220793
2017-05-08,7.998837891680695
2017-05-09,2.4723680756103965
2017-05-10,7.4171042268311895
2017-05-11,4.944736151220793
2017-05-12,8.289704724105448
2017-05-13,3.6358354053094066
2017-05-14,3.6358354053094066
2017-05-15,2.4723680756103965
2017-05-16,2.4723680756103965
2017-05-17,4.363002486371288
2017-05-18,3.0541017404599016
2017-05-19,3.199535156672278
2017-05-20,2.9086683242475253
2017-05-21,2.9086683242475253
2017-05-22,7.271670810618813
2017-05-23,6.689937145769308
2017-05-24,8.14427130789307
2017-05-25,1.8906344107608914
2017-05-26,7.998837891680695
2017-05-27,6.108203480919803
2017-05-28,3.0541017404599016
2017-05-29,3.199535156672278
2017-05-30,1.3089007459113864
2017-05-31,4.944736151220793
2017-06-01,2.4723680756103965
2017-06-02,3.344968572884654
2017-06-03,7.4171042268311895
