date,bernie sanders
2016-12-01,5.397590361445784
2016-12-02,6.168674698795181
2016-12-03,3.855421686746988
2016-12-04,3.855421686746988
2016-12-05,3.0843373493975905
2016-12-06,3.855421686746988
2016-12-07,3.0843373493975905
2016-12-08,3.0843373493975905
2016-12-09,3.0843373493975905
2016-12-10,2.313253012048193
2016-12-11,3.0843373493975905
2016-12-12,3.0843373493975905
2016-12-13,3.855421686746988
2016-12-14,3.855421686746988
2016-12-15,3.0843373493975905
2016-12-16,3.0843373493975905
2016-12-17,3.0843373493975905
2016-12-18,3.0843373493975905
2016-12-19,2.313253012048193
2016-12-20,3.855421686746988
2016-12-21,3.0843373493975905
2016-12-22,2.313253012048193
2016-12-23,2.313253012048193
2016-12-24,2.313253012048193
2016-12-25,2.313253012048193
2016-12-26,2.313253012048193
2016-12-27,2.313253012048193
2016-12-28,2.313253012048193
2016-12-29,2.313253012048193
2016-12-30,2.313253012048193
2016-12-31,2.313253012048193
2017-01-01,3.0843373493975905
2017-01-02,3.0843373493975905
2017-01-03,2.313253012048193
2017-01-04,3.855421686746988
2017-01-05,6.168674698795181
2017-01-06,3.855421686746988
2017-01-07,3.0843373493975905
2017-01-08,3.0843373493975905
2017-01-09,3.0843373493975905
2017-01-10,6.9397590361445785
2017-01-11,3.855421686746988
2017-01-12,3.855421686746988
2017-01-13,3.855421686746988
2017-01-14,3.855421686746988
2017-01-15,4.626506024096386
2017-01-16,3.855421686746988
2017-01-17,3.855421686746988
2017-01-18,6.168674698795181
2017-01-19,6.9397590361445785
2017-01-20,13.10843373493976
2017-01-21,11.566265060240964
2017-01-22,9.253012048192772
2017-01-23,6.9397590361445785
2017-01-24,7.710843373493976
2017-01-25,6.9397590361445785
2017-01-26,6.168674698795181
2017-01-27,4.626506024096386
2017-01-28,3.855421686746988
2017-01-29,5.397590361445784
2017-01-30,4.626506024096386
2017-01-31,5.397590361445784
2017-02-01,4.626506024096386
2017-02-02,3.855421686746988
2017-02-03,4.626506024096386
2017-02-04,3.0843373493975905
2017-02-05,4.626506024096386
2017-02-06,4.626506024096386
2017-02-07,5.397590361445784
2017-02-08,19.27710843373494
2017-02-09,6.9397590361445785
2017-02-10,3.855421686746988
2017-02-11,4.626506024096386
2017-02-12,9.253012048192772
2017-02-13,4.626506024096386
2017-02-14,3.855421686746988
2017-02-15,3.0843373493975905
2017-02-16,3.0843373493975905
2017-02-17,3.0843373493975905
2017-02-18,3.0843373493975905
2017-02-19,3.0843373493975905
2017-02-20,2.313253012048193
2017-02-21,2.313253012048193
2017-02-22,3.0843373493975905
2017-02-23,2.313253012048193
2017-02-24,3.0843373493975905
2017-02-25,4.626506024096386
2017-02-26,5.397590361445784
2017-02-27,3.855421686746988
2017-02-28,3.855421686746988
2017-03-01,6.121645412654431
2017-03-02,3.7197226006950297
2017-03-03,2.939330383796942
2017-03-04,2.8178380612666682
2017-03-05,2.8785842225318046
2017-03-06,2.3411766506942637
2017-03-07,2.2804304894291274
2017-03-08,2.21968432816399
2017-03-09,2.3715497313268323
2017-03-10,2.2804304894291274
2017-03-11,2.432295892591969
2017-03-12,2.3108035700616956
2017-03-13,2.432295892591969
2017-03-14,3.993080326388145
2017-03-15,5.219760873226068
2017-03-16,3.8715880038578714
2017-03-17,3.212688109490057
2017-03-18,3.000076545062078
2017-03-19,3.577165077080878
2017-03-20,2.8785842225318046
2017-03-21,2.401922811959401
2017-03-22,2.5537882151222426
2017-03-23,2.3715497313268323
2017-03-24,3.1519419482249202
2017-03-25,3.567857197532187
2017-03-26,3.182315028857489
2017-03-27,2.939330383796942
2017-03-28,2.432295892591969
2017-03-29,2.432295892591969
2017-03-30,2.3108035700616956
2017-03-31,2.3108035700616956
2017-04-01,3.0608227063272153
2017-04-02,2.4298464506054716
2017-04-03,3.0980542245219764
2017-04-04,3.21954654705225
2017-04-05,2.2476079668100613
2017-04-06,2.4905926118706088
2017-04-07,2.8550695794614294
2017-04-08,2.369100289340335
2017-04-09,2.2476079668100613
2017-04-10,2.004623321749514
2017-04-11,2.2476079668100613
2017-04-12,2.1868618055449245
2017-04-13,2.4905926118706088
2017-04-14,2.4905926118706088
2017-04-15,2.065369483014651
2017-04-16,2.2476079668100613
2017-04-17,2.308354128075198
2017-04-18,2.733577256931156
2017-04-19,2.915815740726566
2017-04-20,3.3410388695825235
2017-04-21,4.434469772354986
2017-04-22,3.7055158371733445
2017-04-23,3.887754320968755
2017-04-24,3.9485004822338916
2017-04-25,2.672831095666019
2017-04-26,3.0373080632568397
2017-04-27,2.5513387731357455
2017-04-28,3.0980542245219764
2017-04-29,2.4298464506054716
2017-04-30,2.308354128075198
2017-05-01,2.5513387731357455
2017-05-02,2.308354128075198
2017-05-03,2.308354128075198
2017-05-04,2.4905926118706088
2017-05-05,3.827008159703618
2017-05-06,2.7943234181962926
2017-05-07,2.4905926118706088
2017-05-08,2.4905926118706088
2017-05-09,2.672831095666019
2017-05-10,3.0373080632568397
2017-05-11,2.8550695794614294
2017-05-12,2.369100289340335
2017-05-13,2.1868618055449245
2017-05-14,1.9438771604843774
2017-05-15,1.8223848379541039
2017-05-16,2.5513387731357455
2017-05-17,3.9485004822338916
2017-05-18,2.1868618055449245
2017-05-19,2.5513387731357455
2017-05-20,2.369100289340335
2017-05-21,2.2476079668100613
2017-05-22,1.9438771604843774
2017-05-23,1.8831309992192407
2017-05-24,1.9438771604843774
2017-05-25,2.2476079668100613
2017-05-26,2.733577256931156
2017-05-27,2.2476079668100613
2017-05-28,2.369100289340335
2017-05-29,2.369100289340335
2017-05-30,2.5513387731357455
2017-05-31,3.21954654705225
2017-06-01,3.0980542245219764
2017-06-02,3.2802927083173867
2017-06-03,2.4905926118706088
