date,president obama protest
2017-03-25,0.0
2017-03-26,0.0
2017-03-27,0.0
2017-03-28,0.0
2017-03-29,2.4651162790697674
2017-03-30,0.0
2017-03-31,0.0
2017-04-01,0.0
2017-04-02,0.0
2017-04-03,0.0
2017-04-04,0.0
2017-04-05,0.0
2017-04-06,0.0
2017-04-07,6.104651162790697
2017-04-08,0.0
2017-04-09,3.4186046511627906
2017-04-10,2.9912790697674416
2017-04-11,0.0
2017-04-12,0.0
2017-04-13,0.0
2017-04-14,0.0
2017-04-15,0.0
2017-04-16,0.0
2017-04-17,0.0
2017-04-18,0.0
2017-04-19,0.0
2017-04-20,0.0
2017-04-21,0.0
2017-04-22,0.0
2017-04-23,0.0
2017-04-24,2.9302325581395348
2017-04-25,0.0
2017-04-26,2.869186046511628
2017-04-27,0.0
2017-04-28,0.0
2017-04-29,0.0
2017-04-30,3.4796511627906974
2017-05-01,0.0
2017-05-02,5.8604651162790695
2017-05-03,0.0
2017-05-04,0.0
2017-05-05,0.0
2017-05-06,0.0
2017-05-07,0.0
2017-05-08,2.9302325581395348
2017-05-09,0.0
2017-05-10,0.0
2017-05-11,0.0
2017-05-12,0.0
2017-05-13,0.0
2017-05-14,0.0
2017-05-15,0.0
2017-05-16,0.0
2017-05-17,0.0
2017-05-18,2.9302325581395348
2017-05-19,6.0436046511627906
2017-05-20,0.0
2017-05-21,3.4796511627906974
2017-05-22,4.334302325581395
2017-05-23,2.869186046511628
2017-05-24,2.9302325581395348
2017-05-25,3.0523255813953485
2017-05-26,0.0
2017-05-27,0.0
2017-05-28,0.0
2017-05-29,0.0
2017-05-30,0.0
2017-05-31,2.9912790697674416
2017-06-01,0.0
2017-06-02,3.0523255813953485
2017-06-03,0.0
