date,trump unhealthy
2017-02-06,47.335031847133756
2017-02-07,35.142675159235665
2017-02-08,71.71974522292993
2017-02-09,35.859872611464965
2017-02-10,25.101910828025478
2017-02-11,27.970700636942674
2017-02-12,27.253503184713374
2017-02-13,35.142675159235665
2017-02-14,23.667515923566878
2017-02-15,24.384713375796178
2017-02-16,23.667515923566878
2017-02-17,37.294267515923565
2017-02-18,0.0
2017-02-19,0.0
2017-02-20,0.0
2017-02-21,71.00254777070063
2017-02-22,0.0
2017-02-23,0.0
2017-02-24,25.101910828025478
2017-02-25,55.94140127388535
2017-02-26,27.970700636942674
2017-02-27,24.384713375796178
2017-02-28,24.384713375796178
2017-03-01,23.828397829391733
2017-03-02,72.20726614967191
2017-03-03,12.721587738372431
2017-03-04,13.626751592356687
2017-03-05,27.43876113687533
2017-03-06,29.643980795504845
2017-03-07,29.643980795504845
2017-03-08,0.0
2017-03-09,11.833757961783439
2017-03-10,0.0
2017-03-11,27.43876113687533
2017-03-12,27.08016241076068
2017-03-13,11.833757961783439
2017-03-14,0.0
2017-03-15,11.994639867608292
2017-03-16,0.0
2017-03-17,44.090309234706645
2017-03-18,0.0
2017-03-19,27.43876113687533
2017-03-20,0.0
2017-03-21,35.66215579117517
2017-03-22,0.0
2017-03-23,11.833757961783439
2017-03-24,12.721587738372431
2017-03-25,0.0
2017-03-26,14.17548347990071
2017-03-27,11.833757961783439
2017-03-28,11.833757961783439
2017-03-29,12.358113802990362
2017-03-30,0.0
2017-03-31,0.0
2017-04-01,0.0
2017-04-02,0.0
2017-04-03,23.989279735216584
2017-04-04,0.0
2017-04-05,0.0
2017-04-06,0.0
2017-04-07,0.0
2017-04-08,29.077914830565557
2017-04-09,0.0
2017-04-10,0.0
2017-04-11,0.0
2017-04-12,0.0
2017-04-13,0.0
2017-04-14,0.0
2017-04-15,29.804862701329697
2017-04-16,0.0
2017-04-17,26.170123347509
2017-04-18,0.0
2017-04-19,0.0
2017-04-20,24.716227605980723
2017-04-21,0.0
2017-04-22,0.0
2017-04-23,0.0
2017-04-24,0.0
2017-04-25,0.0
2017-04-26,0.0
2017-04-27,24.716227605980723
2017-04-28,0.0
2017-04-29,43.616872245848334
2017-04-30,29.077914830565557
2017-05-01,26.89707121827314
2017-05-02,36.347393538206944
2017-05-03,23.989279735216584
2017-05-04,48.705507341197304
2017-05-05,0.0
2017-05-06,0.0
2017-05-07,0.0
2017-05-08,0.0
2017-05-09,0.0
2017-05-10,48.705507341197304
2017-05-11,24.716227605980723
2017-05-12,0.0
2017-05-13,42.8899243750842
2017-05-14,29.077914830565557
2017-05-15,24.716227605980723
2017-05-16,49.43245521196145
2017-05-17,36.347393538206944
2017-05-18,49.43245521196145
2017-05-19,0.0
2017-05-20,29.077914830565557
2017-05-21,0.0
2017-05-22,0.0
2017-05-23,0.0
2017-05-24,24.716227605980723
2017-05-25,25.443175476744862
2017-05-26,26.89707121827314
2017-05-27,0.0
2017-05-28,0.0
2017-05-29,26.170123347509
2017-05-30,25.443175476744862
2017-05-31,24.716227605980723
2017-06-01,37.80128927973522
2017-06-02,0.0
2017-06-03,29.804862701329697
