date,trump pussy
2017-01-21,25.39651837524178
2017-01-22,24.41972920696325
2017-01-23,9.7678916827853
2017-01-24,7.81431334622824
2017-01-25,4.88394584139265
2017-01-26,3.90715667311412
2017-01-27,4.88394584139265
2017-01-28,3.90715667311412
2017-01-29,3.90715667311412
2017-01-30,3.90715667311412
2017-01-31,2.93036750483559
2017-02-01,2.93036750483559
2017-02-02,2.93036750483559
2017-02-03,2.93036750483559
2017-02-04,2.93036750483559
2017-02-05,2.93036750483559
2017-02-06,2.93036750483559
2017-02-07,0.97678916827853
2017-02-08,1.95357833655706
2017-02-09,1.95357833655706
2017-02-10,1.95357833655706
2017-02-11,1.95357833655706
2017-02-12,1.95357833655706
2017-02-13,1.95357833655706
2017-02-14,1.95357833655706
2017-02-15,1.95357833655706
2017-02-16,1.95357833655706
2017-02-17,2.93036750483559
2017-02-18,1.95357833655706
2017-02-19,1.95357833655706
2017-02-20,2.93036750483559
2017-02-21,1.95357833655706
2017-02-22,1.95357833655706
2017-02-23,1.95357833655706
2017-02-24,1.95357833655706
2017-02-25,1.95357833655706
2017-02-26,1.95357833655706
2017-02-27,0.97678916827853
2017-02-28,0.97678916827853
2017-03-01,1.7367200202599289
2017-03-02,1.039344451825779
2017-03-03,1.0583427231253142
2017-03-04,1.6512277994120215
2017-03-05,1.1628332152727565
2017-03-06,1.565735578564114
2017-03-07,0.9348539596783367
2017-03-08,1.917203597605511
2017-03-09,1.2293271648211288
2017-03-10,1.0108470448764766
2017-03-11,1.8507096480571388
2017-03-12,1.622730392462719
2017-03-13,0.9918487735769417
2017-03-14,1.096339265724384
2017-03-15,1.096339265724384
2017-03-16,1.0013479092267092
2017-03-17,1.153334079622989
2017-03-18,1.2198280291713615
2017-03-19,0.9728505022774068
2017-03-20,0.9443530953281043
2017-03-21,1.0488435874755466
2017-03-22,1.5752347142138816
2017-03-23,1.039344451825779
2017-03-24,1.6892243420110913
2017-03-25,1.0298453161760117
2017-03-26,1.2198280291713615
2017-03-27,1.0013479092267092
2017-03-28,1.1438349439732214
2017-03-29,1.0583427231253142
2017-03-30,1.0203461805262442
2017-03-31,1.0488435874755466
2017-04-01,1.917203597605511
2017-04-02,0.8169256658800037
2017-04-03,1.0829014640734933
2017-04-04,1.329878990967448
2017-04-05,1.1018997353730282
2017-04-06,1.5578582465618676
2017-04-07,1.3678755335665178
2017-04-08,1.0829014640734933
2017-04-09,1.4438686187646577
2017-04-10,0.9689118362762835
2017-04-11,0.8359239371795387
2017-04-12,1.215889363170238
2017-04-13,1.177892820571168
2017-04-14,0.8549222084790736
2017-04-15,1.1588945492716332
2017-04-16,0.7219343093823288
2017-04-17,0.5319515963869792
2017-04-18,1.1018997353730282
2017-04-19,0.7599308519813988
2017-04-20,1.0069083788753534
2017-04-21,0.8739204797786086
2017-04-22,0.8549222084790736
2017-04-23,1.2538859057693081
2017-04-24,0.664939495483724
2017-04-25,1.0639031927739584
2017-04-26,1.2538859057693081
2017-04-27,0.7599308519813988
2017-04-28,0.7599308519813988
2017-04-29,0.8929187510781436
2017-04-30,1.2538859057693081
2017-05-01,0.9119170223776786
2017-05-02,0.8929187510781436
2017-05-03,0.7789291232809338
2017-05-04,1.1018997353730282
2017-05-05,1.0259066501748884
2017-05-06,1.3108807196679129
2017-05-07,1.0829014640734933
2017-05-08,1.0449049214744233
2017-05-09,0.9879101075758184
2017-05-10,1.291882448368378
2017-05-11,1.1398962779720982
2017-05-12,0.8929187510781436
2017-05-13,1.5198617039627975
2017-05-14,0.6839377667832589
2017-05-15,0.664939495483724
2017-05-16,1.215889363170238
2017-05-17,1.0449049214744233
2017-05-18,1.1588945492716332
2017-05-19,1.215889363170238
2017-05-20,1.329878990967448
2017-05-21,1.5198617039627975
2017-05-22,1.0449049214744233
2017-05-23,1.1018997353730282
2017-05-24,1.291882448368378
2017-05-25,1.3678755335665178
2017-05-26,1.291882448368378
2017-05-27,1.215889363170238
2017-05-28,1.5958547891609376
2017-05-29,0.7409325806818639
2017-05-30,1.0069083788753534
2017-05-31,1.291882448368378
2017-06-01,1.5008634326632626
2017-06-02,1.899827129953497
2017-06-03,1.0639031927739584
