date,obama farewell
2016-11-17,0.0
2016-11-18,0.0
2016-11-19,0.0
2016-11-20,0.0
2016-11-21,0.0
2016-11-22,0.0
2016-11-23,0.0
2016-11-24,0.0
2016-11-25,0.0
2016-11-26,0.0
2016-11-27,0.0
2016-11-28,0.0
2016-11-29,0.0
2016-11-30,0.0
2016-12-01,0.0
2016-12-02,0.0
2016-12-03,0.0
2016-12-04,0.0
2016-12-05,0.0
2016-12-06,0.0
2016-12-07,0.0
2016-12-08,0.0
2016-12-09,0.0
2016-12-10,0.0
2016-12-11,0.0
2016-12-12,0.0
2016-12-13,0.0
2016-12-14,0.0
2016-12-15,0.0
2016-12-16,0.0
2016-12-17,0.0
2016-12-18,0.0
2016-12-19,0.0
2016-12-20,0.0
2016-12-21,0.0
2016-12-22,0.0
2016-12-23,0.0
2016-12-24,0.0
2016-12-25,0.0
2016-12-26,0.0
2016-12-27,0.0
2016-12-28,0.0
2016-12-29,0.0
2016-12-30,0.0
2016-12-31,0.0
2017-01-01,0.0
2017-01-02,1.0
2017-01-03,1.0
2017-01-04,1.0
2017-01-05,1.0
2017-01-06,1.0
2017-01-07,2.0
2017-01-08,2.0
2017-01-09,2.0
2017-01-10,12.0
2017-01-11,100.0
2017-01-12,17.0
2017-01-13,7.0
2017-01-14,3.0
2017-01-15,2.0
2017-01-16,2.0
2017-01-17,2.0
2017-01-18,2.0
2017-01-19,2.0
2017-01-20,4.0
2017-01-21,2.0
2017-01-22,1.0
2017-01-23,1.0
2017-01-24,0.0
2017-01-25,0.0
2017-01-26,0.0
2017-01-27,0.0
2017-01-28,0.0
2017-01-29,0.0
2017-01-30,0.0
2017-01-31,0.0
2017-02-01,0.0
2017-02-02,0.0
2017-02-03,0.0
2017-02-04,0.0
2017-02-05,0.0
2017-02-06,0.0
2017-02-07,0.0
2017-02-08,0.0
2017-02-09,0.0
2017-02-10,0.0
2017-02-11,0.0
2017-02-12,0.0
2017-02-13,0.0
2017-02-14,0.0
2017-02-15,0.0
2017-02-16,0.0
2017-02-17,0.0
2017-02-18,0.0
2017-02-19,0.0
2017-02-20,0.0
2017-02-21,0.0
2017-02-22,0.0
2017-02-23,0.0
2017-02-24,0.0
2017-02-25,0.0
2017-02-26,0.0
2017-02-27,0.0
2017-02-28,0.0
2017-03-01,49.5
2017-03-02,44.5
2017-03-03,17.5
2017-03-04,38.0
2017-03-05,43.0
2017-03-06,11.0
2017-03-07,27.0
2017-03-08,27.0
2017-03-09,22.0
2017-03-10,5.5
2017-03-11,13.0
2017-03-12,18.5
2017-03-13,11.0
2017-03-14,27.5
2017-03-15,38.5
2017-03-16,22.0
2017-03-17,17.0
2017-03-18,12.5
2017-03-19,19.0
2017-03-20,16.5
2017-03-21,33.0
2017-03-22,16.0
2017-03-23,16.5
2017-03-24,11.5
2017-03-25,26.0
2017-03-26,0.0
2017-03-27,22.0
2017-03-28,16.5
2017-03-29,33.5
2017-03-30,28.5
2017-03-31,29.0
2017-04-01,6.5
2017-04-02,52.0
2017-04-03,56.0
2017-04-04,34.0
2017-04-05,11.0
2017-04-06,34.0
2017-04-07,23.0
2017-04-08,26.0
2017-04-09,13.0
2017-04-10,11.0
2017-04-11,34.0
2017-04-12,23.0
2017-04-13,47.0
2017-04-14,65.0
2017-04-15,41.0
2017-04-16,41.0
2017-04-17,60.0
2017-04-18,0.0
2017-04-19,0.0
2017-04-20,23.0
2017-04-21,24.0
2017-04-22,13.0
2017-04-23,13.0
2017-04-24,67.0
2017-04-25,100.0
2017-04-26,44.0
2017-04-27,34.0
2017-04-28,35.0
2017-04-29,40.0
2017-04-30,27.0
2017-05-01,25.0
2017-05-02,11.0
2017-05-03,44.0
2017-05-04,22.0
2017-05-05,35.0
2017-05-06,53.0
2017-05-07,26.0
2017-05-08,22.0
2017-05-09,11.0
2017-05-10,45.0
2017-05-11,23.0
2017-05-12,23.0
2017-05-13,26.0
2017-05-14,40.0
2017-05-15,0.0
2017-05-16,23.0
2017-05-17,22.0
2017-05-18,34.0
2017-05-19,0.0
2017-05-20,13.0
2017-05-21,13.0
2017-05-22,22.0
2017-05-23,11.0
2017-05-24,34.0
2017-05-25,47.0
2017-05-26,0.0
2017-05-27,0.0
2017-05-28,0.0
2017-05-29,12.0
2017-05-30,11.0
2017-05-31,23.0
2017-06-01,35.0
2017-06-02,12.0
2017-06-03,13.0
