date,deplorables
2017-01-18,1.7223796033994334
2017-01-19,3.444759206798867
2017-01-20,6.458923512747876
2017-01-21,5.1671388101983
2017-01-22,3.444759206798867
2017-01-23,3.0141643059490084
2017-01-24,2.1529745042492916
2017-01-25,1.7223796033994334
2017-01-26,1.7223796033994334
2017-01-27,1.291784702549575
2017-01-28,1.7223796033994334
2017-01-29,1.291784702549575
2017-01-30,1.291784702549575
2017-01-31,1.291784702549575
2017-02-01,0.8611898016997167
2017-02-02,1.291784702549575
2017-02-03,0.8611898016997167
2017-02-04,0.8611898016997167
2017-02-05,0.8611898016997167
2017-02-06,1.291784702549575
2017-02-07,2.1529745042492916
2017-02-08,1.291784702549575
2017-02-09,1.291784702549575
2017-02-10,0.8611898016997167
2017-02-11,1.291784702549575
2017-02-12,1.291784702549575
2017-02-13,0.8611898016997167
2017-02-14,0.8611898016997167
2017-02-15,0.8611898016997167
2017-02-16,0.8611898016997167
2017-02-17,1.291784702549575
2017-02-18,1.291784702549575
2017-02-19,0.8611898016997167
2017-02-20,0.8611898016997167
2017-02-21,0.8611898016997167
2017-02-22,0.8611898016997167
2017-02-23,0.8611898016997167
2017-02-24,1.291784702549575
2017-02-25,1.291784702549575
2017-02-26,1.7223796033994334
2017-02-27,1.291784702549575
2017-02-28,0.8611898016997167
2017-03-01,0.9696479158235531
2017-03-02,2.9639821934439494
2017-03-03,1.4617563739376769
2017-03-04,1.0829623634156211
2017-03-05,2.110886280857952
2017-03-06,0.6377984621610683
2017-03-07,0.7948199109672197
2017-03-08,0.9405099150141643
2017-03-09,0.8968029138000808
2017-03-10,0.7365439093484418
2017-03-11,0.8968029138000808
2017-03-12,0.7365439093484418
2017-03-13,1.0716309186564144
2017-03-14,0.6928369081343585
2017-03-15,0.6928369081343585
2017-03-16,1.0975313638203157
2017-03-17,0.49210845811412385
2017-03-18,0.49210845811412385
2017-03-19,0.2476730068798057
2017-03-20,0.6669364629704573
2017-03-21,0.34641845406717925
2017-03-22,0.5649534601375961
2017-03-23,0.9696479158235531
2017-03-24,0.8530959125859975
2017-03-25,0.3755564548765682
2017-03-26,0.5066774585188183
2017-03-27,0.678267907729664
2017-03-28,0.4046944556859571
2017-03-29,0.8093889113719142
2017-03-30,0.6491299069202752
2017-03-31,0.4775394577094293
2017-04-01,0.8093889113719142
2017-04-02,0.5827600161877782
2017-04-03,0.7575880210441116
2017-04-04,0.8741400242816673
2017-04-05,0.43707001214083363
2017-04-06,0.7867260218535005
2017-04-07,1.0198300283286117
2017-04-08,0.5827600161877782
2017-04-09,0.320518008903278
2017-04-10,0.320518008903278
2017-04-11,0.320518008903278
2017-04-12,0.4079320113314447
2017-04-13,0.641036017806556
2017-04-14,0.4953460137596114
2017-04-15,0.320518008903278
2017-04-16,0.20396600566572234
2017-04-17,0.17482800485633343
2017-04-18,0.17482800485633343
2017-04-19,0.320518008903278
2017-04-20,0.6118980169971671
2017-04-21,0.4079320113314447
2017-04-22,0.641036017806556
2017-04-23,0.3787940105220558
2017-04-24,0.7284500202347227
2017-04-25,0.8158640226628894
2017-04-26,0.5827600161877782
2017-04-27,0.932416025900445
2017-04-28,0.5244840145690003
2017-04-29,0.3787940105220558
2017-04-30,0.7284500202347227
2017-05-01,0.4079320113314447
2017-05-02,0.43707001214083363
2017-05-03,0.641036017806556
2017-05-04,0.23310400647511126
2017-05-05,0.5536220153783893
2017-05-06,0.43707001214083363
2017-05-07,0.7575880210441116
2017-05-08,0.5536220153783893
2017-05-09,0.26224200728450014
2017-05-10,0.5536220153783893
2017-05-11,0.6701740186159448
2017-05-12,0.6701740186159448
2017-05-13,0.5244840145690003
2017-05-14,0.641036017806556
2017-05-15,0.4953460137596114
2017-05-16,0.5536220153783893
2017-05-17,0.5536220153783893
2017-05-18,0.6701740186159448
2017-05-19,0.5244840145690003
2017-05-20,0.641036017806556
2017-05-21,0.7867260218535005
2017-05-22,0.6118980169971671
2017-05-23,0.641036017806556
2017-05-24,0.6118980169971671
2017-05-25,0.8741400242816673
2017-05-26,0.34965600971266686
2017-05-27,0.4079320113314447
2017-05-28,0.6701740186159448
2017-05-29,0.5827600161877782
2017-05-30,0.2913800080938891
2017-05-31,0.7284500202347227
2017-06-01,1.0198300283286117
2017-06-02,0.932416025900445
2017-06-03,0.7867260218535005
