date,president obama intelligence
2016-09-03,0.0
2016-09-04,0.0
2016-09-05,0.0
2016-09-06,0.0
2016-09-07,0.0
2016-09-08,0.0
2016-09-09,0.0
2016-09-10,0.0
2016-09-11,0.0
2016-09-12,0.0
2016-09-13,0.0
2016-09-14,0.0
2016-09-15,0.0
2016-09-16,0.0
2016-09-17,0.0
2016-09-18,0.0
2016-09-19,0.0
2016-09-20,0.0
2016-09-21,0.0
2016-09-22,0.0
2016-09-23,0.0
2016-09-24,0.0
2016-09-25,0.0
2016-09-26,0.0
2016-09-27,0.0
2016-09-28,0.0
2016-09-29,0.0
2016-09-30,0.0
2016-10-01,0.0
2016-10-02,27.871559633027523
2016-10-03,0.0
2016-10-04,0.0
2016-10-05,0.0
2016-10-06,0.0
2016-10-07,0.0
2016-10-08,0.0
2016-10-09,17.5
2016-10-10,0.0
2016-10-11,0.0
2016-10-12,0.0
2016-10-13,0.0
2016-10-14,9.784403669724771
2016-10-15,0.0
2016-10-16,0.0
2016-10-17,9.422018348623853
2016-10-18,0.0
2016-10-19,9.422018348623853
2016-10-20,0.0
2016-10-21,9.422018348623853
2016-10-22,0.0
2016-10-23,10.871559633027523
2016-10-24,14.5
2016-10-25,0.0
2016-10-26,0.0
2016-10-27,9.422018348623853
2016-10-28,0.0
2016-10-29,0.0
2016-10-30,0.0
2016-10-31,15.0
2016-11-01,24.78440366972477
2016-11-02,0.0
2016-11-03,0.0
2016-11-04,0.0
2016-11-05,0.0
2016-11-06,33.0
2016-11-07,0.0
2016-11-08,0.0
2016-11-09,27.0
2016-11-10,58.0
2016-11-11,31.0
2016-11-12,0.0
2016-11-13,0.0
2016-11-14,0.0
2016-11-15,29.0
2016-11-16,0.0
2016-11-17,0.0
2016-11-18,30.0
2016-11-19,100.0
2016-11-20,0.0
2016-11-21,29.0
2016-11-22,0.0
2016-11-23,0.0
2016-11-24,30.0
2016-11-25,0.0
2016-11-26,0.0
2016-11-27,33.0
2016-11-28,28.0
2016-11-29,57.0
2016-11-30,0.0
2016-12-01,0.0
2016-12-02,0.0
2016-12-03,0.0
2016-12-04,33.0
2016-12-05,0.0
2016-12-06,28.0
2016-12-07,29.0
2016-12-08,0.0
2016-12-09,62.0
2016-12-10,0.0
2016-12-11,69.0
2016-12-12,85.0
2016-12-13,0.0
2016-12-14,58.0
2016-12-15,30.0
2016-12-16,0.0
2016-12-17,34.0
2016-12-18,0.0
2016-12-19,0.0
2016-12-20,0.0
2016-12-21,0.0
2016-12-22,0.0
2016-12-23,0.0
2016-12-24,0.0
2016-12-25,0.0
2016-12-26,0.0
2016-12-27,30.0
2016-12-28,0.0
2016-12-29,0.0
2016-12-30,0.0
2016-12-31,0.0
2017-01-01,0.0
2017-01-02,0.0
2017-01-03,0.0
2017-01-04,0.0
2017-01-05,0.0
2017-01-06,30.0
2017-01-07,33.0
2017-01-08,65.0
2017-01-09,0.0
2017-01-10,56.0
2017-01-11,56.0
2017-01-12,0.0
2017-01-13,0.0
2017-01-14,0.0
2017-01-15,0.0
2017-01-16,0.0
2017-01-17,28.0
2017-01-18,84.0
2017-01-19,0.0
2017-01-20,0.0
2017-01-21,0.0
2017-01-22,0.0
2017-01-23,0.0
2017-01-24,0.0
2017-01-25,0.0
2017-01-26,0.0
2017-01-27,0.0
2017-01-28,0.0
2017-01-29,0.0
2017-01-30,28.0
2017-01-31,0.0
2017-02-01,28.0
2017-02-02,0.0
2017-02-03,0.0
2017-02-04,0.0
2017-02-05,0.0
2017-02-06,0.0
2017-02-07,0.0
2017-02-08,0.0
2017-02-09,0.0
2017-02-10,0.0
2017-02-11,0.0
2017-02-12,0.0
2017-02-13,0.0
2017-02-14,0.0
2017-02-15,28.0
2017-02-16,28.0
2017-02-17,0.0
2017-02-18,0.0
2017-02-19,32.0
2017-02-20,0.0
2017-02-21,0.0
2017-02-22,0.0
2017-02-23,0.0
2017-02-24,0.0
2017-02-25,0.0
2017-02-26,0.0
2017-02-27,0.0
2017-02-28,28.0
2017-03-01,0.0
2017-03-02,6.090243902439025
2017-03-03,6.367073170731707
2017-03-04,0.0
2017-03-05,15.5
2017-03-06,25.680487804878048
2017-03-07,25.542073170731708
2017-03-08,5.951829268292683
2017-03-09,12.318902439024392
2017-03-10,0.0
2017-03-11,0.0
2017-03-12,0.0
2017-03-13,0.0
2017-03-14,0.0
2017-03-15,0.0
2017-03-16,0.0
2017-03-17,20.867073170731707
2017-03-18,0.0
2017-03-19,13.841463414634148
2017-03-20,25.680487804878048
2017-03-21,0.0
2017-03-22,0.0
2017-03-23,14.0
2017-03-24,29.0
2017-03-25,0.0
2017-03-26,0.0
2017-03-27,0.0
2017-03-28,6.090243902439025
2017-03-29,0.0
2017-03-30,0.0
2017-03-31,12.872560975609757
2017-04-01,7.197560975609757
2017-04-02,14.395121951219513
2017-04-03,12.457317073170733
2017-04-04,0.0
2017-04-05,12.457317073170733
2017-04-06,0.0
2017-04-07,0.0
2017-04-08,0.0
2017-04-09,14.948780487804878
2017-04-10,12.734146341463415
2017-04-11,0.0
2017-04-12,0.0
2017-04-13,0.0
2017-04-14,0.0
2017-04-15,0.0
2017-04-16,0.0
2017-04-17,0.0
2017-04-18,0.0
2017-04-19,0.0
2017-04-20,12.457317073170733
2017-04-21,0.0
2017-04-22,0.0
2017-04-23,0.0
2017-04-24,0.0
2017-04-25,12.18048780487805
2017-04-26,0.0
2017-04-27,0.0
2017-04-28,0.0
2017-04-29,0.0
2017-04-30,0.0
2017-05-01,0.0
2017-05-02,0.0
2017-05-03,0.0
2017-05-04,0.0
2017-05-05,0.0
2017-05-06,0.0
2017-05-07,0.0
2017-05-08,0.0
2017-05-09,0.0
2017-05-10,0.0
2017-05-11,0.0
2017-05-12,0.0
2017-05-13,0.0
2017-05-14,0.0
2017-05-15,12.457317073170733
2017-05-16,18.54756097560976
2017-05-17,12.457317073170733
2017-05-18,0.0
2017-05-19,0.0
2017-05-20,14.671951219512197
2017-05-21,0.0
2017-05-22,0.0
2017-05-23,0.0
2017-05-24,0.0
2017-05-25,0.0
2017-05-26,0.0
2017-05-27,0.0
2017-05-28,0.0
2017-05-29,0.0
2017-05-30,12.734146341463415
2017-05-31,0.0
2017-06-01,0.0
2017-06-02,0.0
2017-06-03,0.0
