date,hillary clinton sick
2017-01-17,0.9986130374479889
2017-01-18,0.5547850208044383
2017-01-19,1.331484049930652
2017-01-20,0.9986130374479889
2017-01-21,1.2205270457697643
2017-01-22,1.1095700416088765
2017-01-23,0.665742024965326
2017-01-24,0.665742024965326
2017-01-25,0.0
2017-01-26,0.5547850208044383
2017-01-27,0.332871012482663
2017-01-28,0.7766990291262137
2017-01-29,0.332871012482663
2017-01-30,0.332871012482663
2017-01-31,0.332871012482663
2017-02-01,0.665742024965326
2017-02-02,0.0
2017-02-03,0.332871012482663
2017-02-04,0.332871012482663
2017-02-05,0.5547850208044383
2017-02-06,0.665742024965326
2017-02-07,0.332871012482663
2017-02-08,0.44382801664355065
2017-02-09,0.9986130374479889
2017-02-10,0.332871012482663
2017-02-11,0.0
2017-02-12,0.332871012482663
2017-02-13,0.0
2017-02-14,0.332871012482663
2017-02-15,0.332871012482663
2017-02-16,0.665742024965326
2017-02-17,0.332871012482663
2017-02-18,0.7766990291262137
2017-02-19,0.332871012482663
2017-02-20,0.0
2017-02-21,0.332871012482663
2017-02-22,0.0
2017-02-23,0.332871012482663
2017-02-24,0.5547850208044383
2017-02-25,0.44382801664355065
2017-02-26,0.0
2017-02-27,0.332871012482663
2017-02-28,0.332871012482663
2017-03-01,0.0
2017-03-02,0.1664355062413315
2017-03-03,0.0
2017-03-04,0.1664355062413315
2017-03-05,0.1664355062413315
2017-03-06,0.0
2017-03-07,0.4028450851779496
2017-03-08,0.0
2017-03-09,0.4028450851779496
2017-03-10,1.2290926102239896
2017-03-11,0.1664355062413315
2017-03-12,0.0
2017-03-13,0.0
2017-03-14,0.4028450851779496
2017-03-15,0.0
2017-03-16,0.4028450851779496
2017-03-17,0.41312376252301997
2017-03-18,0.1664355062413315
2017-03-19,0.0
2017-03-20,0.1664355062413315
2017-03-21,0.4028450851779496
2017-03-22,0.7954114930108289
2017-03-23,0.1664355062413315
2017-03-24,0.6700906961497788
2017-03-25,0.0
2017-03-26,0.0
2017-03-27,0.4028450851779496
2017-03-28,0.0
2017-03-29,0.649533341459638
2017-03-30,0.7604903456205256
2017-03-31,0.1664355062413315
2017-04-01,0.38834951456310685
2017-04-02,0.555048576633799
2017-04-03,0.4933765125633769
2017-04-04,0.9456383157464724
2017-04-05,0.0
2017-04-06,0.0
2017-04-07,0.0
2017-04-08,1.1306545079577388
2017-04-09,0.0
2017-04-10,0.0
2017-04-11,0.0
2017-04-12,0.4933765125633769
2017-04-13,0.0
2017-04-14,0.555048576633799
2017-04-15,0.0
2017-04-16,0.0
2017-04-17,0.0
2017-04-18,0.0
2017-04-19,0.9661956704366131
2017-04-20,0.0
2017-04-21,0.0
2017-04-22,0.0
2017-04-23,0.0
2017-04-24,0.0
2017-04-25,0.0
2017-04-26,0.4728191578732362
2017-04-27,0.4933765125633769
2017-04-28,0.0
2017-04-29,0.0
2017-04-30,0.0
2017-05-01,0.0
2017-05-02,0.9661956704366131
2017-05-03,0.4728191578732362
2017-05-04,0.0
2017-05-05,0.0
2017-05-06,0.0
2017-05-07,0.555048576633799
2017-05-08,0.9661956704366131
2017-05-09,0.0
2017-05-10,0.0
2017-05-11,0.0
2017-05-12,0.0
2017-05-13,0.0
2017-05-14,0.0
2017-05-15,0.9661956704366131
2017-05-16,0.9661956704366131
2017-05-17,0.0
2017-05-18,0.0
2017-05-19,0.0
2017-05-20,0.5756059313239398
2017-05-21,0.0
2017-05-22,0.0
2017-05-23,0.0
2017-05-24,0.0
2017-05-25,0.0
2017-05-26,1.5829163111408342
2017-05-27,0.0
2017-05-28,0.5961632860140804
2017-05-29,0.5139338672535176
2017-05-30,0.9867530251267538
2017-05-31,0.0
2017-06-01,1.4801295376901307
2017-06-02,2.0557354690140706
2017-06-03,0.5756059313239398
