date,hillary clinton collusion
2017-02-17,0.0
2017-02-18,0.0
2017-02-19,0.0
2017-02-20,0.0
2017-02-21,0.0
2017-02-22,23.0
2017-02-23,0.0
2017-02-24,0.0
2017-02-25,0.0
2017-02-26,0.0
2017-02-27,0.0
2017-02-28,0.0
2017-03-01,0.0
2017-03-02,0.0
2017-03-03,11.990066225165563
2017-03-04,0.0
2017-03-05,25.930463576158942
2017-03-06,22.78476821192053
2017-03-07,0.0
2017-03-08,0.0
2017-03-09,0.0
2017-03-10,0.0
2017-03-11,0.0
2017-03-12,0.0
2017-03-13,0.0
2017-03-14,0.0
2017-03-15,0.0
2017-03-16,11.28476821192053
2017-03-17,0.0
2017-03-18,0.0
2017-03-19,0.0
2017-03-20,0.0
2017-03-21,11.5
2017-03-22,0.0
2017-03-23,11.5
2017-03-24,0.0
2017-03-25,0.0
2017-03-26,0.0
2017-03-27,0.0
2017-03-28,0.0
2017-03-29,47.00993377483444
2017-03-30,0.0
2017-03-31,0.0
2017-04-01,0.0
2017-04-02,0.0
2017-04-03,0.0
2017-04-04,0.0
2017-04-05,0.0
2017-04-06,0.0
2017-04-07,0.0
2017-04-08,0.0
2017-04-09,0.0
2017-04-10,0.0
2017-04-11,0.0
2017-04-12,0.0
2017-04-13,0.0
2017-04-14,0.0
2017-04-15,0.0
2017-04-16,0.0
2017-04-17,0.0
2017-04-18,0.0
2017-04-19,0.0
2017-04-20,0.0
2017-04-21,0.0
2017-04-22,0.0
2017-04-23,0.0
2017-04-24,0.0
2017-04-25,0.0
2017-04-26,0.0
2017-04-27,0.0
2017-04-28,0.0
2017-04-29,0.0
2017-04-30,0.0
2017-05-01,0.0
2017-05-02,0.0
2017-05-03,23.03973509933775
2017-05-04,0.0
2017-05-05,0.0
2017-05-06,0.0
2017-05-07,0.0
2017-05-08,0.0
2017-05-09,0.0
2017-05-10,35.264900662251655
2017-05-11,23.509933774834437
2017-05-12,24.450331125827816
2017-05-13,0.0
2017-05-14,0.0
2017-05-15,0.0
2017-05-16,0.0
2017-05-17,23.509933774834437
2017-05-18,23.509933774834437
2017-05-19,24.450331125827816
2017-05-20,28.211920529801326
2017-05-21,27.741721854304636
2017-05-22,0.0
2017-05-23,23.509933774834437
2017-05-24,0.0
2017-05-25,24.450331125827816
2017-05-26,25.39072847682119
2017-05-27,28.682119205298015
2017-05-28,0.0
2017-05-29,0.0
2017-05-30,23.980132450331126
2017-05-31,23.509933774834437
2017-06-01,23.980132450331126
2017-06-02,0.0
2017-06-03,0.0
