date,hillary strength
2016-08-03,20.897560975609757
2016-08-04,20.897560975609757
2016-08-05,21.51219512195122
2016-08-06,0.0
2016-08-07,0.0
2016-08-08,41.18048780487805
2016-08-09,0.0
2016-08-10,41.795121951219514
2016-08-11,0.0
2016-08-12,21.51219512195122
2016-08-13,24.585365853658537
2016-08-14,24.585365853658537
2016-08-15,32.57560975609756
2016-08-16,0.0
2016-08-17,20.897560975609757
2016-08-18,0.0
2016-08-19,21.51219512195122
2016-08-20,0.0
2016-08-21,23.35609756097561
2016-08-22,20.28292682926829
2016-08-23,0.0
2016-08-24,0.0
2016-08-25,0.0
2016-08-26,0.0
2016-08-27,0.0
2016-08-28,23.35609756097561
2016-08-29,0.0
2016-08-30,20.28292682926829
2016-08-31,40.56585365853658
2016-09-01,20.28292682926829
2016-09-02,0.0
2016-09-03,0.0
2016-09-04,23.35609756097561
2016-09-05,20.897560975609757
2016-09-06,0.0
2016-09-07,20.28292682926829
2016-09-08,20.28292682926829
2016-09-09,20.28292682926829
2016-09-10,0.0
2016-09-11,22.741463414634147
2016-09-12,30.117073170731707
2016-09-13,59.61951219512195
2016-09-14,39.951219512195124
2016-09-15,20.28292682926829
2016-09-16,20.897560975609757
2016-09-17,23.35609756097561
2016-09-18,45.482926829268294
2016-09-19,0.0
2016-09-20,38.72195121951219
2016-09-21,0.0
2016-09-22,59.61951219512195
2016-09-23,20.897560975609757
2016-09-24,0.0
2016-09-25,0.0
2016-09-26,19.66829268292683
2016-09-27,38.72195121951219
2016-09-28,19.66829268292683
2016-09-29,19.66829268292683
2016-09-30,20.897560975609757
2016-10-01,11.370731707317074
2016-10-02,9.0
2016-10-03,0.0
2016-10-04,21.026829268292683
2016-10-05,8.0
2016-10-06,8.0
2016-10-07,17.834146341463416
2016-10-08,20.870731707317074
2016-10-09,35.40243902439025
2016-10-10,26.75121951219512
2016-10-11,17.834146341463416
2016-10-12,8.0
2016-10-13,38.860975609756096
2016-10-14,26.334146341463416
2016-10-15,0.0
2016-10-16,9.0
2016-10-17,17.026829268292683
2016-10-18,7.5
2016-10-19,25.94390243902439
2016-10-20,33.02682926829269
2016-10-21,35.66829268292683
2016-10-22,24.56341463414634
2016-10-23,25.59512195121951
2016-10-24,19.360975609756096
2016-10-25,17.026829268292683
2016-10-26,16.71951219512195
2016-10-27,29.94390243902439
2016-10-28,18.141463414634146
2016-10-29,32.24146341463415
2016-10-30,20.370731707317074
2016-10-31,30.75121951219512
2016-11-01,17.834146341463416
2016-11-02,16.0
2016-11-03,39.0
2016-11-04,16.0
2016-11-05,27.0
2016-11-06,26.0
2016-11-07,38.0
2016-11-08,68.0
2016-11-09,100.0
2016-11-10,31.0
2016-11-11,16.0
2016-11-12,0.0
2016-11-13,18.0
2016-11-14,0.0
2016-11-15,16.0
2016-11-16,15.0
2016-11-17,0.0
2016-11-18,0.0
2016-11-19,0.0
2016-11-20,0.0
2016-11-21,0.0
2016-11-22,15.0
2016-11-23,16.0
2016-11-24,16.0
2016-11-25,0.0
2016-11-26,0.0
2016-11-27,0.0
2016-11-28,0.0
2016-11-29,15.0
2016-11-30,15.0
2016-12-01,0.0
2016-12-02,16.0
2016-12-03,18.0
2016-12-04,0.0
2016-12-05,0.0
2016-12-06,0.0
2016-12-07,0.0
2016-12-08,16.0
2016-12-09,0.0
2016-12-10,0.0
2016-12-11,18.0
2016-12-12,0.0
2016-12-13,15.0
2016-12-14,0.0
2016-12-15,0.0
2016-12-16,0.0
2016-12-17,0.0
2016-12-18,18.0
2016-12-19,15.0
2016-12-20,16.0
2016-12-21,0.0
2016-12-22,0.0
2016-12-23,0.0
2016-12-24,0.0
2016-12-25,0.0
2016-12-26,0.0
2016-12-27,0.0
2016-12-28,0.0
2016-12-29,0.0
2016-12-30,17.0
2016-12-31,19.0
2017-01-01,19.0
2017-01-02,0.0
2017-01-03,0.0
2017-01-04,15.0
2017-01-05,0.0
2017-01-06,0.0
2017-01-07,0.0
2017-01-08,17.0
2017-01-09,0.0
2017-01-10,0.0
2017-01-11,15.0
2017-01-12,0.0
2017-01-13,0.0
2017-01-14,0.0
2017-01-15,0.0
2017-01-16,0.0
2017-01-17,15.0
2017-01-18,30.0
2017-01-19,0.0
2017-01-20,0.0
2017-01-21,17.0
2017-01-22,0.0
2017-01-23,15.0
2017-01-24,22.0
2017-01-25,15.0
2017-01-26,15.0
2017-01-27,0.0
2017-01-28,0.0
2017-01-29,17.0
2017-01-30,0.0
2017-01-31,0.0
2017-02-01,15.0
2017-02-02,15.0
2017-02-03,0.0
2017-02-04,0.0
2017-02-05,0.0
2017-02-06,0.0
2017-02-07,0.0
2017-02-08,0.0
2017-02-09,15.0
2017-02-10,0.0
2017-02-11,0.0
2017-02-12,0.0
2017-02-13,0.0
2017-02-14,0.0
2017-02-15,0.0
2017-02-16,0.0
2017-02-17,0.0
2017-02-18,0.0
2017-02-19,0.0
2017-02-20,0.0
2017-02-21,0.0
2017-02-22,15.0
2017-02-23,0.0
2017-02-24,0.0
2017-02-25,17.0
2017-02-26,0.0
2017-02-27,0.0
2017-02-28,0.0
2017-03-01,7.5
2017-03-02,8.148558758314856
2017-03-03,0.0
2017-03-04,0.0
2017-03-05,0.0
2017-03-06,14.982261640798226
2017-03-07,0.0
2017-03-08,0.0
2017-03-09,22.648558758314856
2017-03-10,0.0
2017-03-11,0.0
2017-03-12,0.0
2017-03-13,15.648558758314856
2017-03-14,0.0
2017-03-15,0.0
2017-03-16,15.482261640798226
2017-03-17,0.0
2017-03-18,17.812638580931264
2017-03-19,0.0
2017-03-20,0.0
2017-03-21,7.5
2017-03-22,0.0
2017-03-23,15.648558758314856
2017-03-24,8.481152993348115
2017-03-25,0.0
2017-03-26,0.0
2017-03-27,7.5
2017-03-28,0.0
2017-03-29,0.0
2017-03-30,0.0
2017-03-31,8.647450110864744
2017-04-01,0.0
2017-04-02,0.0
2017-04-03,33.25942350332594
2017-04-04,0.0
2017-04-05,0.0
2017-04-06,0.0
2017-04-07,17.29490022172949
2017-04-08,0.0
2017-04-09,0.0
2017-04-10,16.96230598669623
2017-04-11,0.0
2017-04-12,0.0
2017-04-13,0.0
2017-04-14,0.0
2017-04-15,0.0
2017-04-16,0.0
2017-04-17,0.0
2017-04-18,0.0
2017-04-19,16.29711751662971
2017-04-20,0.0
2017-04-21,0.0
2017-04-22,0.0
2017-04-23,18.957871396895786
2017-04-24,0.0
2017-04-25,0.0
2017-04-26,0.0
2017-04-27,0.0
2017-04-28,0.0
2017-04-29,0.0
2017-04-30,0.0
2017-05-01,0.0
2017-05-02,0.0
2017-05-03,0.0
2017-05-04,16.29711751662971
2017-05-05,0.0
2017-05-06,0.0
2017-05-07,0.0
2017-05-08,0.0
2017-05-09,0.0
2017-05-10,0.0
2017-05-11,0.0
2017-05-12,16.96230598669623
2017-05-13,19.290465631929045
2017-05-14,0.0
2017-05-15,16.62971175166297
2017-05-16,0.0
2017-05-17,0.0
2017-05-18,0.0
2017-05-19,0.0
2017-05-20,0.0
2017-05-21,0.0
2017-05-22,16.29711751662971
2017-05-23,0.0
2017-05-24,0.0
2017-05-25,0.0
2017-05-26,0.0
2017-05-27,0.0
2017-05-28,19.955654101995563
2017-05-29,0.0
2017-05-30,0.0
2017-05-31,0.0
2017-06-01,0.0
2017-06-02,0.0
2017-06-03,0.0
