date,donald trump pussy
2017-03-02,0.7349968414403032
2017-03-03,0.9210360075805433
2017-03-04,0.33291219204042954
2017-03-05,0.8916614024005054
2017-03-06,1.7343651295009477
2017-03-07,0.9504106127605811
2017-03-08,1.9791535060012633
2017-03-09,1.1364497789008212
2017-03-10,1.0385344283006948
2017-03-11,1.165824384080859
2017-03-12,1.0972836386607707
2017-03-13,1.1266582438408086
2017-03-14,1.0679090334807326
2017-03-15,0.7839545167403663
2017-03-16,0.901452937460518
2017-03-17,1.224573594440935
2017-03-18,0.8916614024005054
2017-03-19,0.2643714466203411
2017-03-20,1.0189513581806695
2017-03-21,1.0679090334807326
2017-03-22,1.0679090334807326
2017-03-23,0.793746051800379
2017-03-24,0.9895767530006316
2017-03-25,0.9112444725205306
2017-03-26,1.0483259633607074
2017-03-27,0.6762476310802275
2017-03-28,0.8427037271004423
2017-03-29,0.7349968414403032
2017-03-30,0.42103600758054327
2017-03-31,1.0483259633607074
2017-04-01,0.7741629816803537
2017-04-02,0.8224889450410613
2017-04-03,0.8224889450410613
2017-04-04,0.7049905243209097
2017-04-05,0.7049905243209097
2017-04-06,1.1945672773215414
2017-04-07,0.8616550852811118
2017-04-08,1.370814908401769
2017-04-09,0.5679090334807327
2017-04-10,0.7245735944409349
2017-04-11,0.5874921036007581
2017-04-12,0.8420720151610865
2017-04-13,1.2533164876816172
2017-04-14,0.9595704358812381
2017-04-15,0.7245735944409349
2017-04-16,0.8616550852811118
2017-04-17,0.881238155401137
2017-04-18,0.6854074542008844
2017-04-19,0.9399873657612129
2017-04-20,0.5874921036007581
2017-04-21,0.6070751737207833
2017-04-22,0.27416298168035375
2017-04-23,0.802905874921036
2017-04-24,0.35249526216045485
2017-04-25,0.9399873657612129
2017-04-26,0.46999368288060644
2017-04-27,0.5874921036007581
2017-04-28,0.9791535060012634
2017-04-29,0.8420720151610865
2017-04-30,1.5470625394819961
2017-05-01,1.155401137081491
2017-05-02,0.35249526216045485
2017-05-03,0.802905874921036
2017-05-04,0.7049905243209097
2017-05-05,0.6070751737207833
2017-05-06,0.6854074542008844
2017-05-07,0.5483259633607075
2017-05-08,0.23499684144030322
2017-05-09,0.8224889450410613
2017-05-10,0.35249526216045485
2017-05-11,0.46999368288060644
2017-05-12,1.2141503474415667
2017-05-13,0.5483259633607075
2017-05-14,1.1162349968414402
2017-05-15,0.5874921036007581
2017-05-16,0.5874921036007581
2017-05-17,0.9399873657612129
2017-05-18,1.2924826279216677
2017-05-19,0.9791535060012634
2017-05-20,0.9791535060012634
2017-05-21,1.1162349968414402
2017-05-22,1.1749842072015162
2017-05-23,0.7049905243209097
2017-05-24,0.9399873657612129
2017-05-25,0.4895767530006317
2017-05-26,1.2924826279216677
2017-05-27,1.155401137081491
2017-05-28,0.5679090334807327
2017-05-29,0.7441566645609602
2017-05-30,0.8420720151610865
2017-05-31,1.312065698041693
2017-06-01,1.5666456096020216
2017-06-02,1.7428932406822488
2017-06-03,0.7049905243209097
