date,donald trump mob
2017-05-22,9.94796204571224
2017-05-23,0.0
2017-05-24,9.94796204571224
2017-05-25,10.354001312884167
2017-05-26,0.0
2017-05-27,12.181178015157844
2017-05-28,0.0
2017-05-29,0.0
2017-05-30,0.0
2017-05-31,10.150981679298203
2017-06-01,20.301963358596407
2017-06-02,10.55702094647013
2017-06-03,0.0
