date,putin emails
2017-02-01,0.0
2017-02-02,0.0
2017-02-03,2.115869017632242
2017-02-04,0.0
2017-02-05,0.0
2017-02-06,1.998320738874895
2017-02-07,0.0
2017-02-08,0.0
2017-02-09,0.0
2017-02-10,4.231738035264484
2017-02-11,0.0
2017-02-12,0.0
2017-02-13,0.0
2017-02-14,0.0
2017-02-15,0.0
2017-02-16,0.0
2017-02-17,2.115869017632242
2017-02-18,2.3509655751469354
2017-02-19,0.0
2017-02-20,0.0
2017-02-21,0.0
2017-02-22,0.0
2017-02-23,0.0
2017-02-24,0.0
2017-02-25,0.0
2017-02-26,0.0
2017-02-27,0.0
2017-02-28,0.0
2017-03-01,0.0
2017-03-02,0.0
2017-03-03,2.0570948782535683
2017-03-04,0.0
2017-03-05,0.0
2017-03-06,0.0
2017-03-07,0.6194528644684474
2017-03-08,0.0
2017-03-09,0.0
2017-03-10,0.0
2017-03-11,0.0
2017-03-12,0.0
2017-03-13,1.633721840356345
2017-03-14,0.0
2017-03-15,0.0
2017-03-16,0.0
2017-03-17,0.0
2017-03-18,1.8419217578163911
2017-03-19,0.7252131096215969
2017-03-20,1.2691229418377947
2017-03-21,0.0
2017-03-22,0.0
2017-03-23,0.0
2017-03-24,0.0
2017-03-25,0.0
2017-03-26,1.9158045036455147
2017-03-27,0.0
2017-03-28,0.0
2017-03-29,0.6345614709188974
2017-03-30,0.0
2017-03-31,0.0
2017-04-01,0.0
2017-04-02,0.0
2017-04-03,0.0
2017-04-04,0.0
2017-04-05,0.0
2017-04-06,0.0
2017-04-07,0.0
2017-04-08,0.0
2017-04-09,0.0
2017-04-10,0.0
2017-04-11,0.0
2017-04-12,0.0
2017-04-13,0.0
2017-04-14,0.0
2017-04-15,0.0
2017-04-16,0.0
2017-04-17,0.0
2017-04-18,0.0
2017-04-19,0.0
2017-04-20,1.2993401547386945
2017-04-21,0.0
2017-04-22,0.0
2017-04-23,0.0
2017-04-24,0.0
2017-04-25,0.0
2017-04-26,0.0
2017-04-27,0.0
2017-04-28,1.3295573676395944
2017-04-29,0.0
2017-04-30,0.0
2017-05-01,0.0
2017-05-02,0.0
2017-05-03,0.0
2017-05-04,1.2691229418377947
2017-05-05,0.0
2017-05-06,3.021721290089987
2017-05-07,1.5108606450449935
2017-05-08,0.0
2017-05-09,0.0
2017-05-10,1.2691229418377947
2017-05-11,0.0
2017-05-12,0.0
2017-05-13,0.0
2017-05-14,0.0
2017-05-15,1.2993401547386945
2017-05-16,1.2691229418377947
2017-05-17,1.2691229418377947
2017-05-18,1.2993401547386945
2017-05-19,0.0
2017-05-20,0.0
2017-05-21,0.0
2017-05-22,0.0
2017-05-23,0.0
2017-05-24,0.0
2017-05-25,0.0
2017-05-26,0.0
2017-05-27,1.5712950708467934
2017-05-28,0.0
2017-05-29,0.0
2017-05-30,0.0
2017-05-31,0.0
2017-06-01,0.0
2017-06-02,1.3899917934413941
2017-06-03,0.0
