date,russian collusion
2017-02-18,9.325376884422111
2017-02-19,0.0
2017-02-20,0.0
2017-02-21,0.0
2017-02-22,0.0
2017-02-23,0.0
2017-02-24,16.498743718592966
2017-02-25,9.325376884422111
2017-02-26,0.0
2017-02-27,7.89070351758794
2017-02-28,0.0
2017-03-01,3.5
2017-03-02,9.597361809045227
2017-03-03,13.597361809045227
2017-03-04,13.314698492462313
2017-03-05,10.814698492462313
2017-03-06,14.89070351758794
2017-03-07,13.39070351758794
2017-03-08,11.39070351758794
2017-03-09,19.33605527638191
2017-03-10,3.94535175879397
2017-03-11,8.662688442211056
2017-03-12,8.5
2017-03-13,3.5
2017-03-14,3.5
2017-03-15,7.44535175879397
2017-03-16,15.39070351758794
2017-03-17,0.0
2017-03-18,13.162688442211056
2017-03-19,23.314698492462313
2017-03-20,53.4108040201005
2017-03-21,22.83605527638191
2017-03-22,20.684045226130653
2017-03-23,63.366834170854275
2017-03-24,29.901381909547737
2017-03-25,49.824120603015075
2017-03-26,33.140075376884425
2017-03-27,13.39070351758794
2017-03-28,26.33605527638191
2017-03-29,17.694723618090453
2017-03-30,6.097361809045227
2017-03-31,23.901381909547737
2017-04-01,13.162688442211056
2017-04-02,17.0
2017-04-03,15.0
2017-04-04,7.0
2017-04-05,7.0
2017-04-06,23.0
2017-04-07,0.0
2017-04-08,22.0
2017-04-09,9.0
2017-04-10,15.0
2017-04-11,46.0
2017-04-12,12.0
2017-04-13,24.0
2017-04-14,39.0
2017-04-15,27.0
2017-04-16,13.0
2017-04-17,12.0
2017-04-18,11.0
2017-04-19,22.0
2017-04-20,11.0
2017-04-21,8.0
2017-04-22,13.0
2017-04-23,9.0
2017-04-24,0.0
2017-04-25,0.0
2017-04-26,7.0
2017-04-27,15.0
2017-04-28,16.0
2017-04-29,9.0
2017-04-30,0.0
2017-05-01,8.0
2017-05-02,15.0
2017-05-03,15.0
2017-05-04,7.0
2017-05-05,8.0
2017-05-06,9.0
2017-05-07,0.0
2017-05-08,15.0
2017-05-09,30.0
2017-05-10,100.0
2017-05-11,71.0
2017-05-12,85.0
2017-05-13,13.0
2017-05-14,31.0
2017-05-15,22.0
2017-05-16,22.0
2017-05-17,48.0
2017-05-18,64.0
2017-05-19,31.0
2017-05-20,44.0
2017-05-21,22.0
2017-05-22,22.0
2017-05-23,85.0
2017-05-24,82.0
2017-05-25,27.0
2017-05-26,45.0
2017-05-27,36.0
2017-05-28,28.0
2017-05-29,20.0
2017-05-30,23.0
2017-05-31,60.0
2017-06-01,38.0
2017-06-02,24.0
2017-06-03,18.0
