date,obama putin
2016-10-12,13.590389016018307
2016-10-13,16.408466819221967
2016-10-14,14.969107551487415
2016-10-15,17.787185354691076
2016-10-16,16.347826086956523
2016-10-17,14.029748283752859
2016-10-18,14.969107551487415
2016-10-19,10.711670480549198
2016-10-20,20.983981693363845
2016-10-21,11.772311212814646
2016-10-22,12.590389016018307
2016-10-23,11.711670480549198
2016-10-24,14.590389016018307
2016-10-25,12.651029748283753
2016-10-26,9.711670480549198
2016-10-27,11.272311212814646
2016-10-28,10.33295194508009
2016-10-29,8.772311212814646
2016-10-30,8.01487414187643
2016-10-31,10.272311212814646
2016-11-01,7.454233409610984
2016-11-02,7.908466819221967
2016-11-03,8.787185354691076
2016-11-04,7.908466819221967
2016-11-05,7.02974828375286
2016-11-06,9.665903890160182
2016-11-07,7.908466819221967
2016-11-08,10.54462242562929
2016-11-09,61.51029748283752
2016-11-10,33.391304347826086
2016-11-11,25.48283752860412
2016-11-12,18.453089244851256
2016-11-13,10.54462242562929
2016-11-14,12.302059496567505
2016-11-15,13.180778032036612
2016-11-16,8.787185354691076
2016-11-17,10.54462242562929
2016-11-18,12.302059496567505
2016-11-19,15.816933638443935
2016-11-20,22.846681922196794
2016-11-21,21.96796338672769
2016-11-22,11.423340961098397
2016-11-23,6.151029748283753
2016-11-24,5.272311212814645
2016-11-25,7.02974828375286
2016-11-26,8.787185354691076
2016-11-27,6.151029748283753
2016-11-28,4.393592677345538
2016-11-29,5.272311212814645
2016-11-30,4.393592677345538
2016-12-01,4.393592677345538
2016-12-02,4.393592677345538
2016-12-03,4.393592677345538
2016-12-04,5.272311212814645
2016-12-05,3.51487414187643
2016-12-06,3.51487414187643
2016-12-07,4.393592677345538
2016-12-08,3.51487414187643
2016-12-09,6.151029748283753
2016-12-10,7.908466819221967
2016-12-11,7.908466819221967
2016-12-12,7.908466819221967
2016-12-13,7.908466819221967
2016-12-14,7.908466819221967
2016-12-15,8.787185354691076
2016-12-16,49.20823798627002
2016-12-17,45.69336384439359
2016-12-18,21.96796338672769
2016-12-19,19.331807780320364
2016-12-20,28.997711670480548
2016-12-21,17.57437070938215
2016-12-22,14.05949656750572
2016-12-23,15.816933638443935
2016-12-24,14.05949656750572
2016-12-25,9.665903890160182
2016-12-26,7.908466819221967
2016-12-27,8.787185354691076
2016-12-28,7.02974828375286
2016-12-29,25.48283752860412
2016-12-30,87.87185354691076
2016-12-31,65.90389016018307
2017-01-01,28.997711670480548
2017-01-02,15.816933638443935
2017-01-03,10.54462242562929
2017-01-04,8.787185354691076
2017-01-05,9.665903890160182
2017-01-06,13.180778032036612
2017-01-07,12.302059496567505
2017-01-08,12.302059496567505
2017-01-09,10.54462242562929
2017-01-10,7.908466819221967
2017-01-11,18.453089244851256
2017-01-12,10.54462242562929
2017-01-13,10.54462242562929
2017-01-14,9.665903890160182
2017-01-15,11.423340961098397
2017-01-16,7.908466819221967
2017-01-17,10.54462242562929
2017-01-18,11.423340961098397
2017-01-19,10.54462242562929
2017-01-20,21.96796338672769
2017-01-21,17.57437070938215
2017-01-22,14.938215102974828
2017-01-23,9.665903890160182
2017-01-24,7.908466819221967
2017-01-25,7.02974828375286
2017-01-26,7.02974828375286
2017-01-27,7.908466819221967
2017-01-28,8.787185354691076
2017-01-29,7.02974828375286
2017-01-30,5.272311212814645
2017-01-31,6.151029748283753
2017-02-01,5.272311212814645
2017-02-02,5.272311212814645
2017-02-03,5.272311212814645
2017-02-04,2.6361556064073226
2017-02-05,5.272311212814645
2017-02-06,5.272311212814645
2017-02-07,6.151029748283753
2017-02-08,7.02974828375286
2017-02-09,3.51487414187643
2017-02-10,5.272311212814645
2017-02-11,2.6361556064073226
2017-02-12,4.393592677345538
2017-02-13,3.51487414187643
2017-02-14,8.787185354691076
2017-02-15,11.423340961098397
2017-02-16,8.787185354691076
2017-02-17,4.393592677345538
2017-02-18,4.393592677345538
2017-02-19,2.6361556064073226
2017-02-20,5.272311212814645
2017-02-21,5.272311212814645
2017-02-22,3.51487414187643
2017-02-23,2.6361556064073226
2017-02-24,4.393592677345538
2017-02-25,2.6361556064073226
2017-02-26,2.6361556064073226
2017-02-27,1.757437070938215
2017-02-28,2.6361556064073226
2017-03-01,2.599901992959678
2017-03-02,7.243817239348478
2017-03-03,8.853218722042143
2017-03-04,11.538144070349272
2017-03-05,7.9162354506750345
2017-03-06,5.432862929511359
2017-03-07,3.2140554683882336
2017-03-08,2.4518664047151275
2017-03-09,3.68017335557224
2017-03-10,2.3668430493676746
2017-03-11,1.1968008344085634
2017-03-12,2.7431900842051316
2017-03-13,2.4833725211636763
2017-03-14,4.236062095102795
2017-03-15,2.0440132534291227
2017-03-16,1.8692190457351203
2017-03-17,3.82820894381679
2017-03-18,2.308578313469674
2017-03-19,2.4251077852656753
2017-03-20,3.388849676082236
2017-03-21,3.3305849401842353
2017-03-22,2.9809965247962307
2017-03-23,3.097525996592232
2017-03-24,3.5053791478782372
2017-03-25,2.0440132534291227
2017-03-26,3.2140554683882336
2017-03-27,3.7384380914702406
2017-03-28,1.9857485175311216
2017-03-29,3.3305849401842353
2017-03-30,2.3353369329191263
2017-03-31,3.388849676082236
2017-04-01,3.854967563266242
2017-04-02,3.029766266696039
2017-04-03,2.33058943592003
2017-04-04,3.1462957384920403
2017-04-05,3.495884153880045
2017-04-06,3.379354682084043
2017-04-07,8.972769328292115
2017-04-08,5.360355702616069
2017-04-09,2.097530492328027
2017-04-10,4.544649400044058
2017-04-11,3.262825210288042
2017-04-12,4.195060984656054
2017-04-13,3.962002041064051
2017-04-14,4.078531512860052
2017-04-15,2.33058943592003
2017-04-16,2.4471189077160314
2017-04-17,2.4471189077160314
2017-04-18,3.1462957384920403
2017-04-19,2.2140599641240284
2017-04-20,3.379354682084043
2017-04-21,3.262825210288042
2017-04-22,2.6801778513080343
2017-04-23,1.864471548736024
2017-04-24,2.796707323104036
2017-04-25,1.7479420769400225
2017-04-26,1.631412605144021
2017-04-27,2.6801778513080343
2017-04-28,0.8157063025720105
2017-04-29,1.398353661552018
2017-04-30,2.563648379512033
2017-05-01,2.33058943592003
2017-05-02,2.33058943592003
2017-05-03,2.9132367949000373
2017-05-04,2.2140599641240284
2017-05-05,2.796707323104036
2017-05-06,2.563648379512033
2017-05-07,2.097530492328027
2017-05-08,2.6801778513080343
2017-05-09,1.7479420769400225
2017-05-10,3.8454725692680496
2017-05-11,3.379354682084043
2017-05-12,2.9132367949000373
2017-05-13,1.2818241897560165
2017-05-14,3.379354682084043
2017-05-15,2.9132367949000373
2017-05-16,5.47688517441207
2017-05-17,4.428119928248057
2017-05-18,5.360355702616069
2017-05-19,3.728943097472048
2017-05-20,3.379354682084043
2017-05-21,4.3115904564520555
2017-05-22,1.631412605144021
2017-05-23,2.6801778513080343
2017-05-24,2.6801778513080343
2017-05-25,3.379354682084043
2017-05-26,2.796707323104036
2017-05-27,2.4471189077160314
2017-05-28,2.33058943592003
2017-05-29,3.962002041064051
2017-05-30,2.563648379512033
2017-05-31,3.728943097472048
2017-06-01,4.428119928248057
2017-06-02,2.33058943592003
2017-06-03,3.728943097472048
