date,travel ban
2017-03-03,5.2096370463078845
2017-03-04,3.3548185231539422
2017-03-05,3.8967459324155196
2017-03-06,36.92553191489362
2017-03-07,39.82227784730914
2017-03-08,13.003128911138925
2017-03-09,12.503128911138925
2017-03-10,10.148310387984981
2017-03-11,6.251564455569462
2017-03-12,5.480600750938674
2017-03-13,17.44180225281602
2017-03-14,38.23842302878599
2017-03-15,31.444931163954944
2017-03-16,55.096370463078856
2017-03-17,15.357947434292868
2017-03-18,9.606382978723405
2017-03-19,10.377346683354194
2017-03-20,6.751564455569462
2017-03-21,14.045056320400501
2017-03-22,13.003128911138925
2017-03-23,6.251564455569462
2017-03-24,8.606382978723405
2017-03-25,4.938673341677097
2017-03-26,3.8967459324155196
2017-03-27,4.167709637046308
2017-03-28,4.167709637046308
2017-03-29,3.8967459324155196
2017-03-30,25.735294117647058
2017-03-31,7.022528160200251
2017-04-01,2.8548185231539422
2017-04-02,2.709637046307885
2017-04-03,3.2515644555694623
2017-04-04,2.709637046307885
2017-04-05,3.2515644555694623
2017-04-06,3.2515644555694623
2017-04-07,4.335419274092616
2017-04-08,2.167709637046308
2017-04-09,1.6257822277847311
2017-04-10,2.167709637046308
2017-04-11,2.709637046307885
2017-04-12,2.709637046307885
2017-04-13,2.709637046307885
2017-04-14,1.083854818523154
2017-04-15,1.6257822277847311
2017-04-16,2.167709637046308
2017-04-17,2.167709637046308
2017-04-18,2.167709637046308
2017-04-19,1.6257822277847311
2017-04-20,2.709637046307885
2017-04-21,2.167709637046308
2017-04-22,1.083854818523154
2017-04-23,2.167709637046308
2017-04-24,2.167709637046308
2017-04-25,2.167709637046308
2017-04-26,2.167709637046308
2017-04-27,2.709637046307885
2017-04-28,1.6257822277847311
2017-04-29,1.6257822277847311
2017-04-30,1.6257822277847311
2017-05-01,2.167709637046308
2017-05-02,2.709637046307885
2017-05-03,3.2515644555694623
2017-05-04,1.6257822277847311
2017-05-05,1.083854818523154
2017-05-06,1.6257822277847311
2017-05-07,1.083854818523154
2017-05-08,22.760951188986233
2017-05-09,12.46433041301627
2017-05-10,3.793491864831039
2017-05-11,4.335419274092616
2017-05-12,2.167709637046308
2017-05-13,2.167709637046308
2017-05-14,1.6257822277847311
2017-05-15,13.548185231539426
2017-05-16,12.46433041301627
2017-05-17,3.793491864831039
2017-05-18,2.709637046307885
2017-05-19,2.167709637046308
2017-05-20,2.167709637046308
2017-05-21,2.709637046307885
2017-05-22,2.167709637046308
2017-05-23,3.2515644555694623
2017-05-24,3.793491864831039
2017-05-25,16.25782227784731
2017-05-26,16.25782227784731
2017-05-27,3.793491864831039
2017-05-28,2.709637046307885
2017-05-29,2.167709637046308
2017-05-30,2.167709637046308
2017-05-31,2.167709637046308
2017-06-01,1.6257822277847311
2017-06-02,13.548185231539426
2017-06-03,3.2515644555694623
