date,hillary impeach
2017-01-14,2.0
2017-01-15,4.0
2017-01-16,0.0
2017-01-17,2.0
2017-01-18,0.0
2017-01-19,2.0
2017-01-20,2.0
2017-01-21,7.0
2017-01-22,4.0
2017-01-23,2.0
2017-01-24,0.0
2017-01-25,2.0
2017-01-26,4.0
2017-01-27,0.0
2017-01-28,3.0
2017-01-29,5.0
2017-01-30,4.0
2017-01-31,3.0
2017-02-01,5.0
2017-02-02,3.0
2017-02-03,4.0
2017-02-04,0.0
2017-02-05,2.0
2017-02-06,2.0
2017-02-07,3.0
2017-02-08,0.0
2017-02-09,0.0
2017-02-10,2.0
2017-02-11,4.0
2017-02-12,0.0
2017-02-13,2.0
2017-02-14,2.0
2017-02-15,2.0
2017-02-16,5.0
2017-02-17,3.0
2017-02-18,3.0
2017-02-19,2.0
2017-02-20,2.0
2017-02-21,2.0
2017-02-22,2.0
2017-02-23,0.0
2017-02-24,2.0
2017-02-25,2.0
2017-02-26,0.0
2017-02-27,2.0
2017-02-28,0.0
2017-03-01,2.1156186612576064
2017-03-02,2.1156186612576064
2017-03-03,2.171399594320487
2017-03-04,2.2829614604462476
2017-03-05,2.7829614604462476
2017-03-06,3.731237322515213
2017-03-07,2.6156186612576064
2017-03-08,2.6156186612576064
2017-03-09,2.1156186612576064
2017-03-10,0.0
2017-03-11,0.0
2017-03-12,1.0
2017-03-13,2.1156186612576064
2017-03-14,3.1734279918864097
2017-03-15,2.1156186612576064
2017-03-16,2.1156186612576064
2017-03-17,0.0
2017-03-18,2.2829614604462476
2017-03-19,4.065922920892495
2017-03-20,0.0
2017-03-21,2.5
2017-03-22,2.1156186612576064
2017-03-23,1.0
2017-03-24,2.171399594320487
2017-03-25,1.3387423935091278
2017-03-26,0.0
2017-03-27,0.0
2017-03-28,2.1156186612576064
2017-03-29,1.171399594320487
2017-03-30,2.171399594320487
2017-03-31,1.0
2017-04-01,0.0
2017-04-02,0.0
2017-04-03,0.0
2017-04-04,4.574036511156186
2017-04-05,2.342799188640974
2017-04-06,2.342799188640974
2017-04-07,2.4543610547667343
2017-04-08,0.0
2017-04-09,2.789046653144016
2017-04-10,2.342799188640974
2017-04-11,0.0
2017-04-12,2.342799188640974
2017-04-13,2.4543610547667343
2017-04-14,0.0
2017-04-15,0.0
2017-04-16,0.0
2017-04-17,0.0
2017-04-18,2.231237322515213
2017-04-19,0.0
2017-04-20,0.0
2017-04-21,0.0
2017-04-22,0.0
2017-04-23,0.0
2017-04-24,0.0
2017-04-25,0.0
2017-04-26,0.0
2017-04-27,0.0
2017-04-28,2.342799188640974
2017-04-29,2.6774847870182557
2017-04-30,2.789046653144016
2017-05-01,0.0
2017-05-02,0.0
2017-05-03,0.0
2017-05-04,3.4584178498985803
2017-05-05,0.0
2017-05-06,0.0
2017-05-07,0.0
2017-05-08,0.0
2017-05-09,3.4584178498985803
2017-05-10,3.4584178498985803
2017-05-11,4.574036511156186
2017-05-12,3.5699797160243407
2017-05-13,8.144016227180527
2017-05-14,5.466531440162272
2017-05-15,2.342799188640974
2017-05-16,4.574036511156186
2017-05-17,3.4584178498985803
2017-05-18,3.4584178498985803
2017-05-19,4.797160243407708
2017-05-20,0.0
2017-05-21,0.0
2017-05-22,0.0
2017-05-23,2.231237322515213
2017-05-24,4.574036511156186
2017-05-25,0.0
2017-05-26,0.0
2017-05-27,4.239350912778905
2017-05-28,11.156186612576064
2017-05-29,2.4543610547667343
2017-05-30,0.0
2017-05-31,4.685598377281948
2017-06-01,2.342799188640974
2017-06-02,0.0
2017-06-03,2.789046653144016
