date,trump seizure
2017-01-25,4.4077809798270895
2017-01-26,6.707492795389049
2017-01-27,3.4495677233429394
2017-01-28,2.68299711815562
2017-01-29,5.174351585014409
2017-01-30,5.557636887608069
2017-01-31,4.4077809798270895
2017-02-01,2.2997118155619596
2017-02-02,2.10806916426513
2017-02-03,2.2997118155619596
2017-02-04,5.174351585014409
2017-02-05,2.4913544668587897
2017-02-06,2.10806916426513
2017-02-07,8.62391930835735
2017-02-08,2.10806916426513
2017-02-09,5.557636887608069
2017-02-10,4.599423631123919
2017-02-11,0.0
2017-02-12,4.982708933717579
2017-02-13,2.10806916426513
2017-02-14,0.0
2017-02-15,0.0
2017-02-16,2.2997118155619596
2017-02-17,0.0
2017-02-18,2.4913544668587897
2017-02-19,2.4913544668587897
2017-02-20,0.0
2017-02-21,0.0
2017-02-22,2.10806916426513
2017-02-23,2.2997118155619596
2017-02-24,2.2997118155619596
2017-02-25,2.4913544668587897
2017-02-26,0.0
2017-02-27,2.2997118155619596
2017-02-28,0.0
2017-03-01,1.3516614269496119
2017-03-02,4.40342546502489
2017-03-03,1.1498559077809798
2017-03-04,1.5650816522574453
2017-03-05,2.81075888568684
2017-03-06,2.4056960090821766
2017-03-07,0.0
2017-03-08,3.5555519168631564
2017-03-09,4.978353418915379
2017-03-10,3.626691991965768
2017-03-11,4.223397519867261
2017-03-12,2.81075888568684
2017-03-13,2.4056960090821766
2017-03-14,1.3516614269496119
2017-03-15,2.4056960090821766
2017-03-16,2.4056960090821766
2017-03-17,5.791382848659507
2017-03-18,4.056436119116235
2017-03-19,2.4913544668587897
2017-03-20,4.266952667889268
2017-03-21,1.3516614269496119
2017-03-22,2.4056960090821766
2017-03-23,1.422801502052223
2017-03-24,0.0
2017-03-25,4.613942013797923
2017-03-26,0.0
2017-03-27,4.811392018164353
2017-03-28,2.4056960090821766
2017-03-29,0.0
2017-03-30,1.7247838616714697
2017-03-31,3.7936533927167937
2017-04-01,3.9286743515850144
2017-04-02,0.0
2017-04-03,2.845603004104446
2017-04-04,0.0
2017-04-05,2.845603004104446
2017-04-06,0.0
2017-04-07,4.410684656361892
2017-04-08,0.0
2017-04-09,0.0
2017-04-10,0.0
2017-04-11,0.0
2017-04-12,0.0
2017-04-13,0.0
2017-04-14,0.0
2017-04-15,0.0
2017-04-16,0.0
2017-04-17,0.0
2017-04-18,2.845603004104446
2017-04-19,0.0
2017-04-20,0.0
2017-04-21,2.987883154309668
2017-04-22,0.0
2017-04-23,3.272443454720113
2017-04-24,0.0
2017-04-25,2.845603004104446
2017-04-26,2.7033228538992238
2017-04-27,2.845603004104446
2017-04-28,2.987883154309668
2017-04-29,3.272443454720113
2017-04-30,0.0
2017-05-01,3.1301633045148907
2017-05-02,2.845603004104446
2017-05-03,0.0
2017-05-04,0.0
2017-05-05,2.845603004104446
2017-05-06,0.0
2017-05-07,0.0
2017-05-08,2.845603004104446
2017-05-09,2.845603004104446
2017-05-10,2.845603004104446
2017-05-11,0.0
2017-05-12,0.0
2017-05-13,3.272443454720113
2017-05-14,0.0
2017-05-15,0.0
2017-05-16,0.0
2017-05-17,4.126124355951447
2017-05-18,2.845603004104446
2017-05-19,0.0
2017-05-20,0.0
2017-05-21,0.0
2017-05-22,2.845603004104446
2017-05-23,0.0
2017-05-24,2.845603004104446
2017-05-25,5.833486158414114
2017-05-26,2.987883154309668
2017-05-27,3.414723604925335
2017-05-28,3.414723604925335
2017-05-29,2.987883154309668
2017-05-30,2.845603004104446
2017-05-31,14.22801502052223
2017-06-01,2.845603004104446
2017-06-02,5.975766308619336
2017-06-03,0.0
