date,sean spicer
2016-12-19,0.0
2016-12-20,0.0
2016-12-21,0.0
2016-12-22,10.0
2016-12-23,5.0
2016-12-24,1.0
2016-12-25,1.0
2016-12-26,1.0
2016-12-27,0.0
2016-12-28,0.0
2016-12-29,0.0
2016-12-30,0.0
2016-12-31,0.0
2017-01-01,1.0
2017-01-02,2.0
2017-01-03,1.0
2017-01-04,0.0
2017-01-05,0.0
2017-01-06,0.0
2017-01-07,0.0
2017-01-08,0.0
2017-01-09,0.0
2017-01-10,0.0
2017-01-11,1.0
2017-01-12,2.0
2017-01-13,1.0
2017-01-14,0.0
2017-01-15,1.0
2017-01-16,1.0
2017-01-17,0.0
2017-01-18,0.0
2017-01-19,2.0
2017-01-20,1.0
2017-01-21,9.0
2017-01-22,44.0
2017-01-23,40.0
2017-01-24,24.0
2017-01-25,15.0
2017-01-26,9.0
2017-01-27,7.0
2017-01-28,3.0
2017-01-29,5.0
2017-01-30,17.0
2017-01-31,15.0
2017-02-01,8.0
2017-02-02,6.0
2017-02-03,6.0
2017-02-04,4.0
2017-02-05,100.0
2017-02-06,66.0
2017-02-07,50.0
2017-02-08,25.0
2017-02-09,20.0
2017-02-10,16.0
2017-02-11,15.0
2017-02-12,45.0
2017-02-13,21.0
2017-02-14,16.0
2017-02-15,12.0
2017-02-16,6.0
2017-02-17,7.0
2017-02-18,5.0
2017-02-19,5.0
2017-02-20,3.0
2017-02-21,4.0
2017-02-22,4.0
2017-02-23,4.0
2017-02-24,5.0
2017-02-25,6.0
2017-02-26,5.0
2017-02-27,8.0
2017-02-28,4.0
2017-03-01,2.317460317460317
2017-03-02,2.817460317460317
2017-03-03,3.1468253968253967
2017-03-04,2.817460317460317
2017-03-05,2.817460317460317
2017-03-06,2.817460317460317
2017-03-07,3.9761904761904763
2017-03-08,4.305555555555555
2017-03-09,3.9761904761904763
2017-03-10,5.964285714285714
2017-03-11,5.964285714285714
2017-03-12,3.6468253968253967
2017-03-13,9.11111111111111
2017-03-14,7.9523809523809526
2017-03-15,3.9761904761904763
2017-03-16,5.134920634920634
2017-03-17,12.587301587301587
2017-03-18,5.964285714285714
2017-03-19,3.1468253968253967
2017-03-20,5.134920634920634
2017-03-21,5.134920634920634
2017-03-22,4.805555555555555
2017-03-23,3.9761904761904763
2017-03-24,4.805555555555555
2017-03-25,2.817460317460317
2017-03-26,3.1468253968253967
2017-03-27,3.9761904761904763
2017-03-28,8.781746031746032
2017-03-29,15.075396825396826
2017-03-30,5.964285714285714
2017-03-31,5.964285714285714
2017-04-01,3.9761904761904763
2017-04-02,2.634920634920635
2017-04-03,2.634920634920635
2017-04-04,2.634920634920635
2017-04-05,2.634920634920635
2017-04-06,3.2936507936507935
2017-04-07,3.2936507936507935
2017-04-08,2.634920634920635
2017-04-09,1.9761904761904763
2017-04-10,1.9761904761904763
2017-04-11,29.642857142857142
2017-04-12,65.87301587301587
2017-04-13,21.738095238095237
2017-04-14,12.515873015873016
2017-04-15,8.563492063492063
2017-04-16,20.42063492063492
2017-04-17,12.515873015873016
2017-04-18,5.928571428571429
2017-04-19,7.246031746031746
2017-04-20,5.26984126984127
2017-04-21,2.634920634920635
2017-04-22,1.9761904761904763
2017-04-23,1.9761904761904763
2017-04-24,2.634920634920635
2017-04-25,3.2936507936507935
2017-04-26,1.9761904761904763
2017-04-27,2.634920634920635
2017-04-28,1.9761904761904763
2017-04-29,1.9761904761904763
2017-04-30,1.9761904761904763
2017-05-01,2.634920634920635
2017-05-02,3.9523809523809526
2017-05-03,5.26984126984127
2017-05-04,2.634920634920635
2017-05-05,3.9523809523809526
2017-05-06,1.9761904761904763
2017-05-07,1.3174603174603174
2017-05-08,1.3174603174603174
2017-05-09,2.634920634920635
2017-05-10,11.857142857142858
2017-05-11,28.984126984126984
2017-05-12,34.25396825396825
2017-05-13,20.42063492063492
2017-05-14,44.79365079365079
2017-05-15,21.738095238095237
2017-05-16,15.15079365079365
2017-05-17,11.198412698412698
2017-05-18,7.904761904761905
2017-05-19,5.26984126984127
2017-05-20,3.9523809523809526
2017-05-21,3.2936507936507935
2017-05-22,2.634920634920635
2017-05-23,2.634920634920635
2017-05-24,2.634920634920635
2017-05-25,3.2936507936507935
2017-05-26,2.634920634920635
2017-05-27,1.9761904761904763
2017-05-28,1.9761904761904763
2017-05-29,1.9761904761904763
2017-05-30,5.928571428571429
2017-05-31,5.928571428571429
2017-06-01,5.26984126984127
2017-06-02,3.2936507936507935
2017-06-03,2.634920634920635
