date,hillary crime
2016-08-19,2.0
2016-08-20,2.0
2016-08-21,3.0
2016-08-22,1.0
2016-08-23,3.0
2016-08-24,1.0
2016-08-25,4.0
2016-08-26,3.0
2016-08-27,2.0
2016-08-28,2.0
2016-08-29,1.0
2016-08-30,2.0
2016-08-31,3.0
2016-09-01,3.0
2016-09-02,2.0
2016-09-03,2.0
2016-09-04,2.0
2016-09-05,2.0
2016-09-06,2.0
2016-09-07,2.0
2016-09-08,3.0
2016-09-09,5.0
2016-09-10,2.0
2016-09-11,3.0
2016-09-12,4.0
2016-09-13,4.0
2016-09-14,2.0
2016-09-15,3.0
2016-09-16,3.0
2016-09-17,4.0
2016-09-18,3.0
2016-09-19,2.0
2016-09-20,1.0
2016-09-21,3.0
2016-09-22,3.0
2016-09-23,5.0
2016-09-24,2.0
2016-09-25,1.0
2016-09-26,2.0
2016-09-27,30.0
2016-09-28,5.0
2016-09-29,9.0
2016-09-30,3.0
2016-10-01,2.737936772046589
2016-10-02,1.0
2016-10-03,3.1663893510815306
2016-10-04,3.975873544093178
2016-10-05,3.6663893510815306
2016-10-06,3.0831946755407653
2016-10-07,2.5831946755407653
2016-10-08,4.166389351081531
2016-10-09,4.20216306156406
2016-10-10,11.344425956738768
2016-10-11,5.666389351081531
2016-10-12,8.451747088186355
2016-10-13,7.213810316139767
2016-10-14,4.047420965058237
2016-10-15,4.475873544093178
2016-10-16,3.70216306156406
2016-10-17,4.475873544093178
2016-10-18,5.975873544093178
2016-10-19,4.892678868552412
2016-10-20,12.891846921797004
2016-10-21,4.940099833610649
2016-10-22,6.642262895174709
2016-10-23,4.20216306156406
2016-10-24,5.7853577371048255
2016-10-25,3.8926788685524127
2016-10-26,8.332778702163061
2016-10-27,5.940099833610649
2016-10-28,7.523294509151414
2016-10-29,6.90432612312812
2016-10-30,9.14226289517471
2016-10-31,9.987520798668886
2016-11-01,10.987520798668886
2016-11-02,10.831946755407653
2016-11-03,12.998336106489186
2016-11-04,8.046589018302829
2016-11-05,12.37936772046589
2016-11-06,16.093178036605657
2016-11-07,14.85524126455907
2016-11-08,18.87853577371048
2016-11-09,30.948419301164726
2016-11-10,17.0216306156406
2016-11-11,9.903494176372712
2016-11-12,6.80865224625624
2016-11-13,10.522462562396006
2016-11-14,4.951747088186356
2016-11-15,7.118136439267887
2016-11-16,4.951747088186356
2016-11-17,0.6189683860232945
2016-11-18,2.1663893510815306
2016-11-19,1.5474209650582362
2016-11-20,1.5474209650582362
2016-11-21,2.1663893510815306
2016-11-22,2.1663893510815306
2016-11-23,1.5474209650582362
2016-11-24,2.1663893510815306
2016-11-25,0.6189683860232945
2016-11-26,0.0
2016-11-27,2.475873544093178
2016-11-28,2.1663893510815306
2016-11-29,3.40432612312812
2016-11-30,3.40432612312812
2016-12-01,0.6189683860232945
2016-12-02,2.1663893510815306
2016-12-03,0.9284525790349418
2016-12-04,0.0
2016-12-05,1.5474209650582362
2016-12-06,2.1663893510815306
2016-12-07,1.5474209650582362
2016-12-08,0.6189683860232945
2016-12-09,2.1663893510815306
2016-12-10,0.9284525790349418
2016-12-11,1.5474209650582362
2016-12-12,2.1663893510815306
2016-12-13,0.6189683860232945
2016-12-14,0.6189683860232945
2016-12-15,0.0
2016-12-16,2.1663893510815306
2016-12-17,0.0
2016-12-18,0.0
2016-12-19,1.5474209650582362
2016-12-20,0.6189683860232945
2016-12-21,0.6189683860232945
2016-12-22,0.6189683860232945
2016-12-23,0.0
2016-12-24,0.9284525790349418
2016-12-25,0.0
2016-12-26,0.0
2016-12-27,0.6189683860232945
2016-12-28,0.6189683860232945
2016-12-29,0.6189683860232945
2016-12-30,0.0
2016-12-31,0.9284525790349418
2017-01-01,0.9284525790349418
2017-01-02,0.6189683860232945
2017-01-03,0.6189683860232945
2017-01-04,0.6189683860232945
2017-01-05,0.6189683860232945
2017-01-06,5.880199667221298
2017-01-07,6.499168053244593
2017-01-08,1.5474209650582362
2017-01-09,0.0
2017-01-10,0.0
2017-01-11,0.6189683860232945
2017-01-12,1.237936772046589
2017-01-13,0.6189683860232945
2017-01-14,0.0
2017-01-15,0.0
2017-01-16,0.0
2017-01-17,1.237936772046589
2017-01-18,0.0
2017-01-19,1.237936772046589
2017-01-20,2.7853577371048255
2017-01-21,1.5474209650582362
2017-01-22,1.5474209650582362
2017-01-23,1.237936772046589
2017-01-24,0.0
2017-01-25,1.237936772046589
2017-01-26,2.1663893510815306
2017-01-27,0.6189683860232945
2017-01-28,0.0
2017-01-29,2.475873544093178
2017-01-30,1.237936772046589
2017-01-31,0.6189683860232945
2017-02-01,0.6189683860232945
2017-02-02,0.0
2017-02-03,0.0
2017-02-04,0.9284525790349418
2017-02-05,0.0
2017-02-06,0.6189683860232945
2017-02-07,0.0
2017-02-08,0.6189683860232945
2017-02-09,0.6189683860232945
2017-02-10,1.5474209650582362
2017-02-11,0.9284525790349418
2017-02-12,0.0
2017-02-13,0.0
2017-02-14,0.6189683860232945
2017-02-15,0.6189683860232945
2017-02-16,2.7853577371048255
2017-02-17,0.0
2017-02-18,0.0
2017-02-19,0.0
2017-02-20,0.0
2017-02-21,0.0
2017-02-22,0.6189683860232945
2017-02-23,0.6189683860232945
2017-02-24,0.6189683860232945
2017-02-25,1.5474209650582362
2017-02-26,0.0
2017-02-27,0.6189683860232945
2017-02-28,0.0
2017-03-01,0.0
2017-03-02,0.575418215150398
2017-03-03,0.18235475803800055
2017-03-04,0.7121842836788985
2017-03-05,0.30948419301164726
2017-03-06,0.349513286239501
2017-03-07,0.793725029143045
2017-03-08,0.6589974792511483
2017-03-09,0.7577729731883986
2017-03-10,0.18235475803800055
2017-03-11,0.0
2017-03-12,0.20514910279275061
2017-03-13,0.30948419301164726
2017-03-14,0.0
2017-03-15,1.1032092221546923
2017-03-16,0.1747566431197505
2017-03-17,1.1460181135233691
2017-03-18,0.41029820558550123
2017-03-19,0.20514910279275061
2017-03-20,0.1747566431197505
2017-03-21,0.2659340221387508
2017-03-22,0.4842408361313978
2017-03-23,0.0
2017-03-24,0.18995287295625057
2017-03-25,0.6769735072284715
2017-03-26,0.0
2017-03-27,0.1747566431197505
2017-03-28,1.607464604900017
2017-03-29,0.6665955941693983
2017-03-30,0.18235475803800055
2017-03-31,0.18995287295625057
2017-04-01,0.0
2017-04-02,0.0
2017-04-03,0.7294190321520022
2017-04-04,0.0
2017-04-05,0.0
2017-04-06,0.5470642741140016
2017-04-07,0.7598114918250023
2017-04-08,0.0
2017-04-09,0.8509888708440025
2017-04-10,0.0
2017-04-11,0.3647095160760011
2017-04-12,0.0
2017-04-13,0.7598114918250023
2017-04-14,0.41029820558550123
2017-04-15,0.4406906652585013
2017-04-16,0.4406906652585013
2017-04-17,1.5196229836500046
2017-04-18,0.349513286239501
2017-04-19,0.7142228023155021
2017-04-20,0.3647095160760011
2017-04-21,0.37990574591250115
2017-04-22,0.42549443542200127
2017-04-23,0.0
2017-04-24,0.3647095160760011
2017-04-25,0.0
2017-04-26,0.5318680442775016
2017-04-27,0.3647095160760011
2017-04-28,0.0
2017-04-29,0.0
2017-04-30,0.42549443542200127
2017-05-01,0.0
2017-05-02,0.7142228023155021
2017-05-03,0.5318680442775016
2017-05-04,0.349513286239501
2017-05-05,0.7446152619885023
2017-05-06,0.0
2017-05-07,0.42549443542200127
2017-05-08,0.0
2017-05-09,0.7294190321520022
2017-05-10,0.5318680442775016
2017-05-11,0.3647095160760011
2017-05-12,0.5622605039505016
2017-05-13,0.0
2017-05-14,0.42549443542200127
2017-05-15,0.5470642741140016
2017-05-16,0.5470642741140016
2017-05-17,0.3647095160760011
2017-05-18,0.7294190321520022
2017-05-19,0.0
2017-05-20,0.42549443542200127
2017-05-21,1.2764833062660037
2017-05-22,0.5318680442775016
2017-05-23,0.349513286239501
2017-05-24,0.3647095160760011
2017-05-25,0.7598114918250023
2017-05-26,0.3951019757490012
2017-05-27,0.4406906652585013
2017-05-28,0.4406906652585013
2017-05-29,0.37990574591250115
2017-05-30,0.3647095160760011
2017-05-31,0.3647095160760011
2017-06-01,0.3647095160760011
2017-06-02,0.0
2017-06-03,0.42549443542200127
