date,trump ill
2016-09-15,5.0
2016-09-16,5.0
2016-09-17,7.0
2016-09-18,6.0
2016-09-19,6.0
2016-09-20,4.0
2016-09-21,8.0
2016-09-22,6.0
2016-09-23,3.0
2016-09-24,5.0
2016-09-25,5.0
2016-09-26,6.0
2016-09-27,17.0
2016-09-28,7.0
2016-09-29,4.0
2016-09-30,9.0
2016-10-01,10.860406091370558
2016-10-02,8.373096446700508
2016-10-03,6.436548223350254
2016-10-04,6.385786802030457
2016-10-05,6.911167512690355
2016-10-06,76.0228426395939
2016-10-07,98.73096446700508
2016-10-08,46.86548223350254
2016-10-09,25.14467005076142
2016-10-10,28.581218274111677
2016-10-11,16.784263959390863
2016-10-12,13.835025380710661
2016-10-13,20.20812182741117
2016-10-14,14.335025380710661
2016-10-15,16.809644670050762
2016-10-16,16.746192893401016
2016-10-17,14.309644670050762
2016-10-18,11.835025380710661
2016-10-19,12.347715736040609
2016-10-20,25.18274111675127
2016-10-21,12.373096446700508
2016-10-22,11.373096446700508
2016-10-23,6.911167512690355
2016-10-24,9.860406091370558
2016-10-25,6.411167512690355
2016-10-26,7.411167512690355
2016-10-27,11.873096446700508
2016-10-28,5.911167512690355
2016-10-29,7.898477157360406
2016-10-30,8.898477157360407
2016-10-31,3.4619289340101522
2016-11-01,6.911167512690355
2016-11-02,8.771573604060913
2016-11-03,16.568527918781726
2016-11-04,2.9238578680203045
2016-11-05,9.746192893401016
2016-11-06,13.644670050761421
2016-11-07,18.51776649746193
2016-11-08,30.21319796954315
2016-11-09,81.86802030456853
2016-11-10,38.984771573604064
2016-11-11,29.238578680203048
2016-11-12,15.593908629441625
2016-11-13,13.644670050761421
2016-11-14,19.492385786802032
2016-11-15,19.492385786802032
2016-11-16,9.746192893401016
2016-11-17,4.873096446700508
2016-11-18,10.720812182741117
2016-11-19,10.720812182741117
2016-11-20,9.746192893401016
2016-11-21,4.873096446700508
2016-11-22,7.7969543147208125
2016-11-23,5.847715736040609
2016-11-24,5.847715736040609
2016-11-25,4.873096446700508
2016-11-26,12.67005076142132
2016-11-27,4.873096446700508
2016-11-28,9.746192893401016
2016-11-29,6.822335025380711
2016-11-30,3.8984771573604062
2016-12-01,3.8984771573604062
2016-12-02,2.9238578680203045
2016-12-03,5.847715736040609
2016-12-04,5.847715736040609
2016-12-05,4.873096446700508
2016-12-06,4.873096446700508
2016-12-07,3.8984771573604062
2016-12-08,0.9746192893401016
2016-12-09,0.0
2016-12-10,3.8984771573604062
2016-12-11,4.873096446700508
2016-12-12,3.8984771573604062
2016-12-13,7.7969543147208125
2016-12-14,7.7969543147208125
2016-12-15,5.847715736040609
2016-12-16,3.8984771573604062
2016-12-17,5.847715736040609
2016-12-18,10.720812182741117
2016-12-19,8.771573604060913
2016-12-20,2.9238578680203045
2016-12-21,6.822335025380711
2016-12-22,1.9492385786802031
2016-12-23,5.847715736040609
2016-12-24,5.847715736040609
2016-12-25,6.822335025380711
2016-12-26,5.847715736040609
2016-12-27,3.8984771573604062
2016-12-28,4.873096446700508
2016-12-29,1.9492385786802031
2016-12-30,4.873096446700508
2016-12-31,3.8984771573604062
2017-01-01,4.873096446700508
2017-01-02,6.822335025380711
2017-01-03,3.8984771573604062
2017-01-04,3.8984771573604062
2017-01-05,7.7969543147208125
2017-01-06,9.746192893401016
2017-01-07,11.695431472081218
2017-01-08,7.7969543147208125
2017-01-09,7.7969543147208125
2017-01-10,4.873096446700508
2017-01-11,10.720812182741117
2017-01-12,11.695431472081218
2017-01-13,5.847715736040609
2017-01-14,5.847715736040609
2017-01-15,7.7969543147208125
2017-01-16,9.746192893401016
2017-01-17,5.847715736040609
2017-01-18,6.822335025380711
2017-01-19,10.720812182741117
2017-01-20,29.238578680203048
2017-01-21,32.162436548223354
2017-01-22,28.263959390862944
2017-01-23,16.568527918781726
2017-01-24,19.492385786802032
2017-01-25,33.13705583756345
2017-01-26,46.78172588832487
2017-01-27,34.111675126903556
2017-01-28,23.390862944162436
2017-01-29,38.01015228426396
2017-01-30,35.08629441624365
2017-01-31,36.06091370558376
2017-02-01,23.390862944162436
2017-02-02,31.18781725888325
2017-02-03,52.629441624365484
2017-02-04,42.88324873096447
2017-02-05,25.34010152284264
2017-02-06,26.314720812182742
2017-02-07,19.492385786802032
2017-02-08,16.568527918781726
2017-02-09,23.390862944162436
2017-02-10,19.492385786802032
2017-02-11,18.51776649746193
2017-02-12,31.18781725888325
2017-02-13,31.18781725888325
2017-02-14,21.441624365482234
2017-02-15,17.543147208121827
2017-02-16,34.111675126903556
2017-02-17,70.1725888324873
2017-02-18,32.162436548223354
2017-02-19,20.467005076142133
2017-02-20,23.390862944162436
2017-02-21,16.568527918781726
2017-02-22,28.263959390862944
2017-02-23,8.771573604060913
2017-02-24,19.492385786802032
2017-02-25,18.51776649746193
2017-02-26,13.644670050761421
2017-02-27,9.746192893401016
2017-02-28,14.619289340101524
2017-03-01,41.93717035356816
2017-03-02,26.166730898400075
2017-03-03,9.00201504123677
2017-03-04,24.982283052732413
2017-03-05,32.590021691973966
2017-03-06,35.43935606769657
2017-03-07,25.19898256934274
2017-03-08,14.863472697842912
2017-03-09,12.487706046224824
2017-03-10,12.277877489897264
2017-03-11,6.626248389618683
2017-03-12,8.02739575189667
2017-03-13,5.374148011936091
2017-03-14,6.2811147692612606
2017-03-15,6.423290793573889
2017-03-16,6.423290793573889
2017-03-17,11.580739288899654
2017-03-18,10.815948555887111
2017-03-19,10.531596507261856
2017-03-20,11.445434224869793
2017-03-21,6.768424413931312
2017-03-22,10.463943975246924
2017-03-23,8.792186484909212
2017-03-24,6.558595857603752
2017-03-25,2.6532477399605794
2017-03-26,3.837695585628241
2017-03-27,4.257352698283361
2017-03-28,4.115176673970732
2017-03-29,6.558595857603752
2017-03-30,3.627867029300681
2017-03-31,4.189700166268429
2017-04-01,6.626248389618683
2017-04-02,4.616228239206315
2017-04-03,3.357256901240956
2017-04-04,4.196571126551195
2017-04-05,9.65211359106775
2017-04-06,7.553828027792151
2017-04-07,5.035885351861435
2017-04-08,5.455542464516554
2017-04-09,3.357256901240956
2017-04-10,8.81279936575751
2017-04-11,7.134170915137032
2017-04-12,6.294856689826792
2017-04-13,6.294856689826792
2017-04-14,7.134170915137032
2017-04-15,3.357256901240956
2017-04-16,2.5179426759307173
2017-04-17,3.7769140138960755
2017-04-18,4.196571126551195
2017-04-19,2.5179426759307173
2017-04-20,2.9375997885858367
2017-04-21,7.973485140447271
2017-04-22,15.946970280894542
2017-04-23,11.750399154343347
2017-04-24,6.714513802481912
2017-04-25,9.23245647841263
2017-04-26,5.875199577171673
2017-04-27,4.196571126551195
2017-04-28,2.9375997885858367
2017-04-29,5.455542464516554
2017-04-30,4.196571126551195
2017-05-01,7.553828027792151
2017-05-02,10.07177070372287
2017-05-03,3.357256901240956
2017-05-04,4.196571126551195
2017-05-05,9.23245647841263
2017-05-06,3.357256901240956
2017-05-07,8.81279936575751
2017-05-08,10.07177070372287
2017-05-09,2.9375997885858367
2017-05-10,5.455542464516554
2017-05-11,6.714513802481912
2017-05-12,13.429027604963824
2017-05-13,6.294856689826792
2017-05-14,4.196571126551195
2017-05-15,3.357256901240956
2017-05-16,10.07177070372287
2017-05-17,7.553828027792151
2017-05-18,8.39314225310239
2017-05-19,5.035885351861435
2017-05-20,7.973485140447271
2017-05-21,5.035885351861435
2017-05-22,8.81279936575751
2017-05-23,7.553828027792151
2017-05-24,7.553828027792151
2017-05-25,5.875199577171673
2017-05-26,5.875199577171673
2017-05-27,8.39314225310239
2017-05-28,3.357256901240956
2017-05-29,5.035885351861435
2017-05-30,5.455542464516554
2017-05-31,8.81279936575751
2017-06-01,5.455542464516554
2017-06-02,9.23245647841263
2017-06-03,6.714513802481912
