date,barack obama scandal
2016-09-26,21.0
2016-09-27,64.0
2016-09-28,0.0
2016-09-29,44.0
2016-09-30,0.0
2016-10-01,0.0
2016-10-02,29.275985663082437
2016-10-03,0.0
2016-10-04,0.0
2016-10-05,41.596774193548384
2016-10-06,10.5
2016-10-07,0.0
2016-10-08,43.13978494623656
2016-10-09,12.5
2016-10-10,11.0
2016-10-11,36.54838709677419
2016-10-12,11.0
2016-10-13,0.0
2016-10-14,0.0
2016-10-15,50.0
2016-10-16,0.0
2016-10-17,25.61648745519713
2016-10-18,15.116487455197133
2016-10-19,0.0
2016-10-20,0.0
2016-10-21,11.0
2016-10-22,0.0
2016-10-23,0.0
2016-10-24,0.0
2016-10-25,15.116487455197133
2016-10-26,25.61648745519713
2016-10-27,31.096774193548388
2016-10-28,26.980286738351253
2016-10-29,18.13978494623656
2016-10-30,30.2078853046595
2016-10-31,11.0
2016-11-01,26.548387096774192
2016-11-02,0.0
2016-11-03,0.0
2016-11-04,0.0
2016-11-05,0.0
2016-11-06,69.10394265232975
2016-11-07,29.369175627240146
2016-11-08,59.602150537634415
2016-11-09,83.78853046594982
2016-11-10,30.232974910394265
2016-11-11,63.0573476702509
2016-11-12,0.0
2016-11-13,0.0
2016-11-14,0.0
2016-11-15,0.0
2016-11-16,0.0
2016-11-17,0.0
2016-11-18,0.0
2016-11-19,0.0
2016-11-20,0.0
2016-11-21,0.0
2016-11-22,0.0
2016-11-23,0.0
2016-11-24,0.0
2016-11-25,0.0
2016-11-26,68.24014336917563
2016-11-27,33.68817204301075
2016-11-28,0.0
2016-11-29,0.0
2016-11-30,60.46594982078853
2016-12-01,0.0
2016-12-02,0.0
2016-12-03,34.551971326164875
2016-12-04,0.0
2016-12-05,0.0
2016-12-06,29.369175627240146
2016-12-07,30.232974910394265
2016-12-08,0.0
2016-12-09,0.0
2016-12-10,0.0
2016-12-11,35.415770609319
2016-12-12,29.369175627240146
2016-12-13,30.232974910394265
2016-12-14,0.0
2016-12-15,30.232974910394265
2016-12-16,0.0
2016-12-17,0.0
2016-12-18,0.0
2016-12-19,0.0
2016-12-20,0.0
2016-12-21,0.0
2016-12-22,0.0
2016-12-23,0.0
2016-12-24,0.0
2016-12-25,0.0
2016-12-26,0.0
2016-12-27,0.0
2016-12-28,0.0
2016-12-29,0.0
2016-12-30,33.68817204301075
2016-12-31,0.0
2017-01-01,0.0
2017-01-02,0.0
2017-01-03,0.0
2017-01-04,0.0
2017-01-05,30.232974910394265
2017-01-06,0.0
2017-01-07,0.0
2017-01-08,0.0
2017-01-09,0.0
2017-01-10,57.87455197132617
2017-01-11,29.369175627240146
2017-01-12,29.369175627240146
2017-01-13,30.232974910394265
2017-01-14,0.0
2017-01-15,32.82437275985663
2017-01-16,28.505376344086024
2017-01-17,0.0
2017-01-18,0.0
2017-01-19,58.73835125448029
2017-01-20,29.369175627240146
2017-01-21,0.0
2017-01-22,33.68817204301075
2017-01-23,86.37992831541219
2017-01-24,0.0
2017-01-25,57.87455197132617
2017-01-26,29.369175627240146
2017-01-27,0.0
2017-01-28,33.68817204301075
2017-01-29,32.82437275985663
2017-01-30,0.0
2017-01-31,0.0
2017-02-01,0.0
2017-02-02,29.369175627240146
2017-02-03,0.0
2017-02-04,0.0
2017-02-05,0.0
2017-02-06,0.0
2017-02-07,0.0
2017-02-08,0.0
2017-02-09,57.01075268817205
2017-02-10,0.0
2017-02-11,0.0
2017-02-12,32.82437275985663
2017-02-13,0.0
2017-02-14,0.0
2017-02-15,0.0
2017-02-16,0.0
2017-02-17,0.0
2017-02-18,33.68817204301075
2017-02-19,0.0
2017-02-20,0.0
2017-02-21,0.0
2017-02-22,0.0
2017-02-23,0.0
2017-02-24,0.0
2017-02-25,0.0
2017-02-26,0.0
2017-02-27,0.0
2017-02-28,0.0
2017-03-01,2.9904783693390424
2017-03-02,0.0
2017-03-03,0.0
2017-03-04,0.0
2017-03-05,0.0
2017-03-06,0.0
2017-03-07,5.805046246364023
2017-03-08,20.145689664564067
2017-03-09,17.243166541382053
2017-03-10,0.0
2017-03-11,3.4302546001241954
2017-03-12,3.3422993539671646
2017-03-13,0.0
2017-03-14,0.0
2017-03-15,8.795524615703066
2017-03-16,0.0
2017-03-17,0.0
2017-03-18,0.0
2017-03-19,0.0
2017-03-20,5.893001492521054
2017-03-21,0.0
2017-03-22,0.0
2017-03-23,14.252688172043012
2017-03-24,6.332777723306207
2017-03-25,0.0
2017-03-26,0.0
2017-03-27,0.0
2017-03-28,2.9025231231820117
2017-03-29,2.9904783693390424
2017-03-30,2.9904783693390424
2017-03-31,15.116487455197133
2017-04-01,3.518209846281226
2017-04-02,0.0
2017-04-03,0.0
2017-04-04,5.980956738678085
2017-04-05,5.980956738678085
2017-04-06,0.0
2017-04-07,6.332777723306207
2017-04-08,0.0
2017-04-09,0.0
2017-04-10,6.1568672309921455
2017-04-11,6.1568672309921455
2017-04-12,0.0
2017-04-13,0.0
2017-04-14,0.0
2017-04-15,0.0
2017-04-16,0.0
2017-04-17,6.332777723306207
2017-04-18,11.786002985042108
2017-04-19,0.0
2017-04-20,0.0
2017-04-21,6.332777723306207
2017-04-22,0.0
2017-04-23,0.0
2017-04-24,0.0
2017-04-25,5.980956738678085
2017-04-26,5.805046246364023
2017-04-27,5.980956738678085
2017-04-28,0.0
2017-04-29,7.036419692562452
2017-04-30,0.0
2017-05-01,0.0
2017-05-02,0.0
2017-05-03,0.0
2017-05-04,0.0
2017-05-05,0.0
2017-05-06,0.0
2017-05-07,0.0
2017-05-08,0.0
2017-05-09,0.0
2017-05-10,0.0
2017-05-11,11.96191347735617
2017-05-12,6.332777723306207
2017-05-13,0.0
2017-05-14,0.0
2017-05-15,8.971435108017127
2017-05-16,0.0
2017-05-17,11.96191347735617
2017-05-18,5.980956738678085
2017-05-19,0.0
2017-05-20,7.212330184876514
2017-05-21,0.0
2017-05-22,0.0
2017-05-23,5.980956738678085
2017-05-24,5.980956738678085
2017-05-25,6.332777723306207
2017-05-26,0.0
2017-05-27,0.0
2017-05-28,0.0
2017-05-29,0.0
2017-05-30,0.0
2017-05-31,6.1568672309921455
2017-06-01,6.1568672309921455
2017-06-02,6.332777723306207
2017-06-03,0.0
