date,donald trump bus
2017-01-19,6.710526315789474
2017-01-20,18.214285714285715
2017-01-21,22.048872180451127
2017-01-22,8.62781954887218
2017-01-23,5.7518796992481205
2017-01-24,1.9172932330827068
2017-01-25,7.669172932330827
2017-01-26,4.793233082706767
2017-01-27,4.793233082706767
2017-01-28,6.710526315789474
2017-01-29,9.586466165413533
2017-01-30,6.710526315789474
2017-01-31,5.7518796992481205
2017-02-01,7.669172932330827
2017-02-02,9.586466165413533
2017-02-03,4.793233082706767
2017-02-04,2.8759398496240602
2017-02-05,1.9172932330827068
2017-02-06,7.669172932330827
2017-02-07,6.710526315789474
2017-02-08,4.793233082706767
2017-02-09,5.7518796992481205
2017-02-10,4.793233082706767
2017-02-11,1.9172932330827068
2017-02-12,1.9172932330827068
2017-02-13,5.7518796992481205
2017-02-14,4.793233082706767
2017-02-15,2.8759398496240602
2017-02-16,5.7518796992481205
2017-02-17,2.8759398496240602
2017-02-18,0.9586466165413534
2017-02-19,4.793233082706767
2017-02-20,11.503759398496241
2017-02-21,4.793233082706767
2017-02-22,4.793233082706767
2017-02-23,1.9172932330827068
2017-02-24,0.9586466165413534
2017-02-25,4.793233082706767
2017-02-26,0.0
2017-02-27,5.7518796992481205
2017-02-28,4.793233082706767
2017-03-01,1.0624300111982081
2017-03-02,2.315629499280115
2017-03-03,1.1086226203807388
2017-03-04,2.575387937929931
2017-03-05,0.6005039193729002
2017-03-06,0.848864181730923
2017-03-07,1.3857782754759236
2017-03-08,2.130859062549992
2017-03-09,1.6167413213885775
2017-03-10,1.697728363461846
2017-03-11,1.310790273556231
2017-03-12,2.575387937929931
2017-03-13,2.0210766277395615
2017-03-14,1.3569828827387616
2017-03-15,3.089505679091345
2017-03-16,4.123140297552391
2017-03-17,3.690009598464245
2017-03-18,1.3743800991841304
2017-03-19,1.310790273556231
2017-03-20,3.6438169892817145
2017-03-21,1.9460886258198689
2017-03-22,3.782394816829307
2017-03-23,3.4590465525515914
2017-03-24,2.067269236922092
2017-03-25,7.974524076147816
2017-03-26,3.6438169892817145
2017-03-27,1.2472004479283312
2017-03-28,1.1722124460086385
2017-03-29,1.2184050551911692
2017-03-30,4.273116301391777
2017-03-31,1.4031754919212924
2017-04-01,1.7901135818269074
2017-04-02,2.4944008958566624
2017-04-03,1.8477043673012314
2017-04-04,2.8639417693169085
2017-04-05,2.8639417693169085
2017-04-06,2.586786114221724
2017-04-07,3.048712206047032
2017-04-08,2.4944008958566624
2017-04-09,1.75531914893617
2017-04-10,1.1086226203807388
2017-04-11,0.7390817469204926
2017-04-12,1.8477043673012314
2017-04-13,3.048712206047032
2017-04-14,2.4944008958566624
2017-04-15,0.8314669652855541
2017-04-16,0.8314669652855541
2017-04-17,2.3096304591265393
2017-04-18,1.1086226203807388
2017-04-19,2.1248600223964162
2017-04-20,0.7390817469204926
2017-04-21,1.8477043673012314
2017-04-22,0.8314669652855541
2017-04-23,2.4944008958566624
2017-04-24,4.342105263157894
2017-04-25,1.3857782754759236
2017-04-26,2.1248600223964162
2017-04-27,0.7390817469204926
2017-04-28,2.586786114221724
2017-04-29,0.8314669652855541
2017-04-30,2.1248600223964162
2017-05-01,1.2010078387458003
2017-05-02,0.0
2017-05-03,0.7390817469204926
2017-05-04,1.478163493840985
2017-05-05,2.586786114221724
2017-05-06,0.8314669652855541
2017-05-07,0.0
2017-05-08,1.8477043673012314
2017-05-09,1.478163493840985
2017-05-10,1.1086226203807388
2017-05-11,2.4944008958566624
2017-05-12,2.586786114221724
2017-05-13,2.1248600223964162
2017-05-14,1.293393057110862
2017-05-15,3.233482642777155
2017-05-16,2.1248600223964162
2017-05-17,1.478163493840985
2017-05-18,2.8639417693169085
2017-05-19,1.1086226203807388
2017-05-20,2.586786114221724
2017-05-21,2.1248600223964162
2017-05-22,1.8477043673012314
2017-05-23,2.1248600223964162
2017-05-24,3.603023516237401
2017-05-25,2.6791713325867854
2017-05-26,2.4020156774916006
2017-05-27,0.9238521836506157
2017-05-28,1.293393057110862
2017-05-29,0.7390817469204926
2017-05-30,1.478163493840985
2017-05-31,1.8477043673012314
2017-06-01,1.478163493840985
2017-06-02,1.5705487122060466
2017-06-03,2.1248600223964162
