date,repeal and replace
2016-08-02,0.0
2016-08-03,0.0
2016-08-04,1.2503576537911303
2016-08-05,0.0
2016-08-06,0.0
2016-08-07,0.0
2016-08-08,0.0
2016-08-09,0.0
2016-08-10,0.0
2016-08-11,1.2775393419170242
2016-08-12,0.0
2016-08-13,0.0
2016-08-14,0.0
2016-08-15,0.0
2016-08-16,0.0
2016-08-17,0.0
2016-08-18,0.0
2016-08-19,0.0
2016-08-20,0.0
2016-08-21,0.0
2016-08-22,0.0
2016-08-23,0.0
2016-08-24,0.0
2016-08-25,0.0
2016-08-26,0.0
2016-08-27,0.0
2016-08-28,0.0
2016-08-29,0.0
2016-08-30,0.0
2016-08-31,0.0
2016-09-01,0.0
2016-09-02,0.0
2016-09-03,1.4406294706723892
2016-09-04,0.0
2016-09-05,0.0
2016-09-06,0.0
2016-09-07,1.2231759656652361
2016-09-08,0.0
2016-09-09,0.0
2016-09-10,0.0
2016-09-11,0.0
2016-09-12,0.0
2016-09-13,0.0
2016-09-14,0.0
2016-09-15,0.0
2016-09-16,1.2503576537911303
2016-09-17,1.386266094420601
2016-09-18,0.0
2016-09-19,0.0
2016-09-20,0.0
2016-09-21,0.0
2016-09-22,0.0
2016-09-23,0.0
2016-09-24,0.0
2016-09-25,0.0
2016-09-26,0.0
2016-09-27,1.1688125894134478
2016-09-28,0.0
2016-09-29,0.0
2016-09-30,0.0
2016-10-01,0.0
2016-10-02,0.0
2016-10-03,0.5
2016-10-04,0.5
2016-10-05,0.0
2016-10-06,0.0
2016-10-07,0.0
2016-10-08,0.6931330472103004
2016-10-09,0.0
2016-10-10,0.5
2016-10-11,0.0
2016-10-12,0.0
2016-10-13,1.6824034334763949
2016-10-14,0.0
2016-10-15,0.0
2016-10-16,0.0
2016-10-17,0.5
2016-10-18,0.0
2016-10-19,0.0
2016-10-20,0.0
2016-10-21,0.597997138769671
2016-10-22,1.6795422031473533
2016-10-23,0.0
2016-10-24,2.168812589413448
2016-10-25,1.6416309012875536
2016-10-26,0.5
2016-10-27,1.3698140200286124
2016-10-28,0.6115879828326181
2016-10-29,0.0
2016-10-30,2.3590844062947065
2016-10-31,0.0
2016-11-01,3.695994277539342
2016-11-02,4.0
2016-11-03,0.0
2016-11-04,2.0
2016-11-05,2.0
2016-11-06,2.0
2016-11-07,1.0
2016-11-08,1.0
2016-11-09,9.0
2016-11-10,8.0
2016-11-11,10.0
2016-11-12,6.0
2016-11-13,5.0
2016-11-14,5.0
2016-11-15,4.0
2016-11-16,3.0
2016-11-17,1.0
2016-11-18,3.0
2016-11-19,0.0
2016-11-20,2.0
2016-11-21,3.0
2016-11-22,3.0
2016-11-23,0.0
2016-11-24,1.0
2016-11-25,1.0
2016-11-26,2.0
2016-11-27,3.0
2016-11-28,0.0
2016-11-29,4.0
2016-11-30,3.0
2016-12-01,0.0
2016-12-02,2.0
2016-12-03,3.0
2016-12-04,2.0
2016-12-05,2.0
2016-12-06,3.0
2016-12-07,0.0
2016-12-08,3.0
2016-12-09,2.0
2016-12-10,3.0
2016-12-11,0.0
2016-12-12,3.0
2016-12-13,6.0
2016-12-14,1.0
2016-12-15,5.0
2016-12-16,5.0
2016-12-17,2.0
2016-12-18,2.0
2016-12-19,1.0
2016-12-20,1.0
2016-12-21,3.0
2016-12-22,2.0
2016-12-23,0.0
2016-12-24,2.0
2016-12-25,0.0
2016-12-26,2.0
2016-12-27,0.0
2016-12-28,3.0
2016-12-29,2.0
2016-12-30,3.0
2016-12-31,4.0
2017-01-01,0.0
2017-01-02,2.0
2017-01-03,1.0
2017-01-04,21.0
2017-01-05,12.0
2017-01-06,3.0
2017-01-07,3.0
2017-01-08,5.0
2017-01-09,3.0
2017-01-10,7.0
2017-01-11,39.0
2017-01-12,62.0
2017-01-13,17.0
2017-01-14,13.0
2017-01-15,6.0
2017-01-16,11.0
2017-01-17,11.0
2017-01-18,8.0
2017-01-19,7.0
2017-01-20,8.0
2017-01-21,15.0
2017-01-22,5.0
2017-01-23,8.0
2017-01-24,6.0
2017-01-25,7.0
2017-01-26,7.0
2017-01-27,4.0
2017-01-28,9.0
2017-01-29,3.0
2017-01-30,4.0
2017-01-31,3.0
2017-02-01,3.0
2017-02-02,3.0
2017-02-03,6.0
2017-02-04,2.0
2017-02-05,3.0
2017-02-06,5.0
2017-02-07,5.0
2017-02-08,2.0
2017-02-09,4.0
2017-02-10,4.0
2017-02-11,5.0
2017-02-12,0.0
2017-02-13,4.0
2017-02-14,3.0
2017-02-15,3.0
2017-02-16,6.0
2017-02-17,9.0
2017-02-18,5.0
2017-02-19,4.0
2017-02-20,7.0
2017-02-21,5.0
2017-02-22,7.0
2017-02-23,12.0
2017-02-24,10.0
2017-02-25,3.0
2017-02-26,8.0
2017-02-27,8.0
2017-02-28,7.0
2017-03-01,12.661214953271028
2017-03-02,4.887071651090343
2017-03-03,5.864485981308412
2017-03-04,5.364485981308412
2017-03-05,2.954828660436137
2017-03-06,19.570872274143305
2017-03-07,55.280373831775705
2017-03-08,27.777258566978194
2017-03-09,20.02570093457944
2017-03-10,22.412772585669785
2017-03-11,11.751557632398754
2017-03-12,6.796728971962617
2017-03-13,18.116043613707166
2017-03-14,10.728971962616823
2017-03-15,9.728971962616823
2017-03-16,7.296728971962617
2017-03-17,9.251557632398754
2017-03-18,2.932242990654206
2017-03-19,6.796728971962617
2017-03-20,6.3193146417445485
2017-03-21,12.706386292834893
2017-03-22,14.206386292834893
2017-03-23,30.277258566978194
2017-03-24,97.74143302180686
2017-03-25,85.46728971962617
2017-03-26,36.23208722741433
2017-03-27,23.86760124610592
2017-03-28,19.138629283489095
2017-03-29,8.774143302180686
2017-03-30,7.8193146417445485
2017-03-31,6.864485981308412
2017-04-01,3.3870716510903427
2017-04-02,1.9096573208722742
2017-04-03,4.774143302180685
2017-04-04,5.728971962616823
2017-04-05,4.774143302180685
2017-04-06,4.774143302180685
2017-04-07,2.8644859813084116
2017-04-08,2.8644859813084116
2017-04-09,3.8193146417445485
2017-04-10,2.8644859813084116
2017-04-11,5.728971962616823
2017-04-12,1.9096573208722742
2017-04-13,4.774143302180685
2017-04-14,1.9096573208722742
2017-04-15,1.9096573208722742
2017-04-16,3.8193146417445485
2017-04-17,4.774143302180685
2017-04-18,2.8644859813084116
2017-04-19,1.9096573208722742
2017-04-20,6.68380062305296
2017-04-21,1.9096573208722742
2017-04-22,2.8644859813084116
2017-04-23,3.8193146417445485
2017-04-24,3.8193146417445485
2017-04-25,2.8644859813084116
2017-04-26,4.774143302180685
2017-04-27,1.9096573208722742
2017-04-28,6.68380062305296
2017-04-29,4.774143302180685
2017-04-30,1.9096573208722742
2017-05-01,9.54828660436137
2017-05-02,8.593457943925234
2017-05-03,9.54828660436137
2017-05-04,81.16043613707166
2017-05-05,51.5607476635514
2017-05-06,23.870716510903428
2017-05-07,9.54828660436137
2017-05-08,9.54828660436137
2017-05-09,6.68380062305296
2017-05-10,4.774143302180685
2017-05-11,5.728971962616823
2017-05-12,1.9096573208722742
2017-05-13,3.8193146417445485
2017-05-14,4.774143302180685
2017-05-15,7.638629283489097
2017-05-16,2.8644859813084116
2017-05-17,1.9096573208722742
2017-05-18,1.9096573208722742
2017-05-19,1.9096573208722742
2017-05-20,1.9096573208722742
2017-05-21,3.8193146417445485
2017-05-22,2.8644859813084116
2017-05-23,3.8193146417445485
2017-05-24,1.9096573208722742
2017-05-25,1.9096573208722742
2017-05-26,2.8644859813084116
2017-05-27,1.9096573208722742
2017-05-28,0.0
2017-05-29,0.0
2017-05-30,3.8193146417445485
2017-05-31,1.9096573208722742
2017-06-01,2.8644859813084116
2017-06-02,0.0
2017-06-03,3.8193146417445485
