date,pneumonia
2016-10-24,16.246861924686193
2016-10-25,16.02092050209205
2016-10-26,16.63389121338912
2016-10-27,16.246861924686193
2016-10-28,14.00418410041841
2016-10-29,13.165271966527197
2016-10-30,13.439330543933053
2016-10-31,16.746861924686193
2016-11-01,16.359832635983263
2016-11-02,16.94560669456067
2016-11-03,16.719665271966527
2016-11-04,15.138075313807532
2016-11-05,13.556485355648537
2016-11-06,13.556485355648537
2016-11-07,16.493723849372387
2016-11-08,16.493723849372387
2016-11-09,14.460251046025105
2016-11-10,16.267782426778243
2016-11-11,14.91213389121339
2016-11-12,15.815899581589958
2016-11-13,14.00836820083682
2016-11-14,17.171548117154813
2016-11-15,18.527196652719667
2016-11-16,17.623430962343097
2016-11-17,17.623430962343097
2016-11-18,16.493723849372387
2016-11-19,14.00836820083682
2016-11-20,15.138075313807532
2016-11-21,17.623430962343097
2016-11-22,17.171548117154813
2016-11-23,16.719665271966527
2016-11-24,13.556485355648537
2016-11-25,12.652719665271967
2016-11-26,13.556485355648537
2016-11-27,14.00836820083682
2016-11-28,17.84937238493724
2016-11-29,18.301255230125523
2016-11-30,19.430962343096233
2016-12-01,17.171548117154813
2016-12-02,16.719665271966527
2016-12-03,13.330543933054393
2016-12-04,15.364016736401673
2016-12-05,18.97907949790795
2016-12-06,18.527196652719667
2016-12-07,17.84937238493724
2016-12-08,17.84937238493724
2016-12-09,16.267782426778243
2016-12-10,15.138075313807532
2016-12-11,14.686192468619247
2016-12-12,17.623430962343097
2016-12-13,17.397489539748953
2016-12-14,17.623430962343097
2016-12-15,16.94560669456067
2016-12-16,16.0418410041841
2016-12-17,15.815899581589958
2016-12-18,15.589958158995817
2016-12-19,17.623430962343097
2016-12-20,18.07531380753138
2016-12-21,18.753138075313807
2016-12-22,18.97907949790795
2016-12-23,17.84937238493724
2016-12-24,15.364016736401673
2016-12-25,16.719665271966527
2016-12-26,21.464435146443517
2016-12-27,20.560669456066947
2016-12-28,20.334728033472803
2016-12-29,20.10878661087866
2016-12-30,19.88284518828452
2016-12-31,17.623430962343097
2017-01-01,16.719665271966527
2017-01-02,19.430962343096233
2017-01-03,22.594142259414227
2017-01-04,21.464435146443517
2017-01-05,22.142259414225943
2017-01-06,20.10878661087866
2017-01-07,17.84937238493724
2017-01-08,17.623430962343097
2017-01-09,19.656903765690377
2017-01-10,19.205020920502093
2017-01-11,19.88284518828452
2017-01-12,19.656903765690377
2017-01-13,18.301255230125523
2017-01-14,15.364016736401673
2017-01-15,16.267782426778243
2017-01-16,18.07531380753138
2017-01-17,18.753138075313807
2017-01-18,19.430962343096233
2017-01-19,20.10878661087866
2017-01-20,18.527196652719667
2017-01-21,16.719665271966527
2017-01-22,16.493723849372387
2017-01-23,17.84937238493724
2017-01-24,18.527196652719667
2017-01-25,18.07531380753138
2017-01-26,17.84937238493724
2017-01-27,16.0418410041841
2017-01-28,16.0418410041841
2017-01-29,16.267782426778243
2017-01-30,18.07531380753138
2017-01-31,17.623430962343097
2017-02-01,19.430962343096233
2017-02-02,18.07531380753138
2017-02-03,17.171548117154813
2017-02-04,15.138075313807532
2017-02-05,15.589958158995817
2017-02-06,18.753138075313807
2017-02-07,18.97907949790795
2017-02-08,18.753138075313807
2017-02-09,18.97907949790795
2017-02-10,19.205020920502093
2017-02-11,16.0418410041841
2017-02-12,14.91213389121339
2017-02-13,18.97907949790795
2017-02-14,18.527196652719667
2017-02-15,18.07531380753138
2017-02-16,17.623430962343097
2017-02-17,18.07531380753138
2017-02-18,17.171548117154813
2017-02-19,16.94560669456067
2017-02-20,18.527196652719667
2017-02-21,19.205020920502093
2017-02-22,18.753138075313807
2017-02-23,18.753138075313807
2017-02-24,16.267782426778243
2017-02-25,16.493723849372387
2017-02-26,14.91213389121339
2017-02-27,18.07531380753138
2017-02-28,18.97907949790795
2017-03-01,17.717117025786592
2017-03-02,18.75662175363574
2017-03-03,17.67630822258677
2017-03-04,15.276427110021565
2017-03-05,14.557794039039315
2017-03-06,16.46971135236761
2017-03-07,16.844704440307446
2017-03-08,16.279850883822093
2017-03-09,17.016524431828653
2017-03-10,15.54317733581553
2017-03-11,14.349893093469484
2017-03-12,14.047061913626894
2017-03-13,16.731733729010376
2017-03-14,17.18834442334986
2017-03-15,17.20638490037417
2017-03-16,16.808623486258824
2017-03-17,15.9770197039795
2017-03-18,14.141992147899654
2017-03-19,14.254962859196725
2017-03-20,16.88551324350727
2017-03-21,17.830087737083662
2017-03-22,17.260506331447107
2017-03-23,16.428902549167788
2017-03-24,16.108030892300885
2017-03-25,13.839160968057065
2017-03-26,15.24034615597294
2017-03-27,16.67288444878624
2017-03-28,17.48644775404125
2017-03-29,16.7725425322102
2017-03-30,16.58268206366468
2017-03-31,16.013100658028126
2017-04-01,13.215458131347575
2017-04-02,14.049674672368345
2017-04-03,16.7077212320056
2017-04-04,16.897581700551118
2017-04-05,16.138139826369045
2017-04-06,16.51786076346008
2017-04-07,15.378697952186974
2017-04-08,13.480093266731792
2017-04-09,13.859814203822827
2017-04-10,16.897581700551118
2017-04-11,15.378697952186974
2017-04-12,16.328000294914563
2017-04-13,14.429395609459382
2017-04-14,13.480093266731792
2017-04-15,13.66995373527731
2017-04-16,12.720651392549719
2017-04-17,16.138139826369045
2017-04-18,16.51786076346008
2017-04-19,16.51786076346008
2017-04-20,16.138139826369045
2017-04-21,14.6192560780049
2017-04-22,11.58148858127661
2017-04-23,11.011907175640054
2017-04-24,14.049674672368345
2017-04-25,15.948279357823528
2017-04-26,15.75841888927801
2017-04-27,14.429395609459382
2017-04-28,13.100372329640756
2017-04-29,11.58148858127661
2017-04-30,12.151069986913164
2017-05-01,15.568558420732492
2017-05-02,16.328000294914563
2017-05-03,14.6192560780049
2017-05-04,15.188837483641455
2017-05-05,13.859814203822827
2017-05-06,12.151069986913164
2017-05-07,13.100372329640756
2017-05-08,15.948279357823528
2017-05-09,15.75841888927801
2017-05-10,14.049674672368345
2017-05-11,13.480093266731792
2017-05-12,13.480093266731792
2017-05-13,12.151069986913164
2017-05-14,12.5307909240042
2017-05-15,15.378697952186974
2017-05-16,16.138139826369045
2017-05-17,14.998977015095937
2017-05-18,13.66995373527731
2017-05-19,13.100372329640756
2017-05-20,12.340930455458683
2017-05-21,12.340930455458683
2017-05-22,15.188837483641455
2017-05-23,14.809116546550419
2017-05-24,14.6192560780049
2017-05-25,14.998977015095937
2017-05-26,12.910511861095237
2017-05-27,12.340930455458683
2017-05-28,11.961209518367646
2017-05-29,12.720651392549719
2017-05-30,14.998977015095937
2017-05-31,13.859814203822827
2017-06-01,13.66995373527731
2017-06-02,13.100372329640756
2017-06-03,11.771349049822128
