date,electoral college victory
2017-02-08,2.0
2017-02-09,0.0
2017-02-10,0.0
2017-02-11,2.0
2017-02-12,0.0
2017-02-13,2.0
2017-02-14,4.0
2017-02-15,0.0
2017-02-16,17.0
2017-02-17,32.0
2017-02-18,5.0
2017-02-19,4.0
2017-02-20,2.0
2017-02-21,0.0
2017-02-22,2.0
2017-02-23,3.0
2017-02-24,2.0
2017-02-25,2.0
2017-02-26,0.0
2017-02-27,0.0
2017-02-28,0.0
2017-03-01,0.7993474714518759
2017-03-02,1.8156606851549755
2017-03-03,0.0
2017-03-04,0.9135399673735725
2017-03-05,0.0
2017-03-06,1.0
2017-03-07,0.0
2017-03-08,0.7993474714518759
2017-03-09,0.0
2017-03-10,0.8319738988580749
2017-03-11,2.0
2017-03-12,1.9135399673735725
2017-03-13,0.0
2017-03-14,1.7993474714518758
2017-03-15,0.0
2017-03-16,1.7993474714518758
2017-03-17,0.0
2017-03-18,0.0
2017-03-19,0.0
2017-03-20,1.0
2017-03-21,0.7993474714518759
2017-03-22,0.0
2017-03-23,1.0
2017-03-24,0.864600326264274
2017-03-25,0.0
2017-03-26,0.0
2017-03-27,0.0
2017-03-28,0.0
2017-03-29,1.831973898858075
2017-03-30,0.8319738988580749
2017-03-31,0.0
2017-04-01,0.0
2017-04-02,0.0
2017-04-03,0.0
2017-04-04,0.0
2017-04-05,0.0
2017-04-06,2.4796084828711256
2017-04-07,0.0
2017-04-08,0.0
2017-04-09,0.0
2017-04-10,0.0
2017-04-11,0.0
2017-04-12,0.0
2017-04-13,0.0
2017-04-14,0.0
2017-04-15,0.0
2017-04-16,0.0
2017-04-17,0.0
2017-04-18,0.0
2017-04-19,2.446982055464926
2017-04-20,1.631321370309951
2017-04-21,1.696574225122349
2017-04-22,0.0
2017-04-23,0.0
2017-04-24,0.0
2017-04-25,0.0
2017-04-26,0.0
2017-04-27,1.631321370309951
2017-04-28,0.0
2017-04-29,0.0
2017-04-30,1.957585644371941
2017-05-01,0.0
2017-05-02,0.0
2017-05-03,1.5986949429037518
2017-05-04,0.0
2017-05-05,0.0
2017-05-06,0.0
2017-05-07,0.0
2017-05-08,1.631321370309951
2017-05-09,0.0
2017-05-10,0.0
2017-05-11,1.631321370309951
2017-05-12,1.696574225122349
2017-05-13,0.0
2017-05-14,0.0
2017-05-15,0.0
2017-05-16,1.631321370309951
2017-05-17,3.262642740619902
2017-05-18,0.0
2017-05-19,1.696574225122349
2017-05-20,0.0
2017-05-21,1.9249592169657421
2017-05-22,1.631321370309951
2017-05-23,0.0
2017-05-24,0.0
2017-05-25,0.0
2017-05-26,0.0
2017-05-27,0.0
2017-05-28,0.0
2017-05-29,0.0
2017-05-30,0.0
2017-05-31,1.6639477977161499
2017-06-01,0.0
2017-06-02,1.729200652528548
2017-06-03,0.0
