date,trump protests
2016-09-02,6.0
2016-09-03,11.0
2016-09-04,4.0
2016-09-05,3.0
2016-09-06,3.0
2016-09-07,5.0
2016-09-08,6.0
2016-09-09,5.0
2016-09-10,9.0
2016-09-11,7.0
2016-09-12,11.0
2016-09-13,6.0
2016-09-14,12.0
2016-09-15,3.0
2016-09-16,3.0
2016-09-17,7.0
2016-09-18,12.0
2016-09-19,6.0
2016-09-20,4.0
2016-09-21,12.0
2016-09-22,26.0
2016-09-23,16.0
2016-09-24,16.0
2016-09-25,9.0
2016-09-26,6.0
2016-09-27,7.0
2016-09-28,6.0
2016-09-29,12.0
2016-09-30,9.0
2016-10-01,4.5
2016-10-02,3.5
2016-10-03,3.5
2016-10-04,2.0
2016-10-05,0.0
2016-10-06,7.5
2016-10-07,1.5
2016-10-08,3.5
2016-10-09,2.5
2016-10-10,3.5
2016-10-11,4.5
2016-10-12,3.0
2016-10-13,5.0
2016-10-14,2.5
2016-10-15,2.5
2016-10-16,6.5
2016-10-17,8.0
2016-10-18,6.5
2016-10-19,10.0
2016-10-20,8.5
2016-10-21,4.5
2016-10-22,6.0
2016-10-23,4.0
2016-10-24,3.5
2016-10-25,3.5
2016-10-26,1.5
2016-10-27,1.5
2016-10-28,4.5
2016-10-29,2.5
2016-10-30,1.5
2016-10-31,2.0
2016-11-01,3.0
2016-11-02,0.0
2016-11-03,0.0
2016-11-04,0.0
2016-11-05,0.0
2016-11-06,0.0
2016-11-07,0.0
2016-11-08,0.0
2016-11-09,20.0
2016-11-10,100.0
2016-11-11,54.0
2016-11-12,41.0
2016-11-13,33.0
2016-11-14,21.0
2016-11-15,15.0
2016-11-16,11.0
2016-11-17,8.0
2016-11-18,7.0
2016-11-19,6.0
2016-11-20,4.0
2016-11-21,4.0
2016-11-22,3.0
2016-11-23,2.0
2016-11-24,1.0
2016-11-25,1.0
2016-11-26,1.0
2016-11-27,1.0
2016-11-28,1.0
2016-11-29,1.0
2016-11-30,1.0
2016-12-01,1.0
2016-12-02,1.0
2016-12-03,1.0
2016-12-04,1.0
2016-12-05,1.0
2016-12-06,1.0
2016-12-07,0.0
2016-12-08,1.0
2016-12-09,1.0
2016-12-10,1.0
2016-12-11,0.0
2016-12-12,0.0
2016-12-13,1.0
2016-12-14,0.0
2016-12-15,0.0
2016-12-16,0.0
2016-12-17,1.0
2016-12-18,0.0
2016-12-19,1.0
2016-12-20,1.0
2016-12-21,0.0
2016-12-22,0.0
2016-12-23,0.0
2016-12-24,0.0
2016-12-25,0.0
2016-12-26,0.0
2016-12-27,0.0
2016-12-28,0.0
2016-12-29,0.0
2016-12-30,0.0
2016-12-31,0.0
2017-01-01,0.0
2017-01-02,1.0
2017-01-03,0.0
2017-01-04,0.0
2017-01-05,1.0
2017-01-06,1.0
2017-01-07,1.0
2017-01-08,1.0
2017-01-09,1.0
2017-01-10,1.0
2017-01-11,1.0
2017-01-12,1.0
2017-01-13,1.0
2017-01-14,1.0
2017-01-15,2.0
2017-01-16,2.0
2017-01-17,2.0
2017-01-18,3.0
2017-01-19,4.0
2017-01-20,32.0
2017-01-21,33.0
2017-01-22,16.0
2017-01-23,6.0
2017-01-24,3.0
2017-01-25,3.0
2017-01-26,3.0
2017-01-27,2.0
2017-01-28,3.0
2017-01-29,12.0
2017-01-30,11.0
2017-01-31,6.0
2017-02-01,3.0
2017-02-02,4.0
2017-02-03,3.0
2017-02-04,3.0
2017-02-05,3.0
2017-02-06,1.0
2017-02-07,1.0
2017-02-08,1.0
2017-02-09,1.0
2017-02-10,1.0
2017-02-11,1.0
2017-02-12,1.0
2017-02-13,1.0
2017-02-14,1.0
2017-02-15,1.0
2017-02-16,1.0
2017-02-17,1.0
2017-02-18,2.0
2017-02-19,1.0
2017-02-20,2.0
2017-02-21,1.0
2017-02-22,1.0
2017-02-23,1.0
2017-02-24,1.0
2017-02-25,1.0
2017-02-26,0.0
2017-02-27,0.0
2017-02-28,1.0
2017-03-01,0.19067796610169493
2017-03-02,0.15254237288135594
2017-03-03,0.11440677966101695
2017-03-04,0.690677966101695
2017-03-05,0.690677966101695
2017-03-06,0.652542372881356
2017-03-07,0.15254237288135594
2017-03-08,0.15254237288135594
2017-03-09,0.07627118644067797
2017-03-10,0.07627118644067797
2017-03-11,0.07627118644067797
2017-03-12,0.038135593220338986
2017-03-13,0.038135593220338986
2017-03-14,0.038135593220338986
2017-03-15,0.11440677966101695
2017-03-16,0.11440677966101695
2017-03-17,0.07627118644067797
2017-03-18,0.038135593220338986
2017-03-19,0.11440677966101695
2017-03-20,0.07627118644067797
2017-03-21,0.038135593220338986
2017-03-22,0.07627118644067797
2017-03-23,0.038135593220338986
2017-03-24,0.07627118644067797
2017-03-25,0.07627118644067797
2017-03-26,1.5338983050847457
2017-03-27,2.4915254237288136
2017-03-28,0.07627118644067797
2017-03-29,0.038135593220338986
2017-03-30,0.038135593220338986
2017-03-31,0.038135593220338986
2017-04-01,0.8050847457627119
2017-04-02,0.3050847457627119
2017-04-03,0.07627118644067797
2017-04-04,0.15254237288135594
2017-04-05,0.07627118644067797
2017-04-06,0.07627118644067797
2017-04-07,0.3050847457627119
2017-04-08,0.07627118644067797
2017-04-09,0.07627118644067797
2017-04-10,0.07627118644067797
2017-04-11,0.07627118644067797
2017-04-12,0.07627118644067797
2017-04-13,0.2288135593220339
2017-04-14,0.15254237288135594
2017-04-15,0.7627118644067797
2017-04-16,7.627118644067797
2017-04-17,1.6779661016949154
2017-04-18,0.3050847457627119
2017-04-19,0.15254237288135594
2017-04-20,0.15254237288135594
2017-04-21,0.15254237288135594
2017-04-22,0.15254237288135594
2017-04-23,0.15254237288135594
2017-04-24,0.15254237288135594
2017-04-25,0.07627118644067797
2017-04-26,0.15254237288135594
2017-04-27,0.15254237288135594
2017-04-28,0.07627118644067797
2017-04-29,0.15254237288135594
2017-04-30,0.15254237288135594
2017-05-01,0.3050847457627119
2017-05-02,0.2288135593220339
2017-05-03,0.07627118644067797
2017-05-04,0.4576271186440678
2017-05-05,0.38135593220338987
2017-05-06,0.15254237288135594
2017-05-07,0.07627118644067797
2017-05-08,0.07627118644067797
2017-05-09,0.15254237288135594
2017-05-10,0.2288135593220339
2017-05-11,0.2288135593220339
2017-05-12,0.07627118644067797
2017-05-13,0.07627118644067797
2017-05-14,0.07627118644067797
2017-05-15,0.15254237288135594
2017-05-16,0.15254237288135594
2017-05-17,0.15254237288135594
2017-05-18,0.15254237288135594
2017-05-19,0.15254237288135594
2017-05-20,0.07627118644067797
2017-05-21,0.15254237288135594
2017-05-22,0.15254237288135594
2017-05-23,0.07627118644067797
2017-05-24,0.15254237288135594
2017-05-25,0.15254237288135594
2017-05-26,0.15254237288135594
2017-05-27,0.07627118644067797
2017-05-28,0.07627118644067797
2017-05-29,0.07627118644067797
2017-05-30,0.4576271186440678
2017-05-31,0.15254237288135594
2017-06-01,0.2288135593220339
2017-06-02,0.3050847457627119
2017-06-03,0.15254237288135594
