date,womens march
2016-08-05,22.0
2016-08-06,51.0
2016-08-07,0.0
2016-08-08,43.0
2016-08-09,75.0
2016-08-10,54.0
2016-08-11,55.0
2016-08-12,46.0
2016-08-13,51.0
2016-08-14,26.0
2016-08-15,67.0
2016-08-16,32.0
2016-08-17,86.0
2016-08-18,76.0
2016-08-19,56.0
2016-08-20,25.0
2016-08-21,49.0
2016-08-22,21.0
2016-08-23,21.0
2016-08-24,32.0
2016-08-25,43.0
2016-08-26,45.0
2016-08-27,37.0
2016-08-28,25.0
2016-08-29,31.0
2016-08-30,41.0
2016-08-31,31.0
2016-09-01,21.0
2016-09-02,22.0
2016-09-03,25.0
2016-09-04,24.0
2016-09-05,32.0
2016-09-06,62.0
2016-09-07,0.0
2016-09-08,21.0
2016-09-09,53.0
2016-09-10,24.0
2016-09-11,48.0
2016-09-12,63.0
2016-09-13,41.0
2016-09-14,41.0
2016-09-15,64.0
2016-09-16,54.0
2016-09-17,48.0
2016-09-18,35.0
2016-09-19,30.0
2016-09-20,60.0
2016-09-21,31.0
2016-09-22,41.0
2016-09-23,65.0
2016-09-24,48.0
2016-09-25,83.0
2016-09-26,51.0
2016-09-27,40.0
2016-09-28,40.0
2016-09-29,51.0
2016-09-30,75.0
2016-10-01,23.5
2016-10-02,11.5
2016-10-03,20.0
2016-10-04,15.0
2016-10-05,20.0
2016-10-06,25.5
2016-10-07,26.0
2016-10-08,0.0
2016-10-09,12.0
2016-10-10,25.5
2016-10-11,20.0
2016-10-12,15.5
2016-10-13,20.0
2016-10-14,15.5
2016-10-15,35.0
2016-10-16,17.0
2016-10-17,39.5
2016-10-18,49.0
2016-10-19,20.0
2016-10-20,25.0
2016-10-21,10.5
2016-10-22,11.5
2016-10-23,11.5
2016-10-24,15.0
2016-10-25,24.5
2016-10-26,14.5
2016-10-27,20.0
2016-10-28,15.5
2016-10-29,0.0
2016-10-30,17.5
2016-10-31,30.5
2016-11-01,31.0
2016-11-02,0.0
2016-11-03,0.0
2016-11-04,0.0
2016-11-05,0.0
2016-11-06,0.0
2016-11-07,0.0
2016-11-08,0.0
2016-11-09,0.0
2016-11-10,0.0
2016-11-11,0.0
2016-11-12,0.0
2016-11-13,1.0
2016-11-14,0.0
2016-11-15,0.0
2016-11-16,0.0
2016-11-17,0.0
2016-11-18,0.0
2016-11-19,0.0
2016-11-20,0.0
2016-11-21,0.0
2016-11-22,0.0
2016-11-23,0.0
2016-11-24,0.0
2016-11-25,0.0
2016-11-26,0.0
2016-11-27,0.0
2016-11-28,0.0
2016-11-29,0.0
2016-11-30,0.0
2016-12-01,0.0
2016-12-02,0.0
2016-12-03,0.0
2016-12-04,0.0
2016-12-05,0.0
2016-12-06,0.0
2016-12-07,0.0
2016-12-08,0.0
2016-12-09,0.0
2016-12-10,0.0
2016-12-11,0.0
2016-12-12,0.0
2016-12-13,0.0
2016-12-14,0.0
2016-12-15,0.0
2016-12-16,0.0
2016-12-17,0.0
2016-12-18,0.0
2016-12-19,0.0
2016-12-20,0.0
2016-12-21,0.0
2016-12-22,0.0
2016-12-23,0.0
2016-12-24,0.0
2016-12-25,0.0
2016-12-26,0.0
2016-12-27,0.0
2016-12-28,0.0
2016-12-29,0.0
2016-12-30,0.0
2016-12-31,0.0
2017-01-01,0.0
2017-01-02,0.0
2017-01-03,1.0
2017-01-04,1.0
2017-01-05,1.0
2017-01-06,1.0
2017-01-07,1.0
2017-01-08,1.0
2017-01-09,1.0
2017-01-10,1.0
2017-01-11,2.0
2017-01-12,2.0
2017-01-13,3.0
2017-01-14,3.0
2017-01-15,4.0
2017-01-16,5.0
2017-01-17,6.0
2017-01-18,7.0
2017-01-19,10.0
2017-01-20,19.0
2017-01-21,100.0
2017-01-22,69.0
2017-01-23,27.0
2017-01-24,14.0
2017-01-25,8.0
2017-01-26,6.0
2017-01-27,5.0
2017-01-28,4.0
2017-01-29,3.0
2017-01-30,2.0
2017-01-31,2.0
2017-02-01,1.0
2017-02-02,1.0
2017-02-03,1.0
2017-02-04,1.0
2017-02-05,1.0
2017-02-06,1.0
2017-02-07,1.0
2017-02-08,1.0
2017-02-09,1.0
2017-02-10,1.0
2017-02-11,1.0
2017-02-12,1.0
2017-02-13,1.0
2017-02-14,1.0
2017-02-15,0.0
2017-02-16,1.0
2017-02-17,1.0
2017-02-18,0.0
2017-02-19,0.0
2017-02-20,0.0
2017-02-21,0.0
2017-02-22,0.0
2017-02-23,1.0
2017-02-24,0.0
2017-02-25,0.0
2017-02-26,0.0
2017-02-27,1.0
2017-02-28,1.0
2017-03-01,0.7831125827814569
2017-03-02,0.7673841059602649
2017-03-03,0.7673841059602649
2017-03-04,0.7673841059602649
2017-03-05,0.8460264900662251
2017-03-06,0.9246688741721855
2017-03-07,1.097682119205298
2017-03-08,3.0728476821192054
2017-03-09,1.0033112582781456
2017-03-10,0.7201986754966887
2017-03-11,0.7516556291390728
2017-03-12,0.22019867549668876
2017-03-13,0.2044701986754967
2017-03-14,0.22019867549668876
2017-03-15,0.2044701986754967
2017-03-16,0.7673841059602649
2017-03-17,0.28311258278145696
2017-03-18,0.7831125827814569
2017-03-19,0.7673841059602649
2017-03-20,0.7831125827814569
2017-03-21,0.22019867549668876
2017-03-22,0.15728476821192053
2017-03-23,0.15728476821192053
2017-03-24,0.18874172185430466
2017-03-25,0.798841059602649
2017-03-26,0.7831125827814569
2017-03-27,0.2044701986754967
2017-03-28,0.17301324503311258
2017-03-29,0.14155629139072848
2017-03-30,0.09437086092715233
2017-03-31,0.12582781456953643
2017-04-01,0.22019867549668876
2017-04-02,0.3774834437086093
2017-04-03,0.25165562913907286
2017-04-04,0.22019867549668876
2017-04-05,0.15728476821192053
2017-04-06,0.18874172185430466
2017-04-07,0.12582781456953643
2017-04-08,0.06291390728476821
2017-04-09,0.12582781456953643
2017-04-10,0.12582781456953643
2017-04-11,0.09437086092715233
2017-04-12,0.12582781456953643
2017-04-13,0.09437086092715233
2017-04-14,0.12582781456953643
2017-04-15,0.09437086092715233
2017-04-16,0.09437086092715233
2017-04-17,0.09437086092715233
2017-04-18,0.15728476821192053
2017-04-19,0.12582781456953643
2017-04-20,0.15728476821192053
2017-04-21,0.15728476821192053
2017-04-22,0.12582781456953643
2017-04-23,0.12582781456953643
2017-04-24,0.15728476821192053
2017-04-25,0.12582781456953643
2017-04-26,0.09437086092715233
2017-04-27,0.12582781456953643
2017-04-28,0.15728476821192053
2017-04-29,0.12582781456953643
2017-04-30,0.09437086092715233
2017-05-01,0.12582781456953643
2017-05-02,0.15728476821192053
2017-05-03,0.06291390728476821
2017-05-04,0.15728476821192053
2017-05-05,0.12582781456953643
2017-05-06,0.09437086092715233
2017-05-07,0.09437086092715233
2017-05-08,0.09437086092715233
2017-05-09,0.09437086092715233
2017-05-10,0.06291390728476821
2017-05-11,0.09437086092715233
2017-05-12,0.06291390728476821
2017-05-13,0.03145695364238411
2017-05-14,0.09437086092715233
2017-05-15,0.09437086092715233
2017-05-16,0.09437086092715233
2017-05-17,0.06291390728476821
2017-05-18,0.09437086092715233
2017-05-19,0.09437086092715233
2017-05-20,0.06291390728476821
2017-05-21,0.06291390728476821
2017-05-22,0.09437086092715233
2017-05-23,0.09437086092715233
2017-05-24,0.06291390728476821
2017-05-25,0.12582781456953643
2017-05-26,0.06291390728476821
2017-05-27,0.03145695364238411
2017-05-28,0.06291390728476821
2017-05-29,0.03145695364238411
2017-05-30,0.09437086092715233
2017-05-31,0.06291390728476821
2017-06-01,0.09437086092715233
2017-06-02,0.06291390728476821
2017-06-03,0.06291390728476821
