date,christopher steele
2016-08-09,66.0
2016-08-10,33.0
2016-08-11,34.0
2016-08-12,35.0
2016-08-13,59.0
2016-08-14,40.0
2016-08-15,0.0
2016-08-16,0.0
2016-08-17,0.0
2016-08-18,0.0
2016-08-19,0.0
2016-08-20,78.0
2016-08-21,0.0
2016-08-22,66.0
2016-08-23,0.0
2016-08-24,67.0
2016-08-25,34.0
2016-08-26,34.0
2016-08-27,77.0
2016-08-28,39.0
2016-08-29,32.0
2016-08-30,65.0
2016-08-31,66.0
2016-09-01,33.0
2016-09-02,34.0
2016-09-03,38.0
2016-09-04,0.0
2016-09-05,100.0
2016-09-06,0.0
2016-09-07,0.0
2016-09-08,0.0
2016-09-09,33.0
2016-09-10,38.0
2016-09-11,0.0
2016-09-12,33.0
2016-09-13,48.0
2016-09-14,0.0
2016-09-15,0.0
2016-09-16,34.0
2016-09-17,37.0
2016-09-18,37.0
2016-09-19,47.0
2016-09-20,31.0
2016-09-21,0.0
2016-09-22,32.0
2016-09-23,0.0
2016-09-24,37.0
2016-09-25,0.0
2016-09-26,64.0
2016-09-27,31.0
2016-09-28,32.0
2016-09-29,32.0
2016-09-30,33.0
2016-10-01,18.5
2016-10-02,0.0
2016-10-03,23.5
2016-10-04,0.0
2016-10-05,0.0
2016-10-06,0.0
2016-10-07,16.0
2016-10-08,0.0
2016-10-09,36.5
2016-10-10,0.0
2016-10-11,31.0
2016-10-12,47.5
2016-10-13,15.5
2016-10-14,16.0
2016-10-15,0.0
2016-10-16,0.0
2016-10-17,0.0
2016-10-18,0.0
2016-10-19,15.5
2016-10-20,31.0
2016-10-21,0.0
2016-10-22,18.0
2016-10-23,0.0
2016-10-24,15.5
2016-10-25,15.5
2016-10-26,0.0
2016-10-27,15.5
2016-10-28,16.5
2016-10-29,0.0
2016-10-30,0.0
2016-10-31,16.0
2016-11-01,16.0
2016-11-02,0.0
2016-11-03,0.0
2016-11-04,0.0
2016-11-05,0.0
2016-11-06,0.0
2016-11-07,0.0
2016-11-08,0.0
2016-11-09,0.0
2016-11-10,0.0
2016-11-11,0.0
2016-11-12,0.0
2016-11-13,0.0
2016-11-14,0.0
2016-11-15,0.0
2016-11-16,0.0
2016-11-17,0.0
2016-11-18,0.0
2016-11-19,0.0
2016-11-20,0.0
2016-11-21,0.0
2016-11-22,0.0
2016-11-23,0.0
2016-11-24,0.0
2016-11-25,0.0
2016-11-26,0.0
2016-11-27,0.0
2016-11-28,0.0
2016-11-29,0.0
2016-11-30,0.0
2016-12-01,0.0
2016-12-02,0.0
2016-12-03,0.0
2016-12-04,0.0
2016-12-05,0.0
2016-12-06,0.0
2016-12-07,0.0
2016-12-08,0.0
2016-12-09,0.0
2016-12-10,0.0
2016-12-11,0.0
2016-12-12,0.0
2016-12-13,0.0
2016-12-14,0.0
2016-12-15,0.0
2016-12-16,0.0
2016-12-17,0.0
2016-12-18,0.0
2016-12-19,0.0
2016-12-20,0.0
2016-12-21,0.0
2016-12-22,0.0
2016-12-23,0.0
2016-12-24,0.0
2016-12-25,0.0
2016-12-26,0.0
2016-12-27,0.0
2016-12-28,0.0
2016-12-29,0.0
2016-12-30,0.0
2016-12-31,0.0
2017-01-01,0.0
2017-01-02,0.0
2017-01-03,0.0
2017-01-04,0.0
2017-01-05,0.0
2017-01-06,0.0
2017-01-07,0.0
2017-01-08,0.0
2017-01-09,0.0
2017-01-10,0.0
2017-01-11,20.0
2017-01-12,100.0
2017-01-13,58.0
2017-01-14,24.0
2017-01-15,21.0
2017-01-16,7.0
2017-01-17,6.0
2017-01-18,3.0
2017-01-19,2.0
2017-01-20,1.0
2017-01-21,1.0
2017-01-22,1.0
2017-01-23,1.0
2017-01-24,1.0
2017-01-25,1.0
2017-01-26,1.0
2017-01-27,1.0
2017-01-28,3.0
2017-01-29,6.0
2017-01-30,3.0
2017-01-31,2.0
2017-02-01,2.0
2017-02-02,1.0
2017-02-03,1.0
2017-02-04,1.0
2017-02-05,1.0
2017-02-06,1.0
2017-02-07,0.0
2017-02-08,1.0
2017-02-09,0.0
2017-02-10,1.0
2017-02-11,2.0
2017-02-12,2.0
2017-02-13,1.0
2017-02-14,2.0
2017-02-15,3.0
2017-02-16,1.0
2017-02-17,1.0
2017-02-18,1.0
2017-02-19,1.0
2017-02-20,1.0
2017-02-21,1.0
2017-02-22,0.0
2017-02-23,1.0
2017-02-24,0.0
2017-02-25,1.0
2017-02-26,1.0
2017-02-27,1.0
2017-02-28,1.0
2017-03-01,1.824232081911263
2017-03-02,2.795221843003413
2017-03-03,3.3054607508532423
2017-03-04,7.689419795221843
2017-03-05,2.9522184300341294
2017-03-06,1.0887372013651877
2017-03-07,4.904436860068259
2017-03-08,7.924914675767918
2017-03-09,6.522184300341297
2017-03-10,1.627986348122867
2017-03-11,1.2064846416382253
2017-03-12,1.4317406143344709
2017-03-13,0.8139931740614335
2017-03-14,0.8924914675767919
2017-03-15,0.15699658703071673
2017-03-16,0.15699658703071673
2017-03-17,0.31399317406143346
2017-03-18,0.7747440273037542
2017-03-19,0.7747440273037542
2017-03-20,5.208191126279864
2017-03-21,2.5699658703071675
2017-03-22,1.0887372013651877
2017-03-23,1.7457337883959045
2017-03-24,1.127986348122867
2017-03-25,0.1962457337883959
2017-03-26,1.127986348122867
2017-03-27,2.059726962457338
2017-03-28,0.8924914675767919
2017-03-29,1.0494880546075085
2017-03-30,2.6774744027303754
2017-03-31,0.9709897610921502
2017-04-01,1.127986348122867
2017-04-02,0.3924914675767918
2017-04-03,1.098976109215017
2017-04-04,1.4914675767918089
2017-04-05,0.15699658703071673
2017-04-06,0.31399317406143346
2017-04-07,0.31399317406143346
2017-04-08,0.3924914675767918
2017-04-09,0.7849829351535836
2017-04-10,0.31399317406143346
2017-04-11,0.6279863481228669
2017-04-12,0.4709897610921502
2017-04-13,0.15699658703071673
2017-04-14,0.15699658703071673
2017-04-15,0.7064846416382253
2017-04-16,0.15699658703071673
2017-04-17,0.6279863481228669
2017-04-18,0.31399317406143346
2017-04-19,0.6279863481228669
2017-04-20,0.4709897610921502
2017-04-21,0.6279863481228669
2017-04-22,0.0
2017-04-23,0.0
2017-04-24,0.4709897610921502
2017-04-25,0.15699658703071673
2017-04-26,0.7849829351535836
2017-04-27,0.4709897610921502
2017-04-28,0.15699658703071673
2017-04-29,0.3924914675767918
2017-04-30,0.3924914675767918
2017-05-01,0.0
2017-05-02,0.7849829351535836
2017-05-03,1.098976109215017
2017-05-04,0.31399317406143346
2017-05-05,0.4709897610921502
2017-05-06,0.15699658703071673
2017-05-07,0.15699658703071673
2017-05-08,0.4709897610921502
2017-05-09,0.15699658703071673
2017-05-10,0.9419795221843004
2017-05-11,0.9419795221843004
2017-05-12,0.6279863481228669
2017-05-13,0.7064846416382253
2017-05-14,0.15699658703071673
2017-05-15,0.31399317406143346
2017-05-16,0.6279863481228669
2017-05-17,0.6279863481228669
2017-05-18,0.31399317406143346
2017-05-19,0.6279863481228669
2017-05-20,0.15699658703071673
2017-05-21,0.0
2017-05-22,0.0
2017-05-23,0.6279863481228669
2017-05-24,0.9419795221843004
2017-05-25,0.6279863481228669
2017-05-26,0.31399317406143346
2017-05-27,0.3924914675767918
2017-05-28,0.7849829351535836
2017-05-29,0.31399317406143346
2017-05-30,0.4709897610921502
2017-05-31,0.31399317406143346
2017-06-01,0.31399317406143346
2017-06-02,0.15699658703071673
2017-06-03,0.0
