date,wikileaks
2016-09-17,6.0
2016-09-18,5.0
2016-09-19,5.0
2016-09-20,6.0
2016-09-21,6.0
2016-09-22,6.0
2016-09-23,6.0
2016-09-24,5.0
2016-09-25,5.0
2016-09-26,6.0
2016-09-27,8.0
2016-09-28,7.0
2016-09-29,6.0
2016-09-30,7.0
2016-10-01,6.978056426332288
2016-10-02,12.95924764890282
2016-10-03,32.89655172413793
2016-10-04,99.68652037617554
2016-10-05,30.90282131661442
2016-10-06,16.946708463949843
2016-10-07,18.940438871473354
2016-10-08,55.82131661442006
2016-10-09,35.387147335423194
2016-10-10,48.84639498432602
2016-10-11,57.81818181818181
2016-10-12,70.77742946708463
2016-10-13,62.3025078369906
2016-10-14,53.8307210031348
2016-10-15,52.33385579937304
2016-10-16,54.327586206896555
2016-10-17,84.2335423197492
2016-10-18,68.28369905956113
2016-10-19,66.78996865203762
2016-10-20,71.77115987460814
2016-10-21,60.808777429467085
2016-10-22,49.84326018808777
2016-10-23,44.858934169278996
2016-10-24,50.84326018808777
2016-10-25,41.37147335423197
2016-10-26,38.877742946708466
2016-10-27,42.36833855799373
2016-10-28,51.33699059561128
2016-10-29,48.84639498432602
2016-10-30,40.87147335423197
2016-10-31,52.8307210031348
2016-11-01,60.308777429467085
2016-11-02,63.5987460815047
2016-11-03,65.58620689655172
2016-11-04,65.58620689655172
2016-11-05,66.57993730407523
2016-11-06,62.60501567398119
2016-11-07,79.49843260188088
2016-11-08,57.63636363636363
2016-11-09,43.724137931034484
2016-11-10,35.774294670846395
2016-11-11,22.855799373040753
2016-11-12,17.887147335423197
2016-11-13,14.905956112852664
2016-11-14,14.905956112852664
2016-11-15,12.918495297805642
2016-11-16,10.931034482758621
2016-11-17,9.93730407523511
2016-11-18,8.943573667711599
2016-11-19,6.956112852664576
2016-11-20,8.943573667711599
2016-11-21,6.956112852664576
2016-11-22,6.956112852664576
2016-11-23,6.956112852664576
2016-11-24,5.962382445141065
2016-11-25,6.956112852664576
2016-11-26,6.956112852664576
2016-11-27,10.931034482758621
2016-11-28,7.9498432601880875
2016-11-29,6.956112852664576
2016-11-30,6.956112852664576
2016-12-01,7.9498432601880875
2016-12-02,5.962382445141065
2016-12-03,5.962382445141065
2016-12-04,5.962382445141065
2016-12-05,7.9498432601880875
2016-12-06,9.93730407523511
2016-12-07,5.962382445141065
2016-12-08,5.962382445141065
2016-12-09,6.956112852664576
2016-12-10,8.943573667711599
2016-12-11,7.9498432601880875
2016-12-12,6.956112852664576
2016-12-13,6.956112852664576
2016-12-14,5.962382445141065
2016-12-15,5.962382445141065
2016-12-16,8.943573667711599
2016-12-17,6.956112852664576
2016-12-18,5.962382445141065
2016-12-19,5.962382445141065
2016-12-20,5.962382445141065
2016-12-21,4.968652037617555
2016-12-22,4.968652037617555
2016-12-23,3.9749216300940438
2016-12-24,3.9749216300940438
2016-12-25,3.9749216300940438
2016-12-26,3.9749216300940438
2016-12-27,3.9749216300940438
2016-12-28,3.9749216300940438
2016-12-29,4.968652037617555
2016-12-30,5.962382445141065
2016-12-31,4.968652037617555
2017-01-01,4.968652037617555
2017-01-02,4.968652037617555
2017-01-03,5.962382445141065
2017-01-04,12.918495297805642
2017-01-05,10.931034482758621
2017-01-06,10.931034482758621
2017-01-07,9.93730407523511
2017-01-08,7.9498432601880875
2017-01-09,7.9498432601880875
2017-01-10,6.956112852664576
2017-01-11,7.9498432601880875
2017-01-12,5.962382445141065
2017-01-13,4.968652037617555
2017-01-14,5.962382445141065
2017-01-15,6.956112852664576
2017-01-16,4.968652037617555
2017-01-17,8.943573667711599
2017-01-18,17.887147335423197
2017-01-19,8.943573667711599
2017-01-20,5.962382445141065
2017-01-21,4.968652037617555
2017-01-22,5.962382445141065
2017-01-23,6.956112852664576
2017-01-24,5.962382445141065
2017-01-25,4.968652037617555
2017-01-26,4.968652037617555
2017-01-27,3.9749216300940438
2017-01-28,3.9749216300940438
2017-01-29,3.9749216300940438
2017-01-30,3.9749216300940438
2017-01-31,3.9749216300940438
2017-02-01,3.9749216300940438
2017-02-02,3.9749216300940438
2017-02-03,3.9749216300940438
2017-02-04,3.9749216300940438
2017-02-05,3.9749216300940438
2017-02-06,3.9749216300940438
2017-02-07,4.968652037617555
2017-02-08,3.9749216300940438
2017-02-09,4.968652037617555
2017-02-10,3.9749216300940438
2017-02-11,3.9749216300940438
2017-02-12,3.9749216300940438
2017-02-13,3.9749216300940438
2017-02-14,3.9749216300940438
2017-02-15,4.968652037617555
2017-02-16,5.962382445141065
2017-02-17,4.968652037617555
2017-02-18,3.9749216300940438
2017-02-19,3.9749216300940438
2017-02-20,3.9749216300940438
2017-02-21,3.9749216300940438
2017-02-22,3.9749216300940438
2017-02-23,3.9749216300940438
2017-02-24,3.9749216300940438
2017-02-25,3.9749216300940438
2017-02-26,2.9811912225705326
2017-02-27,2.9811912225705326
2017-02-28,2.9811912225705326
2017-03-01,2.731091287791126
2017-03-02,2.731091287791126
2017-03-03,3.1445898466264124
2017-03-04,3.641455050388168
2017-03-05,3.641455050388168
2017-03-06,4.054953609223455
2017-03-07,58.67344469924892
2017-03-08,81.59593738823085
2017-03-09,50.9770360396373
2017-03-10,25.736950621699528
2017-03-11,16.716679640655574
2017-03-12,10.840998506238037
2017-03-13,9.517136184805707
2017-03-14,9.020270981043952
2017-03-15,7.696408659611623
2017-03-16,4.965317371820497
2017-03-17,4.965317371820497
2017-03-18,4.468452168058741
2017-03-19,4.965317371820497
2017-03-20,5.875681134417539
2017-03-21,4.965317371820497
2017-03-22,4.054953609223455
2017-03-23,8.10990721844691
2017-03-24,6.78604489701458
2017-03-25,4.054953609223455
2017-03-26,4.054953609223455
2017-03-27,3.641455050388168
2017-03-28,3.1445898466264124
2017-03-29,3.1445898466264124
2017-03-30,3.1445898466264124
2017-03-31,4.965317371820497
2017-04-01,3.641455050388168
2017-04-02,3.3079884706822926
2017-04-03,3.3079884706822926
2017-04-04,3.3079884706822926
2017-04-05,2.4809913530117194
2017-04-06,3.3079884706822926
2017-04-07,4.1349855883528654
2017-04-08,3.3079884706822926
2017-04-09,2.4809913530117194
2017-04-10,3.3079884706822926
2017-04-11,2.4809913530117194
2017-04-12,3.3079884706822926
2017-04-13,4.1349855883528654
2017-04-14,7.4429740590351585
2017-04-15,4.1349855883528654
2017-04-16,3.3079884706822926
2017-04-17,3.3079884706822926
2017-04-18,2.4809913530117194
2017-04-19,2.4809913530117194
2017-04-20,4.961982706023439
2017-04-21,10.750962529717452
2017-04-22,4.1349855883528654
2017-04-23,4.1349855883528654
2017-04-24,3.3079884706822926
2017-04-25,3.3079884706822926
2017-04-26,2.4809913530117194
2017-04-27,2.4809913530117194
2017-04-28,2.4809913530117194
2017-04-29,2.4809913530117194
2017-04-30,2.4809913530117194
2017-05-01,2.4809913530117194
2017-05-02,2.4809913530117194
2017-05-03,4.1349855883528654
2017-05-04,2.4809913530117194
2017-05-05,3.3079884706822926
2017-05-06,14.885948118070317
2017-05-07,7.4429740590351585
2017-05-08,4.1349855883528654
2017-05-09,3.3079884706822926
2017-05-10,3.3079884706822926
2017-05-11,2.4809913530117194
2017-05-12,3.3079884706822926
2017-05-13,3.3079884706822926
2017-05-14,2.4809913530117194
2017-05-15,3.3079884706822926
2017-05-16,6.615976941364585
2017-05-17,8.269971176705731
2017-05-18,4.1349855883528654
2017-05-19,14.885948118070317
2017-05-20,9.096968294376305
2017-05-21,4.961982706023439
2017-05-22,4.1349855883528654
2017-05-23,4.1349855883528654
2017-05-24,4.1349855883528654
2017-05-25,3.3079884706822926
2017-05-26,2.4809913530117194
2017-05-27,2.4809913530117194
2017-05-28,3.3079884706822926
2017-05-29,2.4809913530117194
2017-05-30,3.3079884706822926
2017-05-31,2.4809913530117194
2017-06-01,2.4809913530117194
2017-06-02,2.4809913530117194
2017-06-03,2.4809913530117194
