date,hillary crooked
2016-12-13,3.2805755395683454
2016-12-14,4.9208633093525185
2016-12-15,16.402877697841728
2016-12-16,9.29496402877698
2016-12-17,1.0935251798561152
2016-12-18,1.0935251798561152
2016-12-19,0.5467625899280576
2016-12-20,1.6402877697841727
2016-12-21,0.0
2016-12-22,2.733812949640288
2016-12-23,1.0935251798561152
2016-12-24,3.827338129496403
2016-12-25,0.0
2016-12-26,2.733812949640288
2016-12-27,1.0935251798561152
2016-12-28,2.733812949640288
2016-12-29,1.6402877697841727
2016-12-30,1.6402877697841727
2016-12-31,1.0935251798561152
2017-01-01,2.1870503597122304
2017-01-02,1.0935251798561152
2017-01-03,0.0
2017-01-04,0.5467625899280576
2017-01-05,0.5467625899280576
2017-01-06,0.0
2017-01-07,1.6402877697841727
2017-01-08,1.0935251798561152
2017-01-09,0.5467625899280576
2017-01-10,0.5467625899280576
2017-01-11,1.6402877697841727
2017-01-12,3.2805755395683454
2017-01-13,2.1870503597122304
2017-01-14,1.0935251798561152
2017-01-15,4.374100719424461
2017-01-16,1.6402877697841727
2017-01-17,3.2805755395683454
2017-01-18,4.374100719424461
2017-01-19,1.6402877697841727
2017-01-20,2.1870503597122304
2017-01-21,2.733812949640288
2017-01-22,5.467625899280576
2017-01-23,3.2805755395683454
2017-01-24,1.6402877697841727
2017-01-25,2.1870503597122304
2017-01-26,0.5467625899280576
2017-01-27,2.1870503597122304
2017-01-28,5.467625899280576
2017-01-29,4.374100719424461
2017-01-30,3.2805755395683454
2017-01-31,0.5467625899280576
2017-02-01,1.6402877697841727
2017-02-02,0.5467625899280576
2017-02-03,1.6402877697841727
2017-02-04,1.0935251798561152
2017-02-05,1.0935251798561152
2017-02-06,0.5467625899280576
2017-02-07,0.5467625899280576
2017-02-08,1.6402877697841727
2017-02-09,0.5467625899280576
2017-02-10,0.5467625899280576
2017-02-11,1.6402877697841727
2017-02-12,0.0
2017-02-13,0.5467625899280576
2017-02-14,0.5467625899280576
2017-02-15,0.5467625899280576
2017-02-16,0.5467625899280576
2017-02-17,3.2805755395683454
2017-02-18,1.0935251798561152
2017-02-19,1.6402877697841727
2017-02-20,0.5467625899280576
2017-02-21,2.1870503597122304
2017-02-22,3.827338129496403
2017-02-23,2.1870503597122304
2017-02-24,1.6402877697841727
2017-02-25,0.0
2017-02-26,0.0
2017-02-27,1.6402877697841727
2017-02-28,0.0
2017-03-01,1.5862663162882866
2017-03-02,1.0395037263602291
2017-03-03,1.232671347951579
2017-03-04,0.4419937104208848
2017-03-05,3.0415715331926076
2017-03-06,0.2733812949640288
2017-03-07,0.8201438848920863
2017-03-08,2.133028906216344
2017-03-09,0.38306121569810014
2017-03-10,0.6859087580235212
2017-03-11,0.4419937104208848
2017-03-12,0.4419937104208848
2017-03-13,0.38306121569810014
2017-03-14,1.6402877697841727
2017-03-15,0.656442510662129
2017-03-16,1.1491836470943004
2017-03-17,0.6859087580235212
2017-03-18,1.2621375953129712
2017-03-19,0.8201438848920863
2017-03-20,0.7661224313962003
2017-03-21,0.656442510662129
2017-03-22,1.5862663162882866
2017-03-23,1.0395037263602291
2017-03-24,1.5109636841425063
2017-03-25,0.5467625899280576
2017-03-26,0.0
2017-03-27,0.0
2017-03-28,0.38306121569810014
2017-03-29,0.7955886787575926
2017-03-30,1.0689699737216214
2017-03-31,1.232671347951579
2017-04-01,0.8201438848920863
2017-04-02,0.0
2017-04-03,0.0
2017-04-04,0.0
2017-04-05,0.7661224313962003
2017-04-06,0.0
2017-04-07,0.0
2017-04-08,1.8269073364063237
2017-04-09,2.8287597466936627
2017-04-10,1.5911773575151853
2017-04-11,0.825054926118985
2017-04-12,4.007409641149356
2017-04-13,0.825054926118985
2017-04-14,0.0
2017-04-15,0.9429199155645542
2017-04-16,1.8858398311291085
2017-04-17,0.825054926118985
2017-04-18,2.3572997889113854
2017-04-19,0.0
2017-04-20,1.5911773575151853
2017-04-21,1.65010985223797
2017-04-22,2.769827251970878
2017-04-23,2.7108947572480933
2017-04-24,0.0
2017-04-25,0.7661224313962003
2017-04-26,0.7661224313962003
2017-04-27,1.5911773575151853
2017-04-28,0.825054926118985
2017-04-29,0.9429199155645542
2017-04-30,0.0
2017-05-01,0.8839874208417696
2017-05-02,0.7661224313962003
2017-05-03,1.5322448627924006
2017-05-04,0.0
2017-05-05,0.825054926118985
2017-05-06,0.9429199155645542
2017-05-07,0.0
2017-05-08,0.0
2017-05-09,0.0
2017-05-10,0.0
2017-05-11,1.5911773575151853
2017-05-12,0.825054926118985
2017-05-13,0.0
2017-05-14,0.9429199155645542
2017-05-15,0.0
2017-05-16,3.1823547150303706
2017-05-17,2.3572997889113854
2017-05-18,0.7661224313962003
2017-05-19,3.241287209753155
2017-05-20,0.0
2017-05-21,1.8858398311291085
2017-05-22,1.5911773575151853
2017-05-23,0.0
2017-05-24,0.0
2017-05-25,0.0
2017-05-26,0.0
2017-05-27,0.9429199155645542
2017-05-28,0.0
2017-05-29,1.65010985223797
2017-05-30,1.5911773575151853
2017-05-31,0.0
2017-06-01,3.241287209753155
2017-06-02,5.893249472278464
2017-06-03,0.9429199155645542
