date,trump muslim ban
2016-08-13,7.0
2016-08-14,7.0
2016-08-15,9.0
2016-08-16,6.0
2016-08-17,14.0
2016-08-18,6.0
2016-08-19,18.0
2016-08-20,7.0
2016-08-21,10.0
2016-08-22,0.0
2016-08-23,6.0
2016-08-24,9.0
2016-08-25,9.0
2016-08-26,6.0
2016-08-27,7.0
2016-08-28,0.0
2016-08-29,11.0
2016-08-30,0.0
2016-08-31,0.0
2016-09-01,0.0
2016-09-02,0.0
2016-09-03,13.0
2016-09-04,0.0
2016-09-05,6.0
2016-09-06,5.0
2016-09-07,0.0
2016-09-08,8.0
2016-09-09,6.0
2016-09-10,16.0
2016-09-11,0.0
2016-09-12,6.0
2016-09-13,14.0
2016-09-14,11.0
2016-09-15,6.0
2016-09-16,11.0
2016-09-17,0.0
2016-09-18,12.0
2016-09-19,5.0
2016-09-20,11.0
2016-09-21,16.0
2016-09-22,11.0
2016-09-23,0.0
2016-09-24,6.0
2016-09-25,13.0
2016-09-26,5.0
2016-09-27,8.0
2016-09-28,5.0
2016-09-29,0.0
2016-09-30,11.0
2016-10-01,6.5
2016-10-02,6.0
2016-10-03,8.0
2016-10-04,2.5
2016-10-05,2.5
2016-10-06,2.5
2016-10-07,7.0
2016-10-08,6.5
2016-10-09,4.5
2016-10-10,8.0
2016-10-11,10.5
2016-10-12,7.0
2016-10-13,5.5
2016-10-14,3.0
2016-10-15,4.5
2016-10-16,0.0
2016-10-17,2.5
2016-10-18,2.5
2016-10-19,6.5
2016-10-20,4.0
2016-10-21,5.5
2016-10-22,9.5
2016-10-23,3.0
2016-10-24,2.5
2016-10-25,4.0
2016-10-26,2.5
2016-10-27,4.0
2016-10-28,8.0
2016-10-29,4.5
2016-10-30,6.0
2016-10-31,4.0
2016-11-01,4.0
2016-11-02,0.0
2016-11-03,0.0
2016-11-04,0.0
2016-11-05,0.0
2016-11-06,0.0
2016-11-07,0.0
2016-11-08,0.0
2016-11-09,2.0
2016-11-10,4.0
2016-11-11,5.0
2016-11-12,3.0
2016-11-13,2.0
2016-11-14,1.0
2016-11-15,1.0
2016-11-16,0.0
2016-11-17,0.0
2016-11-18,1.0
2016-11-19,0.0
2016-11-20,0.0
2016-11-21,1.0
2016-11-22,0.0
2016-11-23,0.0
2016-11-24,0.0
2016-11-25,0.0
2016-11-26,0.0
2016-11-27,0.0
2016-11-28,0.0
2016-11-29,0.0
2016-11-30,0.0
2016-12-01,0.0
2016-12-02,0.0
2016-12-03,0.0
2016-12-04,0.0
2016-12-05,0.0
2016-12-06,0.0
2016-12-07,0.0
2016-12-08,0.0
2016-12-09,0.0
2016-12-10,0.0
2016-12-11,0.0
2016-12-12,0.0
2016-12-13,0.0
2016-12-14,0.0
2016-12-15,0.0
2016-12-16,0.0
2016-12-17,0.0
2016-12-18,0.0
2016-12-19,0.0
2016-12-20,0.0
2016-12-21,0.0
2016-12-22,1.0
2016-12-23,0.0
2016-12-24,0.0
2016-12-25,0.0
2016-12-26,0.0
2016-12-27,0.0
2016-12-28,0.0
2016-12-29,0.0
2016-12-30,0.0
2016-12-31,0.0
2017-01-01,0.0
2017-01-02,0.0
2017-01-03,0.0
2017-01-04,0.0
2017-01-05,0.0
2017-01-06,0.0
2017-01-07,0.0
2017-01-08,0.0
2017-01-09,0.0
2017-01-10,0.0
2017-01-11,0.0
2017-01-12,0.0
2017-01-13,0.0
2017-01-14,0.0
2017-01-15,0.0
2017-01-16,0.0
2017-01-17,0.0
2017-01-18,0.0
2017-01-19,0.0
2017-01-20,0.0
2017-01-21,0.0
2017-01-22,0.0
2017-01-23,0.0
2017-01-24,0.0
2017-01-25,6.0
2017-01-26,6.0
2017-01-27,4.0
2017-01-28,49.0
2017-01-29,100.0
2017-01-30,63.0
2017-01-31,38.0
2017-02-01,20.0
2017-02-02,13.0
2017-02-03,8.0
2017-02-04,11.0
2017-02-05,8.0
2017-02-06,6.0
2017-02-07,7.0
2017-02-08,7.0
2017-02-09,6.0
2017-02-10,7.0
2017-02-11,4.0
2017-02-12,3.0
2017-02-13,3.0
2017-02-14,2.0
2017-02-15,2.0
2017-02-16,2.0
2017-02-17,2.0
2017-02-18,2.0
2017-02-19,2.0
2017-02-20,2.0
2017-02-21,2.0
2017-02-22,2.0
2017-02-23,1.0
2017-02-24,1.0
2017-02-25,1.0
2017-02-26,1.0
2017-02-27,1.0
2017-02-28,1.0
2017-03-01,1.3480725623582765
2017-03-02,1.0139833711262283
2017-03-03,1.0011337868480727
2017-03-04,0.9882842025699169
2017-03-05,0.7055933484504913
2017-03-06,2.2464096749811038
2017-03-07,1.796674225245654
2017-03-08,1.2709750566893425
2017-03-09,1.2324263038548753
2017-03-10,1.026832955404384
2017-03-11,0.8854875283446713
2017-03-12,0.808390022675737
2017-03-13,0.9240362811791383
2017-03-14,1.0396825396825398
2017-03-15,1.8480725623582765
2017-03-16,2.784958427815571
2017-03-17,1.1296296296296298
2017-03-18,0.41118669690098264
2017-03-19,1.0139833711262283
2017-03-20,1.1039304610733183
2017-03-21,0.9240362811791383
2017-03-22,0.9111866969009826
2017-03-23,1.0396825396825398
2017-03-24,0.9754346182917613
2017-03-25,0.8212396069538928
2017-03-26,0.7826908541194255
2017-03-27,0.8854875283446713
2017-03-28,0.8597883597883598
2017-03-29,0.24414210128495845
2017-03-30,0.846938775510204
2017-03-31,0.8854875283446713
2017-04-01,0.24414210128495845
2017-04-02,0.28269085411942557
2017-04-03,0.4368858654572941
2017-04-04,0.7966742252456539
2017-04-05,0.7966742252456539
2017-04-06,0.308390022675737
2017-04-07,0.6424792139077854
2017-04-08,0.5139833711262283
2017-04-09,0.745275888133031
2017-04-10,0.308390022675737
2017-04-11,0.5653817082388511
2017-04-12,0.4368858654572941
2017-04-13,0.46258503401360546
2017-04-14,0.28269085411942557
2017-04-15,0.23129251700680273
2017-04-16,0.3854875283446712
2017-04-17,0.25699168556311414
2017-04-18,0.5396825396825398
2017-04-19,0.41118669690098264
2017-04-20,0.616780045351474
2017-04-21,0.3340891912320484
2017-04-22,0.20559334845049132
2017-04-23,0.41118669690098264
2017-04-24,0.308390022675737
2017-04-25,0.6681783824640968
2017-04-26,0.4882842025699169
2017-04-27,0.5396825396825398
2017-04-28,0.4368858654572941
2017-04-29,0.4368858654572941
2017-04-30,0.28269085411942557
2017-05-01,0.41118669690098264
2017-05-02,0.4882842025699169
2017-05-03,0.3597883597883598
2017-05-04,0.4882842025699169
2017-05-05,0.4368858654572941
2017-05-06,0.3597883597883598
2017-05-07,0.1541950113378685
2017-05-08,0.745275888133031
2017-05-09,1.233560090702948
2017-05-10,0.3597883597883598
2017-05-11,0.4882842025699169
2017-05-12,0.5139833711262283
2017-05-13,0.20559334845049132
2017-05-14,0.20559334845049132
2017-05-15,0.8737717309145882
2017-05-16,0.25699168556311414
2017-05-17,0.616780045351474
2017-05-18,0.308390022675737
2017-05-19,0.308390022675737
2017-05-20,0.5910808767951625
2017-05-21,1.0279667422524565
2017-05-22,0.4368858654572941
2017-05-23,0.5910808767951625
2017-05-24,0.7966742252456539
2017-05-25,0.7709750566893424
2017-05-26,0.9251700680272109
2017-05-27,0.308390022675737
2017-05-28,0.46258503401360546
2017-05-29,0.3340891912320484
2017-05-30,0.308390022675737
2017-05-31,0.5653817082388511
2017-06-01,0.4368858654572941
2017-06-02,1.2592592592592593
2017-06-03,0.23129251700680273
