date,immigration ban
2016-12-01,0.0
2016-12-02,0.0
2016-12-03,0.0
2016-12-04,0.0
2016-12-05,0.0
2016-12-06,0.0
2016-12-07,0.0
2016-12-08,0.0
2016-12-09,0.0
2016-12-10,0.0
2016-12-11,0.0
2016-12-12,0.0
2016-12-13,0.0
2016-12-14,0.0
2016-12-15,0.0
2016-12-16,0.0
2016-12-17,0.0
2016-12-18,0.0
2016-12-19,0.0
2016-12-20,0.0
2016-12-21,0.0
2016-12-22,0.0
2016-12-23,0.0
2016-12-24,0.0
2016-12-25,0.0
2016-12-26,0.0
2016-12-27,0.0
2016-12-28,0.0
2016-12-29,0.0
2016-12-30,0.0
2016-12-31,0.0
2017-01-01,0.0
2017-01-02,0.0
2017-01-03,0.0
2017-01-04,0.0
2017-01-05,0.0
2017-01-06,0.0
2017-01-07,0.0
2017-01-08,0.0
2017-01-09,0.0
2017-01-10,0.0
2017-01-11,0.0
2017-01-12,0.0
2017-01-13,0.0
2017-01-14,0.0
2017-01-15,0.0
2017-01-16,0.0
2017-01-17,0.0
2017-01-18,0.0
2017-01-19,0.0
2017-01-20,0.0
2017-01-21,0.0
2017-01-22,0.0
2017-01-23,0.0
2017-01-24,0.0
2017-01-25,3.0
2017-01-26,3.0
2017-01-27,2.0
2017-01-28,22.0
2017-01-29,100.0
2017-01-30,84.0
2017-01-31,61.0
2017-02-01,30.0
2017-02-02,18.0
2017-02-03,14.0
2017-02-04,19.0
2017-02-05,13.0
2017-02-06,16.0
2017-02-07,17.0
2017-02-08,24.0
2017-02-09,16.0
2017-02-10,16.0
2017-02-11,6.0
2017-02-12,4.0
2017-02-13,4.0
2017-02-14,4.0
2017-02-15,3.0
2017-02-16,3.0
2017-02-17,3.0
2017-02-18,2.0
2017-02-19,2.0
2017-02-20,2.0
2017-02-21,2.0
2017-02-22,3.0
2017-02-23,2.0
2017-02-24,2.0
2017-02-25,1.0
2017-02-26,1.0
2017-02-27,2.0
2017-02-28,2.0
2017-03-01,2.0197255574614066
2017-03-02,1.1680960548885078
2017-03-03,1.097770154373928
2017-03-04,1.0626072041166381
2017-03-05,1.080188679245283
2017-03-06,3.0647512864493995
2017-03-07,3.258147512864494
2017-03-08,2.072469982847341
2017-03-09,1.8614922813036021
2017-03-10,1.1505145797598628
2017-03-11,0.6406518010291595
2017-03-12,0.8867924528301887
2017-03-13,1.1505145797598628
2017-03-14,1.115351629502573
2017-03-15,1.1329331046312179
2017-03-16,2.748284734133791
2017-03-17,1.2208404802744426
2017-03-18,1.0274442538593482
2017-03-19,0.8692109777015438
2017-03-20,1.1680960548885078
2017-03-21,1.379073756432247
2017-03-22,0.9746998284734134
2017-03-23,1.0274442538593482
2017-03-24,0.798885077186964
2017-03-25,0.8340480274442539
2017-03-26,0.8164665523156089
2017-03-27,0.9219554030874786
2017-03-28,0.9395368782161235
2017-03-29,1.0098627787307033
2017-03-30,0.9571183533447685
2017-03-31,0.9043739279588336
2017-04-01,0.6406518010291595
2017-04-02,0.3516295025728988
2017-04-03,1.1252144082332762
2017-04-04,0.879073756432247
2017-04-05,0.7032590051457976
2017-04-06,0.597770154373928
2017-04-07,0.879073756432247
2017-04-08,0.6680960548885078
2017-04-09,0.28130360205831906
2017-04-10,0.7384219554030875
2017-04-11,0.6680960548885078
2017-04-12,0.9142367066895369
2017-04-13,0.597770154373928
2017-04-14,0.5626072041166381
2017-04-15,0.31646655231560894
2017-04-16,0.31646655231560894
2017-04-17,0.5626072041166381
2017-04-18,0.7032590051457976
2017-04-19,0.7384219554030875
2017-04-20,0.597770154373928
2017-04-21,0.3867924528301887
2017-04-22,0.3867924528301887
2017-04-23,0.3867924528301887
2017-04-24,0.7032590051457976
2017-04-25,0.3516295025728988
2017-04-26,0.49228130360205835
2017-04-27,0.8087478559176673
2017-04-28,0.3867924528301887
2017-04-29,0.3516295025728988
2017-04-30,0.3516295025728988
2017-05-01,0.5274442538593482
2017-05-02,0.24614065180102918
2017-05-03,0.49228130360205835
2017-05-04,0.31646655231560894
2017-05-05,0.3516295025728988
2017-05-06,0.24614065180102918
2017-05-07,0.24614065180102918
2017-05-08,0.5274442538593482
2017-05-09,0.7032590051457976
2017-05-10,0.49228130360205835
2017-05-11,0.3867924528301887
2017-05-12,0.5626072041166381
2017-05-13,0.03516295025728988
2017-05-14,0.10548885077186965
2017-05-15,0.7032590051457976
2017-05-16,0.6680960548885078
2017-05-17,0.2109777015437393
2017-05-18,0.5274442538593482
2017-05-19,0.3867924528301887
2017-05-20,0.2109777015437393
2017-05-21,0.24614065180102918
2017-05-22,0.2109777015437393
2017-05-23,0.3516295025728988
2017-05-24,0.4219554030874786
2017-05-25,0.5626072041166381
2017-05-26,0.6329331046312179
2017-05-27,0.3516295025728988
2017-05-28,0.45711835334476847
2017-05-29,0.24614065180102918
2017-05-30,0.28130360205831906
2017-05-31,0.49228130360205835
2017-06-01,0.4219554030874786
2017-06-02,0.49228130360205835
2017-06-03,0.2109777015437393
