date,hillary clinton golf
2017-02-03,6.2625
2017-02-04,0.0
2017-02-05,0.0
2017-02-06,6.2625
2017-02-07,6.2625
2017-02-08,0.0
2017-02-09,0.0
2017-02-10,0.0
2017-02-11,0.0
2017-02-12,0.0
2017-02-13,6.2625
2017-02-14,0.0
2017-02-15,0.0
2017-02-16,0.0
2017-02-17,6.2625
2017-02-18,14.314285714285715
2017-02-19,0.0
2017-02-20,6.2625
2017-02-21,6.2625
2017-02-22,6.2625
2017-02-23,0.0
2017-02-24,0.0
2017-02-25,0.0
2017-02-26,7.1571428571428575
2017-02-27,6.2625
2017-02-28,12.525
2017-03-01,0.0
2017-03-02,5.399929245283019
2017-03-03,5.399929245283019
2017-03-04,6.130835579514825
2017-03-05,0.0
2017-03-06,2.174150943396226
2017-03-07,0.0
2017-03-08,0.0
2017-03-09,0.0
2017-03-10,3.13125
2017-03-11,5.104528301886792
2017-03-12,7.359703504043127
2017-03-13,0.0
2017-03-14,0.0
2017-03-15,0.0
2017-03-16,7.479551886792452
2017-03-17,2.2686792452830185
2017-03-18,5.104528301886792
2017-03-19,0.0
2017-03-20,0.0
2017-03-21,5.305400943396226
2017-03-22,0.0
2017-03-23,3.13125
2017-03-24,3.13125
2017-03-25,2.6467924528301885
2017-03-26,2.6467924528301885
2017-03-27,5.305400943396226
2017-03-28,9.570990566037736
2017-03-29,5.399929245283019
2017-03-30,0.0
2017-03-31,5.4944575471698105
2017-04-01,8.014649595687331
2017-04-02,0.0
2017-04-03,9.074716981132074
2017-04-04,0.0
2017-04-05,4.537358490566037
2017-04-06,0.0
2017-04-07,18.905660377358487
2017-04-08,5.293584905660377
2017-04-09,8.12943396226415
2017-04-10,0.0
2017-04-11,4.537358490566037
2017-04-12,0.0
2017-04-13,0.0
2017-04-14,5.293584905660377
2017-04-15,0.0
2017-04-16,0.0
2017-04-17,0.0
2017-04-18,4.348301886792452
2017-04-19,8.885660377358489
2017-04-20,4.537358490566037
2017-04-21,0.0
2017-04-22,5.293584905660377
2017-04-23,0.0
2017-04-24,0.0
2017-04-25,4.348301886792452
2017-04-26,0.0
2017-04-27,4.537358490566037
2017-04-28,4.726415094339622
2017-04-29,0.0
2017-04-30,0.0
2017-05-01,0.0
2017-05-02,4.348301886792452
2017-05-03,4.348301886792452
2017-05-04,0.0
2017-05-05,0.0
2017-05-06,7.940377358490565
2017-05-07,10.587169811320754
2017-05-08,6.806037735849055
2017-05-09,0.0
2017-05-10,0.0
2017-05-11,0.0
2017-05-12,0.0
2017-05-13,5.293584905660377
2017-05-14,5.293584905660377
2017-05-15,0.0
2017-05-16,4.537358490566037
2017-05-17,0.0
2017-05-18,4.537358490566037
2017-05-19,4.726415094339622
2017-05-20,16.069811320754713
2017-05-21,5.293584905660377
2017-05-22,4.537358490566037
2017-05-23,0.0
2017-05-24,4.537358490566037
2017-05-25,0.0
2017-05-26,14.935471698113206
2017-05-27,5.482641509433962
2017-05-28,0.0
2017-05-29,4.726415094339622
2017-05-30,0.0
2017-05-31,4.537358490566037
2017-06-01,9.263773584905659
2017-06-02,4.726415094339622
2017-06-03,0.0
