date,endorse trump
2017-05-08,0.5884982354048014
2017-05-09,0.5884982354048014
2017-05-10,0.3017939668742571
2017-05-11,0.0
2017-05-12,0.6035879337485142
2017-05-13,0.34706306190539565
2017-05-14,0.6941261238107913
2017-05-15,0.5884982354048014
2017-05-16,0.28670426853054426
2017-05-17,0.5884982354048014
2017-05-18,0.5884982354048014
2017-05-19,0.0
2017-05-20,0.0
2017-05-21,0.6941261238107913
2017-05-22,0.8752025039353456
2017-05-23,0.3017939668742571
2017-05-24,0.0
2017-05-25,0.3017939668742571
2017-05-26,0.33197336356168283
2017-05-27,0.0
2017-05-28,1.4335213426527214
2017-05-29,0.0
2017-05-30,0.0
2017-05-31,0.0
2017-06-01,1.5089698343712856
2017-06-02,0.31688366521796996
2017-06-03,0.34706306190539565
