date,barack obama event
2017-02-15,21.377593360995853
2017-02-16,0.0
2017-02-17,0.0
2017-02-18,0.0
2017-02-19,0.0
2017-02-20,0.0
2017-02-21,0.0
2017-02-22,0.0
2017-02-23,0.0
2017-02-24,22.307053941908713
2017-02-25,0.0
2017-02-26,0.0
2017-02-27,0.0
2017-02-28,43.684647302904565
2017-03-01,0.0
2017-03-02,20.491701244813278
2017-03-03,0.0
2017-03-04,0.0
2017-03-05,0.0
2017-03-06,30.280082987551868
2017-03-07,0.0
2017-03-08,0.0
2017-03-09,0.0
2017-03-10,0.0
2017-03-11,0.0
2017-03-12,0.0
2017-03-13,9.5850622406639
2017-03-14,0.0
2017-03-15,9.5850622406639
2017-03-16,20.91286307053942
2017-03-17,0.0
2017-03-18,0.0
2017-03-19,0.0
2017-03-20,0.0
2017-03-21,9.5850622406639
2017-03-22,19.809128630705395
2017-03-23,0.0
2017-03-24,0.0
2017-03-25,23.87551867219917
2017-03-26,0.0
2017-03-27,0.0
2017-03-28,9.5850622406639
2017-03-29,31.398340248962658
2017-03-30,41.66597510373444
2017-03-31,10.238589211618258
2017-04-01,0.0
2017-04-02,0.0
2017-04-03,0.0
2017-04-04,0.0
2017-04-05,0.0
2017-04-06,39.64730290456431
2017-04-07,0.0
2017-04-08,0.0
2017-04-09,0.0
2017-04-10,0.0
2017-04-11,0.0
2017-04-12,0.0
2017-04-13,0.0
2017-04-14,22.65560165975104
2017-04-15,0.0
2017-04-16,0.0
2017-04-17,20.91286307053942
2017-04-18,0.0
2017-04-19,0.0
2017-04-20,20.04149377593361
2017-04-21,20.477178423236516
2017-04-22,0.0
2017-04-23,0.0
2017-04-24,20.04149377593361
2017-04-25,0.0
2017-04-26,19.1701244813278
2017-04-27,0.0
2017-04-28,0.0
2017-04-29,0.0
2017-04-30,0.0
2017-05-01,21.348547717842322
2017-05-02,39.211618257261414
2017-05-03,0.0
2017-05-04,0.0
2017-05-05,40.08298755186722
2017-05-06,0.0
2017-05-07,0.0
2017-05-08,0.0
2017-05-09,0.0
2017-05-10,0.0
2017-05-11,20.04149377593361
2017-05-12,0.0
2017-05-13,0.0
2017-05-14,0.0
2017-05-15,19.605809128630707
2017-05-16,0.0
2017-05-17,0.0
2017-05-18,0.0
2017-05-19,0.0
2017-05-20,23.526970954356848
2017-05-21,0.0
2017-05-22,0.0
2017-05-23,38.77593360995851
2017-05-24,30.062240663900415
2017-05-25,20.91286307053942
2017-05-26,43.56846473029046
2017-05-27,23.96265560165975
2017-05-28,0.0
2017-05-29,0.0
2017-05-30,0.0
2017-05-31,20.04149377593361
2017-06-01,0.0
2017-06-02,0.0
2017-06-03,0.0
