date,hillary event
2016-10-15,5.893462469733656
2016-10-16,0.0
2016-10-17,5.1041162227602905
2016-10-18,18.7590799031477
2016-10-19,5.6041162227602905
2016-10-20,15.576271186440678
2016-10-21,50.43462469733656
2016-10-22,25.73123486682809
2016-10-23,11.286924939467312
2016-10-24,19.995157384987895
2016-10-25,22.70581113801453
2016-10-26,13.15496368038741
2016-10-27,21.020581113801455
2016-10-28,22.784503631961257
2016-10-29,32.07142857142857
2016-10-30,17.469733656174334
2016-10-31,19.312348668280872
2016-11-01,27.652542372881356
2016-11-02,49.76755447941889
2016-11-03,30.670702179176757
2016-11-04,17.36077481840194
2016-11-05,27.19854721549637
2016-11-06,40.50847457627119
2016-11-07,46.2953995157385
2016-11-08,57.869249394673126
2016-11-09,24.883777239709445
2016-11-10,10.416464891041162
2016-11-11,14.467312348668282
2016-11-12,5.786924939467313
2016-11-13,4.050847457627119
2016-11-14,5.208232445520581
2016-11-15,1.7360774818401938
2016-11-16,5.208232445520581
2016-11-17,20.254237288135595
2016-11-18,12.152542372881356
2016-11-19,5.786924939467313
2016-11-20,1.7360774818401938
2016-11-21,1.7360774818401938
2016-11-22,1.7360774818401938
2016-11-23,0.0
2016-11-24,1.7360774818401938
2016-11-25,1.7360774818401938
2016-11-26,1.7360774818401938
2016-11-27,1.7360774818401938
2016-11-28,0.0
2016-11-29,1.7360774818401938
2016-11-30,1.7360774818401938
2016-12-01,3.4721549636803877
2016-12-02,1.7360774818401938
2016-12-03,1.7360774818401938
2016-12-04,0.0
2016-12-05,6.3656174334140445
2016-12-06,1.7360774818401938
2016-12-07,3.4721549636803877
2016-12-08,3.4721549636803877
2016-12-09,3.4721549636803877
2016-12-10,2.314769975786925
2016-12-11,0.0
2016-12-12,0.0
2016-12-13,1.7360774818401938
2016-12-14,1.7360774818401938
2016-12-15,3.4721549636803877
2016-12-16,0.0
2016-12-17,4.050847457627119
2016-12-18,4.050847457627119
2016-12-19,0.0
2016-12-20,1.7360774818401938
2016-12-21,0.0
2016-12-22,1.7360774818401938
2016-12-23,1.7360774818401938
2016-12-24,2.314769975786925
2016-12-25,0.0
2016-12-26,4.050847457627119
2016-12-27,1.7360774818401938
2016-12-28,5.208232445520581
2016-12-29,0.0
2016-12-30,0.0
2016-12-31,0.0
2017-01-01,0.0
2017-01-02,1.7360774818401938
2017-01-03,0.0
2017-01-04,1.7360774818401938
2017-01-05,0.0
2017-01-06,0.0
2017-01-07,1.7360774818401938
2017-01-08,1.7360774818401938
2017-01-09,3.4721549636803877
2017-01-10,1.7360774818401938
2017-01-11,0.0
2017-01-12,0.0
2017-01-13,0.0
2017-01-14,0.0
2017-01-15,0.0
2017-01-16,0.0
2017-01-17,4.62953995157385
2017-01-18,1.7360774818401938
2017-01-19,1.7360774818401938
2017-01-20,0.0
2017-01-21,0.0
2017-01-22,3.4721549636803877
2017-01-23,2.8934624697336564
2017-01-24,0.0
2017-01-25,1.7360774818401938
2017-01-26,0.0
2017-01-27,1.7360774818401938
2017-01-28,0.0
2017-01-29,0.0
2017-01-30,0.0
2017-01-31,1.7360774818401938
2017-02-01,0.0
2017-02-02,1.7360774818401938
2017-02-03,0.0
2017-02-04,1.7360774818401938
2017-02-05,0.0
2017-02-06,1.7360774818401938
2017-02-07,0.0
2017-02-08,0.0
2017-02-09,1.7360774818401938
2017-02-10,0.0
2017-02-11,0.0
2017-02-12,0.0
2017-02-13,0.0
2017-02-14,0.0
2017-02-15,1.7360774818401938
2017-02-16,0.0
2017-02-17,1.7360774818401938
2017-02-18,1.7360774818401938
2017-02-19,0.0
2017-02-20,4.62953995157385
2017-02-21,1.7360774818401938
2017-02-22,1.7360774818401938
2017-02-23,0.0
2017-02-24,0.0
2017-02-25,0.0
2017-02-26,0.0
2017-02-27,0.0
2017-02-28,0.0
2017-03-01,1.6731761238025058
2017-03-02,0.0
2017-03-03,0.8554584693125594
2017-03-04,0.0
2017-03-05,0.0
2017-03-06,2.251868617749237
2017-03-07,0.0
2017-03-08,1.6731761238025058
2017-03-09,0.0
2017-03-10,0.0
2017-03-11,0.0
2017-03-12,0.9309400989577853
2017-03-13,0.0
2017-03-14,0.8680387409200969
2017-03-15,0.0
2017-03-16,0.0
2017-03-17,0.0
2017-03-18,0.0
2017-03-19,0.0
2017-03-20,0.0
2017-03-21,0.0
2017-03-22,0.8680387409200969
2017-03-23,0.0
2017-03-24,0.0
2017-03-25,0.0
2017-03-26,0.0
2017-03-27,0.8680387409200969
2017-03-28,0.8051373828824089
2017-03-29,1.6605958521949684
2017-03-30,1.7234972102326562
2017-03-31,0.8680387409200969
2017-04-01,0.0
2017-04-02,0.0
2017-04-03,1.6605958521949684
2017-04-04,0.0
2017-04-05,0.0
2017-04-06,0.0
2017-04-07,3.472154963680388
2017-04-08,0.0
2017-04-09,2.012843457206022
2017-04-10,0.0
2017-04-11,1.7109169386251188
2017-04-12,0.0
2017-04-13,0.0
2017-04-14,0.0
2017-04-15,4.076008000842195
2017-04-16,0.0
2017-04-17,1.7612380250552695
2017-04-18,0.0
2017-04-19,0.0
2017-04-20,0.0
2017-04-21,1.7612380250552695
2017-04-22,0.0
2017-04-23,0.0
2017-04-24,0.0
2017-04-25,0.0
2017-04-26,0.0
2017-04-27,0.0
2017-04-28,0.0
2017-04-29,1.9625223707758717
2017-04-30,2.012843457206022
2017-05-01,1.81155911148542
2017-05-02,1.6605958521949684
2017-05-03,1.6102747657648178
2017-05-04,0.0
2017-05-05,0.0
2017-05-06,0.0
2017-05-07,1.912201284345721
2017-05-08,0.0
2017-05-09,1.6605958521949684
2017-05-10,0.0
2017-05-11,1.6605958521949684
2017-05-12,0.0
2017-05-13,1.9625223707758717
2017-05-14,0.0
2017-05-15,0.0
2017-05-16,1.6605958521949684
2017-05-17,0.0
2017-05-18,0.0
2017-05-19,0.0
2017-05-20,3.9250447415517433
2017-05-21,0.0
2017-05-22,0.0
2017-05-23,0.0
2017-05-24,5.0321086430150554
2017-05-25,0.0
2017-05-26,0.0
2017-05-27,0.0
2017-05-28,2.063164543636173
2017-05-29,0.0
2017-05-30,0.0
2017-05-31,0.0
2017-06-01,1.7109169386251188
2017-06-02,0.0
2017-06-03,0.0
