date,putin intelligence
2017-03-02,29.041617819460726
2017-03-03,13.857561547479484
2017-03-04,15.031066822977726
2017-03-05,0.0
2017-03-06,5.5
2017-03-07,0.0
2017-03-08,5.5
2017-03-09,39.45017584994139
2017-03-10,6.0
2017-03-11,13.0
2017-03-12,15.031066822977726
2017-03-13,12.908558030480656
2017-03-14,25.81711606096131
2017-03-15,18.408558030480656
2017-03-16,0.0
2017-03-17,13.857561547479484
2017-03-18,15.031066822977726
2017-03-19,16.837631887456038
2017-03-20,0.0
2017-03-21,16.725087924970694
2017-03-22,5.5
2017-03-23,7.633059788980071
2017-03-24,13.857561547479484
2017-03-25,13.5
2017-03-26,0.0
2017-03-27,11.0
2017-03-28,16.725087924970694
2017-03-29,7.633059788980071
2017-03-30,6.0
2017-03-31,23.898593200468934
2017-04-01,15.25556858147714
2017-04-02,17.960140679953106
2017-04-03,14.817116060961313
2017-04-04,0.0
2017-04-05,15.266119577960142
2017-04-06,15.266119577960142
2017-04-07,15.715123094958969
2017-04-08,35.92028135990621
2017-04-09,17.960140679953106
2017-04-10,0.0
2017-04-11,30.98124267291911
2017-04-12,0.0
2017-04-13,16.164126611957798
2017-04-14,0.0
2017-04-15,0.0
2017-04-16,0.0
2017-04-17,0.0
2017-04-18,0.0
2017-04-19,14.817116060961313
2017-04-20,0.0
2017-04-21,0.0
2017-04-22,0.0
2017-04-23,0.0
2017-04-24,0.0
2017-04-25,15.266119577960142
2017-04-26,0.0
2017-04-27,0.0
2017-04-28,0.0
2017-04-29,17.960140679953106
2017-04-30,0.0
2017-05-01,16.613130128956623
2017-05-02,15.266119577960142
2017-05-03,0.0
2017-05-04,22.450175849941385
2017-05-05,15.715123094958969
2017-05-06,0.0
2017-05-07,0.0
2017-05-08,0.0
2017-05-09,15.266119577960142
2017-05-10,15.266119577960142
2017-05-11,30.083235638921455
2017-05-12,0.0
2017-05-13,0.0
2017-05-14,0.0
2017-05-15,38.16529894490035
2017-05-16,15.266119577960142
2017-05-17,0.0
2017-05-18,30.532239155920283
2017-05-19,15.715123094958969
2017-05-20,0.0
2017-05-21,17.960140679953106
2017-05-22,15.266119577960142
2017-05-23,14.817116060961313
2017-05-24,15.266119577960142
2017-05-25,0.0
2017-05-26,0.0
2017-05-27,0.0
2017-05-28,18.858147713950764
2017-05-29,16.164126611957798
2017-05-30,15.266119577960142
2017-05-31,15.266119577960142
2017-06-01,31.430246189917938
2017-06-02,0.0
2017-06-03,0.0
