date,grab em by the pussy
2017-02-21,2.0
2017-02-22,1.0
2017-02-23,1.0
2017-02-24,2.0
2017-02-25,2.0
2017-02-26,1.0
2017-02-27,1.0
2017-02-28,1.0
2017-03-01,2.6724683544303796
2017-03-02,1.6724683544303798
2017-03-03,0.9810126582278481
2017-03-04,0.5
2017-03-05,1.5522151898734178
2017-03-06,2.5933544303797467
2017-03-07,1.1914556962025316
2017-03-08,6.006329113924051
2017-03-09,3.6234177215189876
2017-03-10,0.4810126582278481
2017-03-11,2.5522151898734178
2017-03-12,0.5
2017-03-13,3.6234177215189876
2017-03-14,2.382911392405063
2017-03-15,2.4319620253164556
2017-03-16,1.4509493670886076
2017-03-17,1.9430379746835444
2017-03-18,1.0411392405063291
2017-03-19,1.0411392405063291
2017-03-20,0.9509493670886076
2017-03-21,1.1914556962025316
2017-03-22,1.4509493670886076
2017-03-23,1.481012658227848
2017-03-24,0.9810126582278481
2017-03-25,2.6534810126582276
2017-03-26,2.0822784810126582
2017-03-27,1.4319620253164556
2017-03-28,0.5
2017-03-29,0.4810126582278481
2017-03-30,1.2215189873417722
2017-03-31,1.481012658227848
2017-04-01,2.852848101265823
2017-04-02,2.1645569620253164
2017-04-03,1.8639240506329113
2017-04-04,0.0
2017-04-05,3.3069620253164556
2017-04-06,1.4430379746835444
2017-04-07,0.9620253164556962
2017-04-08,1.0822784810126582
2017-04-09,1.1424050632911393
2017-04-10,1.4430379746835444
2017-04-11,1.4430379746835444
2017-04-12,1.4430379746835444
2017-04-13,0.0
2017-04-14,1.0822784810126582
2017-04-15,1.7436708860759493
2017-04-16,1.1424050632911393
2017-04-17,1.0221518987341773
2017-04-18,1.8639240506329113
2017-04-19,1.8639240506329113
2017-04-20,0.0
2017-04-21,1.9841772151898736
2017-04-22,2.2246835443037973
2017-04-23,1.0822784810126582
2017-04-24,0.9620253164556962
2017-04-25,0.9620253164556962
2017-04-26,0.0
2017-04-27,0.9620253164556962
2017-04-28,0.9620253164556962
2017-04-29,2.2246835443037973
2017-04-30,0.0
2017-05-01,1.0221518987341773
2017-05-02,0.9018987341772152
2017-05-03,0.0
2017-05-04,0.9620253164556962
2017-05-05,2.4050632911392404
2017-05-06,2.2246835443037973
2017-05-07,2.2246835443037973
2017-05-08,0.9620253164556962
2017-05-09,0.9620253164556962
2017-05-10,0.9620253164556962
2017-05-11,1.8639240506329113
2017-05-12,1.4430379746835444
2017-05-13,1.0822784810126582
2017-05-14,2.2246835443037973
2017-05-15,0.9620253164556962
2017-05-16,0.9620253164556962
2017-05-17,0.9620253164556962
2017-05-18,1.8639240506329113
2017-05-19,2.9462025316455698
2017-05-20,1.1424050632911393
2017-05-21,1.6835443037974684
2017-05-22,2.3449367088607596
2017-05-23,0.9620253164556962
2017-05-24,1.9240506329113924
2017-05-25,1.5031645569620253
2017-05-26,2.0443037974683547
2017-05-27,0.0
2017-05-28,1.1424050632911393
2017-05-29,1.5031645569620253
2017-05-30,0.9620253164556962
2017-05-31,0.0
2017-06-01,1.9240506329113924
2017-06-02,3.0063291139240507
2017-06-03,2.2246835443037973
