date,debbie wasserman schultz
2017-01-15,0.06451612903225806
2017-01-16,0.06451612903225806
2017-01-17,0.06451612903225806
2017-01-18,0.3225806451612903
2017-01-19,0.0967741935483871
2017-01-20,0.0967741935483871
2017-01-21,0.1935483870967742
2017-01-22,0.5806451612903225
2017-01-23,0.12903225806451613
2017-01-24,0.12903225806451613
2017-01-25,0.16129032258064516
2017-01-26,0.0967741935483871
2017-01-27,0.06451612903225806
2017-01-28,0.03225806451612903
2017-01-29,0.06451612903225806
2017-01-30,0.03225806451612903
2017-01-31,0.12903225806451613
2017-02-01,0.06451612903225806
2017-02-02,0.16129032258064516
2017-02-03,0.06451612903225806
2017-02-04,0.0967741935483871
2017-02-05,0.0
2017-02-06,0.06451612903225806
2017-02-07,0.0967741935483871
2017-02-08,0.16129032258064516
2017-02-09,0.06451612903225806
2017-02-10,0.03225806451612903
2017-02-11,0.03225806451612903
2017-02-12,0.03225806451612903
2017-02-13,0.03225806451612903
2017-02-14,0.03225806451612903
2017-02-15,0.03225806451612903
2017-02-16,0.12903225806451613
2017-02-17,0.0967741935483871
2017-02-18,0.06451612903225806
2017-02-19,0.03225806451612903
2017-02-20,0.06451612903225806
2017-02-21,0.03225806451612903
2017-02-22,0.06451612903225806
2017-02-23,0.06451612903225806
2017-02-24,0.06451612903225806
2017-02-25,0.1935483870967742
2017-02-26,0.16129032258064516
2017-02-27,0.0967741935483871
2017-02-28,0.03225806451612903
2017-03-01,1.6662958843159066
2017-03-02,1.0090100111234706
2017-03-03,0.23242491657397107
2017-03-04,0.13631813125695216
2017-03-05,0.12018909899888763
2017-03-06,0.03998887652947719
2017-03-07,0.11201334816462735
2017-03-08,0.11201334816462735
2017-03-09,0.01590656284760845
2017-03-10,0.08020022246941044
2017-03-11,0.10383759733036706
2017-03-12,0.12018909899888763
2017-03-13,0.07224694104560622
2017-03-14,0.06407119021134594
2017-03-15,0.03203559510567297
2017-03-16,0.0879310344827586
2017-03-17,0.03998887652947719
2017-03-18,0.03998887652947719
2017-03-19,0.048164627363737486
2017-03-20,0.007953281423804226
2017-03-21,0.024082313681868743
2017-03-22,0.007953281423804226
2017-03-23,0.024082313681868743
2017-03-24,0.11223581757508341
2017-03-25,0.023859844271412675
2017-03-26,0.03998887652947719
2017-03-27,0.007953281423804226
2017-03-28,0.03203559510567297
2017-03-29,0.03998887652947719
2017-03-30,0.0961067853170189
2017-03-31,0.03998887652947719
2017-04-01,0.023859844271412675
2017-04-02,0.04771968854282535
2017-04-03,0.04771968854282535
2017-04-04,0.0636262513904338
2017-04-05,0.0318131256952169
2017-04-06,0.0636262513904338
2017-04-07,0.0318131256952169
2017-04-08,0.01590656284760845
2017-04-09,0.0318131256952169
2017-04-10,0.0318131256952169
2017-04-11,0.0318131256952169
2017-04-12,0.01590656284760845
2017-04-13,0.0318131256952169
2017-04-14,0.0318131256952169
2017-04-15,0.01590656284760845
2017-04-16,0.01590656284760845
2017-04-17,0.01590656284760845
2017-04-18,0.04771968854282535
2017-04-19,0.0318131256952169
2017-04-20,0.04771968854282535
2017-04-21,0.04771968854282535
2017-04-22,0.01590656284760845
2017-04-23,0.01590656284760845
2017-04-24,0.01590656284760845
2017-04-25,0.0318131256952169
2017-04-26,0.0318131256952169
2017-04-27,0.0318131256952169
2017-04-28,0.04771968854282535
2017-04-29,0.04771968854282535
2017-04-30,0.01590656284760845
2017-05-01,0.0636262513904338
2017-05-02,0.04771968854282535
2017-05-03,0.1272525027808676
2017-05-04,0.11134593993325916
2017-05-05,0.0318131256952169
2017-05-06,0.04771968854282535
2017-05-07,0.0318131256952169
2017-05-08,0.04771968854282535
2017-05-09,0.0318131256952169
2017-05-10,0.04771968854282535
2017-05-11,0.04771968854282535
2017-05-12,0.0318131256952169
2017-05-13,0.04771968854282535
2017-05-14,0.0636262513904338
2017-05-15,0.04771968854282535
2017-05-16,0.04771968854282535
2017-05-17,0.0636262513904338
2017-05-18,0.0318131256952169
2017-05-19,0.0318131256952169
2017-05-20,0.01590656284760845
2017-05-21,0.07953281423804226
2017-05-22,0.0636262513904338
2017-05-23,0.04771968854282535
2017-05-24,0.2863181312569521
2017-05-25,0.5567296996662958
2017-05-26,0.2545050055617352
2017-05-27,0.15906562847608452
2017-05-28,0.1272525027808676
2017-05-29,0.14315906562847605
2017-05-30,0.14315906562847605
2017-05-31,0.11134593993325916
2017-06-01,0.11134593993325916
2017-06-02,0.3976640711902113
2017-06-03,0.20678531701890987
