date,democratic convention
2016-08-15,0.0
2016-08-16,0.0
2016-08-17,0.0
2016-08-18,0.0
2016-08-19,0.0
2016-08-20,1.0
2016-08-21,0.0
2016-08-22,1.0
2016-08-23,0.0
2016-08-24,0.0
2016-08-25,1.0
2016-08-26,0.0
2016-08-27,0.0
2016-08-28,0.0
2016-08-29,0.0
2016-08-30,0.0
2016-08-31,0.0
2016-09-01,0.0
2016-09-02,0.0
2016-09-03,0.0
2016-09-04,0.0
2016-09-05,0.0
2016-09-06,0.0
2016-09-07,0.0
2016-09-08,0.0
2016-09-09,0.0
2016-09-10,0.0
2016-09-11,0.0
2016-09-12,0.0
2016-09-13,0.0
2016-09-14,0.0
2016-09-15,0.0
2016-09-16,0.0
2016-09-17,0.0
2016-09-18,0.0
2016-09-19,0.0
2016-09-20,0.0
2016-09-21,0.0
2016-09-22,0.0
2016-09-23,0.0
2016-09-24,0.0
2016-09-25,0.0
2016-09-26,0.0
2016-09-27,0.0
2016-09-28,0.0
2016-09-29,0.0
2016-09-30,0.0
2016-10-01,0.04162537165510406
2016-10-02,0.04558969276511397
2016-10-03,0.057482656095143705
2016-10-04,0.07730426164519326
2016-10-05,0.06937561942517344
2016-10-06,0.057482656095143705
2016-10-07,0.06541129831516353
2016-10-08,0.07135777998017839
2016-10-09,0.04558969276511397
2016-10-10,0.5951437066402379
2016-10-11,0.053518334985133795
2016-10-12,0.07135777998017839
2016-10-13,0.09117938553022795
2016-10-14,0.06342913776015857
2016-10-15,0.04558969276511397
2016-10-16,0.04558969276511397
2016-10-17,0.5693756194251735
2016-10-18,0.5753221010901883
2016-10-19,0.10703666997026759
2016-10-20,0.5931615460852329
2016-10-21,0.08523290386521308
2016-10-22,0.03369672943508424
2016-10-23,0.04757185332011893
2016-10-24,0.04757185332011893
2016-10-25,0.061446977205153616
2016-10-26,0.06342913776015857
2016-10-27,0.05946481665014866
2016-10-28,0.04558969276511397
2016-10-29,0.04162537165510406
2016-10-30,0.04558969276511397
2016-10-31,0.06541129831516353
2016-11-01,0.061446977205153616
2016-11-02,0.1506442021803766
2016-11-03,0.17046580773042616
2016-11-04,0.16650148662041625
2016-11-05,0.10307234886025768
2016-11-06,0.13875123885034688
2016-11-07,0.19821605550049554
2016-11-08,0.31714568880079286
2016-11-09,0.39643211100099107
2016-11-10,0.2814667988107037
2016-11-11,0.1506442021803766
2016-11-12,0.13875123885034688
2016-11-13,0.11496531219028741
2016-11-14,0.1466798810703667
2016-11-15,0.12289395441030723
2016-11-16,0.08721506442021804
2016-11-17,0.15460852329038652
2016-11-18,0.08325074331020813
2016-11-19,0.06342913776015857
2016-11-20,0.05550049554013875
2016-11-21,0.07135777998017839
2016-11-22,0.07135777998017839
2016-11-23,0.05946481665014866
2016-11-24,0.035678889990089196
2016-11-25,0.031714568880079286
2016-11-26,0.05550049554013875
2016-11-27,0.031714568880079286
2016-11-28,0.0753221010901883
2016-11-29,0.07928642220019821
2016-11-30,0.05946481665014866
2016-12-01,0.08325074331020813
2016-12-02,0.07928642220019821
2016-12-03,0.05550049554013875
2016-12-04,0.06739345887016848
2016-12-05,0.07135777998017839
2016-12-06,0.035678889990089196
2016-12-07,0.08325074331020813
2016-12-08,0.04360753221010902
2016-12-09,0.05153617443012884
2016-12-10,0.05550049554013875
2016-12-11,0.05550049554013875
2016-12-12,0.06342913776015857
2016-12-13,0.023785926660059464
2016-12-14,0.05946481665014866
2016-12-15,0.05550049554013875
2016-12-16,0.06342913776015857
2016-12-17,0.015857284440039643
2016-12-18,0.019821605550049554
2016-12-19,0.04360753221010902
2016-12-20,0.031714568880079286
2016-12-21,0.035678889990089196
2016-12-22,0.031714568880079286
2016-12-23,0.011892963330029732
2016-12-24,0.035678889990089196
2016-12-25,0.015857284440039643
2016-12-26,0.03964321110009911
2016-12-27,0.035678889990089196
2016-12-28,0.031714568880079286
2016-12-29,0.03964321110009911
2016-12-30,0.03964321110009911
2016-12-31,0.015857284440039643
2017-01-01,0.0
2017-01-02,0.031714568880079286
2017-01-03,0.04757185332011893
2017-01-04,0.015857284440039643
2017-01-05,0.035678889990089196
2017-01-06,0.035678889990089196
2017-01-07,0.04757185332011893
2017-01-08,0.031714568880079286
2017-01-09,0.08721506442021804
2017-01-10,0.07928642220019821
2017-01-11,0.09117938553022795
2017-01-12,0.11496531219028741
2017-01-13,0.10703666997026759
2017-01-14,0.05946481665014866
2017-01-15,0.07135777998017839
2017-01-16,0.06739345887016848
2017-01-17,0.07928642220019821
2017-01-18,0.15460852329038652
2017-01-19,0.09910802775024777
2017-01-20,0.08325074331020813
2017-01-21,0.09117938553022795
2017-01-22,0.04360753221010902
2017-01-23,0.09117938553022795
2017-01-24,0.07928642220019821
2017-01-25,0.06739345887016848
2017-01-26,0.09514370664023786
2017-01-27,0.06739345887016848
2017-01-28,0.07135777998017839
2017-01-29,0.04757185332011893
2017-01-30,0.04360753221010902
2017-01-31,0.06739345887016848
2017-02-01,0.027750247770069375
2017-02-02,0.04360753221010902
2017-02-03,0.027750247770069375
2017-02-04,0.03964321110009911
2017-02-05,0.023785926660059464
2017-02-06,0.031714568880079286
2017-02-07,0.08325074331020813
2017-02-08,0.05550049554013875
2017-02-09,0.09117938553022795
2017-02-10,0.09514370664023786
2017-02-11,0.07928642220019821
2017-02-12,0.03964321110009911
2017-02-13,0.031714568880079286
2017-02-14,0.06739345887016848
2017-02-15,0.07928642220019821
2017-02-16,0.05153617443012884
2017-02-17,0.019821605550049554
2017-02-18,0.027750247770069375
2017-02-19,0.027750247770069375
2017-02-20,0.027750247770069375
2017-02-21,0.06342913776015857
2017-02-22,0.06739345887016848
2017-02-23,0.05550049554013875
2017-02-24,0.04757185332011893
2017-02-25,0.13082259663032705
2017-02-26,0.04360753221010902
2017-02-27,0.0753221010901883
2017-02-28,0.05153617443012884
2017-03-01,0.09167109614704139
2017-03-02,0.08252926137712673
2017-03-03,0.08030354322687773
2017-03-04,0.0408992942956973
2017-03-05,0.053035815220971075
2017-03-06,0.055423905101382766
2017-03-07,0.07989761390147099
2017-03-08,0.06480929746654146
2017-03-09,0.049396237571286555
2017-03-10,0.07917153654206424
2017-03-11,0.025729791995686428
2017-03-12,0.03790460814033819
2017-03-13,0.014199867345360075
2017-03-14,0.0399296593410465
2017-03-15,0.05890111102090459
2017-03-16,0.051822622671076235
2017-03-17,0.08657476835221799
2017-03-18,0.032201684070567366
2017-03-19,0.030706638706050494
2017-03-20,0.04777711569598497
2017-03-21,0.06250239345121113
2017-03-22,0.0735069076916714
2017-03-23,0.052510404811105
2017-03-24,0.06258357931629246
2017-03-25,0.033414876620462206
2017-03-26,0.0356405947707112
2017-03-27,0.029937670700940378
2017-03-28,0.08451142193213168
2017-03-29,0.06816702230160396
2017-03-30,0.06541589374148889
2017-03-31,0.08936419213171104
2017-04-01,0.019539752735427518
2017-04-02,0.04539362124189865
2017-04-03,0.049520314082071255
2017-04-04,0.03851579984161097
2017-04-05,0.06602708544276167
2017-04-06,0.06190039260258907
2017-04-07,0.09353837104391237
2017-04-08,0.03301354272138084
2017-04-09,0.027511285601150695
2017-04-10,0.0674026497228192
2017-04-11,0.056398135482358926
2017-04-12,0.04539362124189865
2017-04-13,0.04126692840172604
2017-04-14,0.019257899920805486
2017-04-15,0.02063346420086302
2017-04-16,0.03438910700143837
2017-04-17,0.059149264042474
2017-04-18,0.0866605496436247
2017-04-19,0.049520314082071255
2017-04-20,0.06190039260258907
2017-04-21,0.07565603540316441
2017-04-22,0.03301354272138084
2017-04-23,0.03851579984161097
2017-04-24,0.10041619244420004
2017-04-25,0.0866605496436247
2017-04-26,0.049520314082071255
2017-04-27,0.08390942108350963
2017-04-28,0.10316732100431511
2017-04-29,0.006877821400287674
2017-04-30,0.053647006922243855
2017-05-01,0.0907872424837973
2017-05-02,0.05502257120230139
2017-05-03,0.044018056961841114
2017-05-04,0.05502257120230139
2017-05-05,0.08528498536356716
2017-05-06,0.0316379784413233
2017-05-07,0.06465152116270413
2017-05-08,0.07152934256299182
2017-05-09,0.049520314082071255
2017-05-10,0.08803611392368223
2017-05-11,0.08941167820373976
2017-05-12,0.05227144264218632
2017-05-13,0.019257899920805486
2017-05-14,0.059149264042474
2017-05-15,0.08253385680345209
2017-05-16,0.07703159968322194
2017-05-17,0.08803611392368223
2017-05-18,0.07703159968322194
2017-05-19,0.05227144264218632
2017-05-20,0.1375564280057535
2017-05-21,0.13067860660546582
2017-05-22,0.12242522092512059
2017-05-23,0.1141718352447754
2017-05-24,0.056398135482358926
2017-05-25,0.07565603540316441
2017-05-26,0.06602708544276167
2017-05-27,0.013755642800575348
2017-05-28,0.03438910700143837
2017-05-29,0.05227144264218632
2017-05-30,0.0907872424837973
2017-05-31,0.10179175672425758
2017-06-01,0.0907872424837973
2017-06-02,0.06465152116270413
2017-06-03,0.03301354272138084
