date,obama impeach
2016-10-17,2.9361702127659575
2016-10-18,6.372340425531915
2016-10-19,3.3510638297872344
2016-10-20,5.265957446808511
2016-10-21,1.5
2016-10-22,3.3510638297872344
2016-10-23,2.0
2016-10-24,1.4361702127659575
2016-10-25,7.808510638297872
2016-10-26,3.414893617021277
2016-10-27,10.808510638297872
2016-10-28,7.808510638297872
2016-10-29,3.4361702127659575
2016-10-30,4.3936170212765955
2016-10-31,1.4361702127659575
2016-11-01,4.9361702127659575
2016-11-02,5.74468085106383
2016-11-03,11.48936170212766
2016-11-04,11.48936170212766
2016-11-05,2.872340425531915
2016-11-06,6.702127659574469
2016-11-07,5.74468085106383
2016-11-08,6.702127659574469
2016-11-09,95.74468085106383
2016-11-10,51.70212765957447
2016-11-11,34.46808510638298
2016-11-12,16.27659574468085
2016-11-13,22.02127659574468
2016-11-14,10.531914893617023
2016-11-15,11.48936170212766
2016-11-16,8.617021276595745
2016-11-17,6.702127659574469
2016-11-18,14.361702127659575
2016-11-19,6.702127659574469
2016-11-20,2.872340425531915
2016-11-21,0.0
2016-11-22,6.702127659574469
2016-11-23,3.8297872340425534
2016-11-24,0.0
2016-11-25,11.48936170212766
2016-11-26,0.0
2016-11-27,0.0
2016-11-28,0.0
2016-11-29,0.0
2016-11-30,0.0
2016-12-01,11.48936170212766
2016-12-02,2.872340425531915
2016-12-03,2.872340425531915
2016-12-04,2.872340425531915
2016-12-05,0.0
2016-12-06,3.8297872340425534
2016-12-07,0.0
2016-12-08,0.0
2016-12-09,4.787234042553192
2016-12-10,3.8297872340425534
2016-12-11,2.872340425531915
2016-12-12,10.531914893617023
2016-12-13,2.872340425531915
2016-12-14,0.0
2016-12-15,2.872340425531915
2016-12-16,5.74468085106383
2016-12-17,2.872340425531915
2016-12-18,6.702127659574469
2016-12-19,2.872340425531915
2016-12-20,6.702127659574469
2016-12-21,4.787234042553192
2016-12-22,0.0
2016-12-23,2.872340425531915
2016-12-24,3.8297872340425534
2016-12-25,10.531914893617023
2016-12-26,6.702127659574469
2016-12-27,5.74468085106383
2016-12-28,0.0
2016-12-29,2.872340425531915
2016-12-30,10.531914893617023
2016-12-31,6.702127659574469
2017-01-01,0.0
2017-01-02,2.872340425531915
2017-01-03,9.574468085106384
2017-01-04,2.872340425531915
2017-01-05,2.872340425531915
2017-01-06,0.0
2017-01-07,7.659574468085107
2017-01-08,12.446808510638299
2017-01-09,2.872340425531915
2017-01-10,0.0
2017-01-11,12.446808510638299
2017-01-12,6.702127659574469
2017-01-13,3.8297872340425534
2017-01-14,2.872340425531915
2017-01-15,2.872340425531915
2017-01-16,5.74468085106383
2017-01-17,3.8297872340425534
2017-01-18,9.574468085106384
2017-01-19,5.74468085106383
2017-01-20,20.106382978723406
2017-01-21,18.19148936170213
2017-01-22,21.063829787234045
2017-01-23,15.319148936170214
2017-01-24,6.702127659574469
2017-01-25,13.404255319148938
2017-01-26,3.8297872340425534
2017-01-27,5.74468085106383
2017-01-28,10.531914893617023
2017-01-29,45.0
2017-01-30,41.17021276595745
2017-01-31,38.297872340425535
2017-02-01,16.27659574468085
2017-02-02,21.063829787234045
2017-02-03,13.404255319148938
2017-02-04,9.574468085106384
2017-02-05,10.531914893617023
2017-02-06,6.702127659574469
2017-02-07,15.319148936170214
2017-02-08,10.531914893617023
2017-02-09,5.74468085106383
2017-02-10,12.446808510638299
2017-02-11,15.319148936170214
2017-02-12,7.659574468085107
2017-02-13,7.659574468085107
2017-02-14,22.02127659574468
2017-02-15,26.808510638297875
2017-02-16,14.361702127659575
2017-02-17,13.404255319148938
2017-02-18,13.404255319148938
2017-02-19,9.574468085106384
2017-02-20,5.74468085106383
2017-02-21,7.659574468085107
2017-02-22,7.659574468085107
2017-02-23,5.74468085106383
2017-02-24,2.872340425531915
2017-02-25,7.659574468085107
2017-02-26,13.404255319148938
2017-02-27,2.872340425531915
2017-02-28,5.74468085106383
2017-03-01,0.0
2017-03-02,10.819788655641378
2017-03-03,14.43313746860636
2017-03-04,20.62348955124864
2017-03-05,11.1279202009193
2017-03-06,13.088660380040753
2017-03-07,11.63969577785149
2017-03-08,4.924773728853718
2017-03-09,6.977207032175521
2017-03-10,11.082073638819125
2017-03-11,1.4361702127659575
2017-03-12,4.229611903520826
2017-03-13,6.852461735298299
2017-03-14,8.288631948064257
2017-03-15,6.852461735298299
2017-03-16,4.321305027721177
2017-03-17,5.882220537364356
2017-03-18,2.872340425531915
2017-03-19,9.691749988153344
2017-03-20,13.967208453774344
2017-03-21,9.38361844287542
2017-03-22,7.9474482301094636
2017-03-23,6.360943941619675
2017-03-24,6.498483627920201
2017-03-25,6.223404255319149
2017-03-26,1.8359948822442307
2017-03-27,4.5835900108989245
2017-03-28,5.4034971331090365
2017-03-29,5.062313415154244
2017-03-30,5.265957446808511
2017-03-31,6.019760223664882
2017-04-01,1.8359948822442307
2017-04-02,0.0
2017-04-03,0.0
2017-04-04,0.0
2017-04-05,3.147419798132967
2017-04-06,0.0
2017-04-07,3.147419798132967
2017-04-08,3.6719897644884614
2017-04-09,0.0
2017-04-10,0.0
2017-04-11,0.0
2017-04-12,3.147419798132967
2017-04-13,0.0
2017-04-14,0.0
2017-04-15,0.0
2017-04-16,7.343979528976923
2017-04-17,0.0
2017-04-18,3.147419798132967
2017-04-19,0.0
2017-04-20,3.147419798132967
2017-04-21,3.147419798132967
2017-04-22,3.6719897644884614
2017-04-23,10.491399327109889
2017-04-24,3.147419798132967
2017-04-25,0.0
2017-04-26,3.147419798132967
2017-04-27,3.147419798132967
2017-04-28,0.0
2017-04-29,0.0
2017-04-30,0.0
2017-05-01,3.147419798132967
2017-05-02,0.0
2017-05-03,3.147419798132967
2017-05-04,0.0
2017-05-05,0.0
2017-05-06,0.0
2017-05-07,7.343979528976923
2017-05-08,3.147419798132967
2017-05-09,0.0
2017-05-10,9.442259394398901
2017-05-11,15.737098990664833
2017-05-12,19.409088755153295
2017-05-13,7.343979528976923
2017-05-14,7.343979528976923
2017-05-15,9.442259394398901
2017-05-16,9.442259394398901
2017-05-17,52.456996635549444
2017-05-18,30.949628014974174
2017-05-19,28.851348149552194
2017-05-20,11.015969293465384
2017-05-21,11.015969293465384
2017-05-22,3.147419798132967
2017-05-23,3.147419798132967
2017-05-24,0.0
2017-05-25,3.147419798132967
2017-05-26,0.0
2017-05-27,0.0
2017-05-28,0.0
2017-05-29,3.147419798132967
2017-05-30,0.0
2017-05-31,0.0
2017-06-01,9.442259394398901
2017-06-02,0.0
2017-06-03,3.6719897644884614
