date,hillary clinton criminal
2016-09-17,1.0
2016-09-18,1.0
2016-09-19,1.0
2016-09-20,2.0
2016-09-21,1.0
2016-09-22,2.0
2016-09-23,2.0
2016-09-24,1.0
2016-09-25,3.0
2016-09-26,2.0
2016-09-27,7.0
2016-09-28,3.0
2016-09-29,6.0
2016-09-30,5.0
2016-10-01,1.3343023255813953
2016-10-02,2.4302325581395348
2016-10-03,1.5726744186046513
2016-10-04,2.191860465116279
2016-10-05,2.6686046511627906
2016-10-06,2.9302325581395348
2016-10-07,1.7151162790697674
2016-10-08,2.5726744186046515
2016-10-09,3.287790697674419
2016-10-10,7.433139534883721
2016-10-11,3.549418604651163
2016-10-12,4.645348837209303
2016-10-13,3.5261627906976747
2016-10-14,4.526162790697675
2016-10-15,3.4302325581395348
2016-10-16,3.549418604651163
2016-10-17,3.5261627906976747
2016-10-18,2.9302325581395348
2016-10-19,2.9302325581395348
2016-10-20,7.671511627906977
2016-10-21,4.122093023255815
2016-10-22,1.5959302325581395
2016-10-23,3.049418604651163
2016-10-24,3.1686046511627906
2016-10-25,3.4069767441860463
2016-10-26,3.549418604651163
2016-10-27,3.0726744186046515
2016-10-28,5.598837209302326
2016-10-29,5.002906976744186
2016-10-30,8.194767441860465
2016-10-31,7.337209302325581
2016-11-01,6.479651162790698
2016-11-02,7.3895348837209305
2016-11-03,6.436046511627907
2016-11-04,9.296511627906977
2016-11-05,5.72093023255814
2016-11-06,7.866279069767442
2016-11-07,10.011627906976745
2016-11-08,12.633720930232558
2016-11-09,23.837209302325583
2016-11-10,11.44186046511628
2016-11-11,4.767441860465117
2016-11-12,1.9069767441860466
2016-11-13,3.5755813953488373
2016-11-14,2.1453488372093026
2016-11-15,2.3837209302325584
2016-11-16,0.9534883720930233
2016-11-17,1.9069767441860466
2016-11-18,0.9534883720930233
2016-11-19,0.47674418604651164
2016-11-20,0.7151162790697675
2016-11-21,1.430232558139535
2016-11-22,1.1918604651162792
2016-11-23,0.23837209302325582
2016-11-24,0.9534883720930233
2016-11-25,0.9534883720930233
2016-11-26,0.47674418604651164
2016-11-27,0.47674418604651164
2016-11-28,0.47674418604651164
2016-11-29,0.9534883720930233
2016-11-30,0.7151162790697675
2016-12-01,0.7151162790697675
2016-12-02,0.47674418604651164
2016-12-03,0.0
2016-12-04,0.47674418604651164
2016-12-05,0.23837209302325582
2016-12-06,0.47674418604651164
2016-12-07,0.0
2016-12-08,0.23837209302325582
2016-12-09,0.47674418604651164
2016-12-10,0.9534883720930233
2016-12-11,0.47674418604651164
2016-12-12,0.0
2016-12-13,0.23837209302325582
2016-12-14,0.7151162790697675
2016-12-15,0.0
2016-12-16,0.47674418604651164
2016-12-17,0.47674418604651164
2016-12-18,0.0
2016-12-19,0.0
2016-12-20,0.47674418604651164
2016-12-21,0.47674418604651164
2016-12-22,0.0
2016-12-23,0.47674418604651164
2016-12-24,0.0
2016-12-25,0.0
2016-12-26,0.0
2016-12-27,0.47674418604651164
2016-12-28,1.1918604651162792
2016-12-29,0.7151162790697675
2016-12-30,0.47674418604651164
2016-12-31,0.0
2017-01-01,0.0
2017-01-02,0.47674418604651164
2017-01-03,0.23837209302325582
2017-01-04,0.23837209302325582
2017-01-05,0.23837209302325582
2017-01-06,0.9534883720930233
2017-01-07,0.47674418604651164
2017-01-08,0.47674418604651164
2017-01-09,0.7151162790697675
2017-01-10,0.23837209302325582
2017-01-11,0.23837209302325582
2017-01-12,0.47674418604651164
2017-01-13,0.23837209302325582
2017-01-14,0.47674418604651164
2017-01-15,0.47674418604651164
2017-01-16,0.23837209302325582
2017-01-17,0.9534883720930233
2017-01-18,0.0
2017-01-19,0.23837209302325582
2017-01-20,0.9534883720930233
2017-01-21,0.47674418604651164
2017-01-22,0.9534883720930233
2017-01-23,1.6686046511627908
2017-01-24,0.7151162790697675
2017-01-25,0.23837209302325582
2017-01-26,0.23837209302325582
2017-01-27,1.430232558139535
2017-01-28,0.7151162790697675
2017-01-29,0.47674418604651164
2017-01-30,0.23837209302325582
2017-01-31,0.23837209302325582
2017-02-01,0.23837209302325582
2017-02-02,0.23837209302325582
2017-02-03,0.23837209302325582
2017-02-04,0.47674418604651164
2017-02-05,0.47674418604651164
2017-02-06,0.23837209302325582
2017-02-07,0.0
2017-02-08,0.23837209302325582
2017-02-09,0.23837209302325582
2017-02-10,0.0
2017-02-11,0.47674418604651164
2017-02-12,0.47674418604651164
2017-02-13,0.7151162790697675
2017-02-14,0.0
2017-02-15,0.0
2017-02-16,0.23837209302325582
2017-02-17,0.23837209302325582
2017-02-18,0.7151162790697675
2017-02-19,0.47674418604651164
2017-02-20,0.0
2017-02-21,0.7151162790697675
2017-02-22,0.23837209302325582
2017-02-23,0.23837209302325582
2017-02-24,0.23837209302325582
2017-02-25,0.47674418604651164
2017-02-26,0.47674418604651164
2017-02-27,0.23837209302325582
2017-02-28,0.23837209302325582
2017-03-01,0.11918604651162791
2017-03-02,0.11918604651162791
2017-03-03,0.5218268100715838
2017-03-04,0.18398091100110406
2017-03-05,0.35755813953488375
2017-03-06,0.27688397022685995
2017-03-07,0.0
2017-03-08,0.0
2017-03-09,0.15769792371523206
2017-03-10,0.11918604651162791
2017-03-11,0.0
2017-03-12,0.3679618220022081
2017-03-13,0.5152560632501157
2017-03-14,0.11918604651162791
2017-03-15,0.11918604651162791
2017-03-16,0.0
2017-03-17,0.16426867053670005
2017-03-18,0.23837209302325582
2017-03-19,0.4223530040243599
2017-03-20,0.15769792371523206
2017-03-21,0.9949205812172799
2017-03-22,0.5922798176573241
2017-03-23,0.0
2017-03-24,0.29002546386979594
2017-03-25,0.8578475016916558
2017-03-26,0.0
2017-03-27,0.11918604651162791
2017-03-28,0.27688397022685995
2017-03-29,0.35755813953488375
2017-03-30,0.6860954806082838
2017-03-31,0.2562591260372521
2017-04-01,0.19055165782257205
2017-04-02,0.0
2017-04-03,0.6570746821468002
2017-04-04,0.3285373410734001
2017-04-05,0.3285373410734001
2017-04-06,0.0
2017-04-07,1.0250365041490084
2017-04-08,0.0
2017-04-09,0.3942448092880801
2017-04-10,0.49937675843156815
2017-04-11,0.9856120232202003
2017-04-12,0.3416788347163361
2017-04-13,0.3416788347163361
2017-04-14,0.0
2017-04-15,0.0
2017-04-16,0.0
2017-04-17,0.3416788347163361
2017-04-18,0.8016311122190962
2017-04-19,0.6439331885038642
2017-04-20,0.0
2017-04-21,0.6833576694326722
2017-04-22,0.3811033156451441
2017-04-23,0.0
2017-04-24,0.0
2017-04-25,0.0
2017-04-26,0.3153958474304641
2017-04-27,0.3285373410734001
2017-04-28,0.3416788347163361
2017-04-29,0.0
2017-04-30,0.3942448092880801
2017-05-01,0.3548203283592721
2017-05-02,0.0
2017-05-03,0.3153958474304641
2017-05-04,0.48623526478863216
2017-05-05,0.0
2017-05-06,0.3811033156451441
2017-05-07,0.7622066312902882
2017-05-08,0.3285373410734001
2017-05-09,0.0
2017-05-10,1.3141493642936004
2017-05-11,0.48623526478863216
2017-05-12,0.3416788347163361
2017-05-13,0.0
2017-05-14,0.3942448092880801
2017-05-15,0.9856120232202003
2017-05-16,0.3285373410734001
2017-05-17,0.3285373410734001
2017-05-18,0.3285373410734001
2017-05-19,0.3416788347163361
2017-05-20,0.3942448092880801
2017-05-21,0.7753481249332242
2017-05-22,0.0
2017-05-23,0.0
2017-05-24,0.0
2017-05-25,0.0
2017-05-26,0.3548203283592721
2017-05-27,0.0
2017-05-28,0.40738630293101613
2017-05-29,0.3416788347163361
2017-05-30,0.0
2017-05-31,0.0
2017-06-01,0.3285373410734001
2017-06-02,0.0
2017-06-03,0.0
