date,trump emails
2016-08-15,6.0
2016-08-16,5.0
2016-08-17,6.0
2016-08-18,8.0
2016-08-19,6.0
2016-08-20,4.0
2016-08-21,3.0
2016-08-22,16.0
2016-08-23,20.0
2016-08-24,11.0
2016-08-25,6.0
2016-08-26,6.0
2016-08-27,5.0
2016-08-28,6.0
2016-08-29,4.0
2016-08-30,5.0
2016-08-31,12.0
2016-09-01,6.0
2016-09-02,8.0
2016-09-03,6.0
2016-09-04,5.0
2016-09-05,4.0
2016-09-06,5.0
2016-09-07,9.0
2016-09-08,9.0
2016-09-09,6.0
2016-09-10,4.0
2016-09-11,4.0
2016-09-12,4.0
2016-09-13,5.0
2016-09-14,15.0
2016-09-15,14.0
2016-09-16,9.0
2016-09-17,4.0
2016-09-18,5.0
2016-09-19,4.0
2016-09-20,6.0
2016-09-21,5.0
2016-09-22,5.0
2016-09-23,6.0
2016-09-24,4.0
2016-09-25,4.0
2016-09-26,4.0
2016-09-27,50.0
2016-09-28,19.0
2016-09-29,16.0
2016-09-30,6.0
2016-10-01,7.486817325800376
2016-10-02,8.486817325800377
2016-10-03,8.481167608286253
2016-10-04,8.481167608286253
2016-10-05,7.986817325800376
2016-10-06,6.488700564971751
2016-10-07,11.977401129943502
2016-10-08,43.91337099811676
2016-10-09,31.443502824858754
2016-10-10,66.87570621468927
2016-10-11,42.419020715630886
2016-10-12,36.93032015065913
2016-10-13,44.91337099811676
2016-10-14,37.92843691148776
2016-10-15,25.45291902071563
2016-10-16,27.94538606403013
2016-10-17,28.951035781544256
2016-10-18,22.45668549905838
2016-10-19,23.951035781544256
2016-10-20,42.92278719397363
2016-10-21,19.962335216572505
2016-10-22,14.973634651600753
2016-10-23,11.977401129943502
2016-10-24,17.466101694915253
2016-10-25,14.971751412429377
2016-10-26,18.960451977401128
2016-10-27,17.46798493408663
2016-10-28,58.88700564971751
2016-10-29,78.34934086629002
2016-10-30,79.34557438794727
2016-10-31,99.31167608286252
2016-11-01,90.83427495291902
2016-11-02,75.71374764595103
2016-11-03,72.72504708097928
2016-11-04,58.77777777777778
2016-11-05,46.82297551789077
2016-11-06,64.75517890772127
2016-11-07,61.76647834274953
2016-11-08,48.81544256120527
2016-11-09,83.68361581920904
2016-11-10,31.879472693032014
2016-11-11,23.90960451977401
2016-11-12,14.943502824858756
2016-11-13,10.958568738229754
2016-11-14,12.951035781544256
2016-11-15,11.954802259887005
2016-11-16,9.962335216572505
2016-11-17,6.973634651600753
2016-11-18,4.981167608286253
2016-11-19,2.9887005649717513
2016-11-20,3.9849340866290017
2016-11-21,4.981167608286253
2016-11-22,5.977401129943503
2016-11-23,4.981167608286253
2016-11-24,3.9849340866290017
2016-11-25,3.9849340866290017
2016-11-26,1.9924670433145009
2016-11-27,2.9887005649717513
2016-11-28,1.9924670433145009
2016-11-29,2.9887005649717513
2016-11-30,1.9924670433145009
2016-12-01,1.9924670433145009
2016-12-02,3.9849340866290017
2016-12-03,1.9924670433145009
2016-12-04,1.9924670433145009
2016-12-05,1.9924670433145009
2016-12-06,3.9849340866290017
2016-12-07,2.9887005649717513
2016-12-08,1.9924670433145009
2016-12-09,1.9924670433145009
2016-12-10,4.981167608286253
2016-12-11,5.977401129943503
2016-12-12,5.977401129943503
2016-12-13,6.973634651600753
2016-12-14,2.9887005649717513
2016-12-15,5.977401129943503
2016-12-16,6.973634651600753
2016-12-17,2.9887005649717513
2016-12-18,4.981167608286253
2016-12-19,3.9849340866290017
2016-12-20,4.981167608286253
2016-12-21,1.9924670433145009
2016-12-22,2.9887005649717513
2016-12-23,0.9962335216572504
2016-12-24,0.0
2016-12-25,1.9924670433145009
2016-12-26,2.9887005649717513
2016-12-27,1.9924670433145009
2016-12-28,0.9962335216572504
2016-12-29,1.9924670433145009
2016-12-30,2.9887005649717513
2016-12-31,1.9924670433145009
2017-01-01,1.9924670433145009
2017-01-02,1.9924670433145009
2017-01-03,2.9887005649717513
2017-01-04,1.9924670433145009
2017-01-05,2.9887005649717513
2017-01-06,2.9887005649717513
2017-01-07,3.9849340866290017
2017-01-08,3.9849340866290017
2017-01-09,3.9849340866290017
2017-01-10,4.981167608286253
2017-01-11,10.958568738229754
2017-01-12,7.9698681732580035
2017-01-13,5.977401129943503
2017-01-14,2.9887005649717513
2017-01-15,3.9849340866290017
2017-01-16,1.9924670433145009
2017-01-17,1.9924670433145009
2017-01-18,2.9887005649717513
2017-01-19,2.9887005649717513
2017-01-20,6.973634651600753
2017-01-21,4.981167608286253
2017-01-22,2.9887005649717513
2017-01-23,3.9849340866290017
2017-01-24,4.981167608286253
2017-01-25,4.981167608286253
2017-01-26,8.966101694915254
2017-01-27,7.9698681732580035
2017-01-28,2.9887005649717513
2017-01-29,2.9887005649717513
2017-01-30,4.981167608286253
2017-01-31,3.9849340866290017
2017-02-01,2.9887005649717513
2017-02-02,3.9849340866290017
2017-02-03,3.9849340866290017
2017-02-04,9.962335216572505
2017-02-05,5.977401129943503
2017-02-06,5.977401129943503
2017-02-07,8.966101694915254
2017-02-08,2.9887005649717513
2017-02-09,2.9887005649717513
2017-02-10,1.9924670433145009
2017-02-11,0.9962335216572504
2017-02-12,1.9924670433145009
2017-02-13,2.9887005649717513
2017-02-14,3.9849340866290017
2017-02-15,4.981167608286253
2017-02-16,10.958568738229754
2017-02-17,5.977401129943503
2017-02-18,3.9849340866290017
2017-02-19,0.9962335216572504
2017-02-20,1.9924670433145009
2017-02-21,2.9887005649717513
2017-02-22,2.9887005649717513
2017-02-23,3.9849340866290017
2017-02-24,1.9924670433145009
2017-02-25,1.9924670433145009
2017-02-26,2.9887005649717513
2017-02-27,1.9924670433145009
2017-02-28,2.9887005649717513
2017-03-01,2.28690043230632
2017-03-02,4.57380086461264
2017-03-03,8.986268365394146
2017-03-04,12.767519080186341
2017-03-05,3.767134045456971
2017-03-06,2.301017101641544
2017-03-07,2.9463505569660784
2017-03-08,2.623683829303811
2017-03-09,1.3047835799842935
2017-03-10,2.28690043230632
2017-03-11,1.4661169438154271
2017-03-12,0.9821168523220263
2017-03-13,0.6594501246597588
2017-03-14,0.9821168523220263
2017-03-15,1.8029003408129187
2017-03-16,0.4981167608286252
2017-03-17,1.7887836714776946
2017-03-18,1.8029003408129187
2017-03-19,0.32266672766226734
2017-03-20,3.1218005901324366
2017-03-21,2.623683829303811
2017-03-22,2.7850171931349452
2017-03-23,3.928467409288105
2017-03-24,1.157566885488384
2017-03-25,1.3189002493195177
2017-03-26,0.9821168523220263
2017-03-27,1.14345021615316
2017-03-28,1.3047835799842935
2017-03-29,1.627450307646561
2017-03-30,1.7887836714776946
2017-03-31,1.9642337046440526
2017-04-01,1.8029003408129187
2017-04-02,1.6133336383113366
2017-04-03,2.5813338212981387
2017-04-04,0.968000182986802
2017-04-05,0.968000182986802
2017-04-06,0.0
2017-04-07,0.968000182986802
2017-04-08,0.968000182986802
2017-04-09,0.0
2017-04-10,0.968000182986802
2017-04-11,0.32266672766226734
2017-04-12,1.2906669106490694
2017-04-13,0.32266672766226734
2017-04-14,0.968000182986802
2017-04-15,0.968000182986802
2017-04-16,1.6133336383113366
2017-04-17,0.0
2017-04-18,1.2906669106490694
2017-04-19,0.968000182986802
2017-04-20,0.32266672766226734
2017-04-21,0.32266672766226734
2017-04-22,0.6453334553245347
2017-04-23,1.936000365973604
2017-04-24,0.0
2017-04-25,0.32266672766226734
2017-04-26,0.32266672766226734
2017-04-27,0.0
2017-04-28,0.0
2017-04-29,1.6133336383113366
2017-04-30,0.6453334553245347
2017-05-01,2.2586670936358715
2017-05-02,0.968000182986802
2017-05-03,2.2586670936358715
2017-05-04,0.968000182986802
2017-05-05,0.968000182986802
2017-05-06,0.968000182986802
2017-05-07,2.5813338212981387
2017-05-08,1.2906669106490694
2017-05-09,32.26667276622673
2017-05-10,16.456003110775633
2017-05-11,5.808001097920812
2017-05-12,2.2586670936358715
2017-05-13,1.6133336383113366
2017-05-14,1.936000365973604
2017-05-15,2.2586670936358715
2017-05-16,2.5813338212981387
2017-05-17,4.84000091493401
2017-05-18,2.2586670936358715
2017-05-19,23.877337847007784
2017-05-20,6.130667825583079
2017-05-21,1.6133336383113366
2017-05-22,3.549334004284941
2017-05-23,0.32266672766226734
2017-05-24,0.968000182986802
2017-05-25,2.2586670936358715
2017-05-26,0.968000182986802
2017-05-27,2.2586670936358715
2017-05-28,2.2586670936358715
2017-05-29,0.32266672766226734
2017-05-30,0.32266672766226734
2017-05-31,2.5813338212981387
2017-06-01,1.936000365973604
2017-06-02,0.0
2017-06-03,0.6453334553245347
